Player,Rank
Luke Williams,-9182848.849486735
Will Smith,-9182848.866227373
Bryce Johnson,-9182848.876047729
Marcell Ozuna,-9182848.88817698
Edwin Ríos,-9182848.897676896
Travis D'arnaud,-9182848.936027002
Willie Calhoun,-9182849.03907289
Tyler Stephenson,-9182849.089514472
Jung hoo Lee,-9182849.091614986
Aledmys Díaz,-9182849.110114234
Freddy Fermin,-9182849.12386628
Kevin Kiermaier,-9182849.141568642
Dominic Canzone,-9182849.178464154
Liover Peguero,-9182849.24191857
Bryan Reynolds,-9182849.3277482
Ha-seong Kim,-9182849.401913088
Jason Vosler,-9182849.414793361
Triston Casas,-9182849.420355957
Yandy Díaz,-9182849.540139388
Jorge Soler,-9182849.606360432
Miles Mastrobuoni,-9182849.670439424
Ian Happ,-9182849.828963814
David Villar,-9182849.91810194
Jacob Wilson,-9182849.94507699
Conner Capel,-9182849.970716977
Brian Serven,-9182849.971837228
Luke Maile,-9182849.976133762
Brooks Lee,-9182850.017081596
Corey Julks,-9182850.02003627
Eli White,-9182850.036319837
Garrett Mitchell,-9182850.1560698
Ryan Mcmahon,-9182850.165541261
Trey Cabbage,-9182850.198685631
Iván Herrera,-9182850.221430475
Bo Bichette,-9182850.28153967
Alec Burleson,-9182850.312701333
Grant Koch,-9182850.361056952
David Peralta,-9182850.37242105
Nolan Arenado,-9182850.37477518
Lamonte Wade,-9182850.394971415
Vladimir Guerrero,-9182850.444356859
Mookie Betts,-9182850.50773609
Randal Grichuk,-9182850.515184345
Jorge Mateo,-9182850.564293956
José Devers,-9182850.582775274
Livan Soto,-9182850.701193735
Dominic Smith,-9182850.738890976
Cole Tucker,-9182850.739550237
Jake Cronenworth,-9182850.750780957
Kyle Schwarber,-9182850.751674248
Jair Camargo,-9182850.764357286
Pablo Reyes,-9182850.768994942
Shohei Ohtani,-9182850.785520341
Mark Vientos,-9182850.817326577
Ildemaro Vargas,-9182850.822040273
Jacob Young,-9182850.831374342
Gabriel Moreno,-9182850.848549942
Brandon Crawford,-9182850.867133833
Willson Contreras,-9182850.892242434
Yuli Gurriel,-9182850.916088572
Gustavo Campero,-9182850.95510622
Cavan Biggio,-9182850.960190775
Ryan Jeffers,-9182850.962329581
Nick Madrigal,-9182850.968166765
Ke'bryan Hayes,-9182850.984781021
Scott Mcgough,-9182850.990292996
Ryan Bliss,-9182851.00111752
Javier Sanoja,-9182851.015399875
Joey Wiemer,-9182851.02207549
Jace Peterson,-9182851.033176303
Adley Rutschman,-9182851.042081261
Jose Iglesias,-9182851.083179262
David Bote,-9182851.091338359
Kyle Farmer,-9182851.134669036
Lars Nootbaar,-9182851.149883023
Corey Seager,-9182851.188688895
Tyler Nevin,-9182851.210784389
Pete Alonso,-9182851.25480256
