Player,Rank
Josh Bell,0.0013357403633252113
Dansby Swanson,0.0013193307029669848
Charles Leblanc,0.0012965521404864294
Luis Urías,0.0012925217188210923
Jon Singleton,0.0012746737504008984
Angel Martínez,0.001269056455386857
Jason Delay,0.0012210717421514401
Yuli Gurriel,0.0011989786149017559
Luken Baker,0.0011976449562235024
Joey Meneses,0.0011545145388089438
Kyle Farmer,0.0011364434510133079
Jake Fraley,0.0011363334515444865
Matt Duffy,0.0009373058570688825
Xander Bogaerts,0.0008858743028438898
Trent Grisham,0.0007821838773872385
Austin Shenton,0.0007638001173264906
Miguel Andújar,0.0007423872810859652
Jacob Hurtubise,0.0007161571009846278
Jeremy Peña,0.0007036565061242536
Michael Conforto,0.0006948211847303443
Cavan Biggio,0.0006911576257384708
Diego Castillo,0.0006815451657156274
Edward Olivares,0.000667799116247414
Zach Remillard,0.0006377870947994009
Mickey Gasper,0.0006290659822137778
Cal Stevenson,0.0006036160668010527
Steward Berroa,0.0005864917514210827
Shay Whitcomb,0.0005858689692385824
Tyler Soderstrom,0.0005807748481362676
Leo Rivas,0.0005649383740381141
J. d. Davis,0.0005648330739757459
Livan Soto,0.0005625143740628038
Darell Hernaiz,0.0005571499020717613
Jon Berti,0.0005546831270861075
Dylan Crews,0.0005498017893658812
Emmanuel Rivera,0.0005181076043079852
Michael Busch,0.0005087355187530572
Trenton Brooks,0.00047905475423861685
José Miranda,0.0004734010890954605
Jonathan Aranda,0.000467988982191574
César Salazar,0.00043105132285848577
Trey Lipscomb,0.0004090475645837179
Bryce Johnson,0.0003994883964094135
Tyler Black,0.00034790097225222664
Rafael Marchán,0.00033468559283758597
Eddy Alvarez,0.00033436704005804875
Stone Garrett,0.00033399660717727924
Andrew Benintendi,0.0003049157863849892
Oscar Colás,0.0002800327073511088
Grae Kessinger,0.00027747443850979525
Abraham Toro,0.00024018521173843757
Miguel Sanó,0.00023948462199778632
Jace Jung,0.0002355159307964086
Zach Neto,0.0002310354121686674
Dominic Smith,0.00022395295246630068
Blake Perkins,0.00022018395414129998
Davis Schneider,0.00021949185918398534
Tyler Heineman,0.00020901389542459105
Sean Bouchard,0.00020834888993750592
Adam Frazier,0.0001995466541113681
Cody Bellinger,0.00018224941286555115
Cj Abrams,0.00015247924658688949
Luis Torrens,0.00013972351232516706
Will Brennan,0.0001334918225923232
Ben Rice,0.0001247552014409131
Blake Sabol,6.366963694157688e-05
Kyren Paris,6.269160125598703e-05
Buddy Kennedy,6.051675547660254e-05
Royce Lewis,5.777840236199054e-05
Jace Peterson,5.2345367095574886e-05
Jonny Deluca,2.9574557623680017e-05
Tyler Wade,2.419913150536506e-05
Dan Vogelbach,-2.181642675336314e-06
Nick Fortes,-5.632481346236242e-06
Cade Marlowe,-8.576106608535199e-06
Matt Wallner,-2.4950469499006496e-05
Kevin Pillar,-2.823275516555178e-05
Donovan Walton,-4.6780108636349166e-05
Keibert Ruiz,-5.384415225216215e-05
Rafael Ortega,-7.45475872117142e-05
Forrest Wall,-8.66575046983928e-05
Dashawn Keirsey,-8.917288440651893e-05
Gavin Sheets,-9.967080003981104e-05
Tucker Barnhart,-0.00011180052251091047
Hunter Feduccia,-0.00012848031221319252
Oswald Peraza,-0.0001729227201993756
Carlos Narváez,-0.0001741574804266401
Jared Triolo,-0.00017853624641054727
Heston Kjerstad,-0.00018037880312237074
Riley Greene,-0.00022495907056495183
Sam Huff,-0.00022515468367882366
Dustin Harris,-0.00023427336745810264
Yoán Moncada,-0.00023434330870588342
Austin Barnes,-0.00024022419587207204
Sam Haggerty,-0.0002571538097812554
Jamie Westbrook,-0.0002641557338425143
Brian Serven,-0.00026525231295031974
Luis Castillo,-0.0003169507098625882
Alek Thomas,-0.00032337357548570955
Freddy Fermin,-0.00033692823318469845
Mitch Haniger,-0.00035881643419444806
Niko Goodrum,-0.00036097339410515324
Tom Murphy,-0.00036113864169614804
Trevor Larnach,-0.0003678430056092906
Riley Adams,-0.00037092981371035304
José Devers,-0.0003902491844696653
Kevin Alcántara,-0.00039803476184412556
Chris Roller,-0.00040527500015425933
Bryan Ramos,-0.00040608841882850533
David Fletcher,-0.0004191818180098164
Orelvis Martinez,-0.00042587875164910687
Eric Yang,-0.00043471396521442687
Samad Taylor,-0.0004514781759770353
Scott Mcgough,-0.00045154671407760254
Vaughn Grissom,-0.0004561180937540424
Jair Camargo,-0.00046171257323712083
Austin Wynns,-0.00046511895644586645
Zach Deloach,-0.0004651225796272464
Jakson Reetz,-0.0004703701730624902
Tony Kemp,-0.0004707613757824501
Taylor Trammell,-0.00047642390190436604
Drew Waters,-0.0005031161446001698
Blake Dunn,-0.0005097660058045026
Francisco Álvarez,-0.0005227233173590529
James Wood,-0.0005328771247563157
Brian Anderson,-0.0005421940773329795
Ke'bryan Hayes,-0.0005457232325476158
Cole Tucker,-0.0005465062649262917
Javier Sanoja,-0.0005469336053214397
Conner Capel,-0.0005552150042538425
Vinny Capra,-0.0005612637286392438
Rob Refsnyder,-0.0005621489498294433
Luis Vázquez,-0.0005854822798094331
Nick Martini,-0.0005859928975618925
Brett Sullivan,-0.000598346637001099
Greg Jones,-0.0006081789551102299
Tyler Gentry,-0.0006101244707078672
Duke Ellis,-0.0006166730566054589
Andrew Knapp,-0.0006198845833704774
Andrés Giménez,-0.0006231230471842935
Cooper Hummel,-0.0006310708167860926
Jordyn Adams,-0.0006325241674688912
Ernie Clement,-0.0006522906015878913
Jake Bauers,-0.0006585843232526221
Matt Olson,-0.0006624314102003002
Leody Taveras,-0.0006647043297638241
Rece Hinds,-0.0006694380958349342
Armando Alvarez,-0.0006696715203499948
