Player,ScaledElo,Tier,WithinTier
Marcell Ozuna,6.0158846838124095e-06,0,6.0158846838124095e-06
Will Smith,6.006589864365721e-06,0,6.006589864365721e-06
Wilmer Flores,5.9728598642779896e-06,0,5.9728598642779896e-06
Seiya Suzuki,5.910844036288737e-06,0,5.910844036288737e-06
Josh Naylor,5.9029277486384216e-06,0,5.9029277486384216e-06
Taylor Ward,5.81667476628764e-06,0,5.81667476628764e-06
Ildemaro Vargas,5.707731624692526e-06,0,5.707731624692526e-06
Austin Slater,5.68502974030388e-06,0,5.68502974030388e-06
Wyatt Langford,5.666763092790318e-06,0,5.666763092790318e-06
Charlie Blackmon,5.647973291548422e-06,0,5.647973291548422e-06
Tyler Stephenson,5.644788795480271e-06,0,5.644788795480271e-06
Ty France,5.491568752446012e-06,0,5.491568752446012e-06
Nolan Arenado,5.371978583010734e-06,0,5.371978583010734e-06
Willie Calhoun,5.36162997814017e-06,0,5.36162997814017e-06
Leo Jimenez,5.248758736496073e-06,0,5.248758736496073e-06
Brice Turang,5.097225868027439e-06,0,5.097225868027439e-06
Christian Walker,4.999219760238324e-06,0,4.999219760238324e-06
Brett Harris,4.958034055587298e-06,0,4.958034055587298e-06
Jacob Stallings,4.818862902223535e-06,0,4.818862902223535e-06
Randal Grichuk,4.7877428553973364e-06,0,4.7877428553973364e-06
Dj Lemahieu,4.761691792740917e-06,0,4.761691792740917e-06
Andrew Mccutchen,4.709237416994432e-06,0,4.709237416994432e-06
Anthony Rizzo,4.688224301566333e-06,0,4.688224301566333e-06
Corey Seager,4.556403652527614e-06,0,4.556403652527614e-06
Ronald Acuña,4.481468264947987e-06,0,4.481468264947987e-06
Luis Guillorme,4.36637740203298e-06,0,4.36637740203298e-06
Alex Call,4.23307447612336e-06,0,4.23307447612336e-06
Miguel Amaya,4.23281130479248e-06,0,4.23281130479248e-06
Miguel Vargas,4.135174079964175e-06,0,4.135174079964175e-06
Nathan Lukes,4.118947675366881e-06,0,4.118947675366881e-06
Jacob Wilson,4.0884444565411075e-06,0,4.0884444565411075e-06
Michael Stefanic,4.058806696146701e-06,0,4.058806696146701e-06
Jacob Young,3.9420561945434335e-06,0,3.9420561945434335e-06
Rhys Hoskins,3.830672448171576e-06,0,3.830672448171576e-06
Ramón Urías,3.8211839165365255e-06,0,3.8211839165365255e-06
José Ramírez,3.7931464832886484e-06,0,3.7931464832886484e-06
Taylor Walls,3.715092117572463e-06,0,3.715092117572463e-06
Curt Casali,3.6167043151110567e-06,0,3.6167043151110567e-06
Ben Gamel,3.6122667580260997e-06,0,3.6122667580260997e-06
Ozzie Albies,3.610578548622614e-06,0,3.610578548622614e-06
José Altuve,3.508560515318041e-06,0,3.508560515318041e-06
Nick Senzel,3.465675140338433e-06,0,3.465675140338433e-06
Pavin Smith,3.403513556697095e-06,0,3.403513556697095e-06
Zack Short,3.2957120499638177e-06,0,3.2957120499638177e-06
Mike Trout,3.2660307527422926e-06,0,3.2660307527422926e-06
Nasim Nuñez,3.245165099596659e-06,0,3.245165099596659e-06
Alec Burleson,3.217351252343348e-06,0,3.217351252343348e-06
Luis Campusano,3.186811552936048e-06,0,3.186811552936048e-06
Fernando Tatís,3.156012901479192e-06,0,3.156012901479192e-06
Cal Raleigh,3.1073698114572796e-06,0,3.1073698114572796e-06
Matt Thaiss,3.0921888737110465e-06,0,3.0921888737110465e-06
Jose Trevino,3.082179084613808e-06,0,3.082179084613808e-06
Santiago Espinal,3.071903712345505e-06,0,3.071903712345505e-06
Jung hoo Lee,3.0710644352232554e-06,0,3.0710644352232554e-06
Juan Yepez,3.0621851827052794e-06,0,3.0621851827052794e-06
Iván Herrera,2.9277581107544197e-06,0,2.9277581107544197e-06
Donovan Solano,2.888618812702246e-06,0,2.888618812702246e-06
Gary Sánchez,2.8617308507952923e-06,0,2.8617308507952923e-06
Nick Madrigal,2.816327488433447e-06,0,2.816327488433447e-06
José Fermín,2.654292277755842e-06,0,2.654292277755842e-06
Jasson Domínguez,2.6468666049389026e-06,0,2.6468666049389026e-06
Josh Rojas,2.528369201199794e-06,0,2.528369201199794e-06
Luis Rengifo,2.5283462732985216e-06,0,2.5283462732985216e-06
Tyler Nevin,2.5238452592831507e-06,0,2.5238452592831507e-06
Joshua Palacios,2.523541315222893e-06,0,2.523541315222893e-06
Maikel García,2.4746148878151717e-06,0,2.4746148878151717e-06
Manuel Margot,2.4706222885555436e-06,0,2.4706222885555436e-06
Cedric Mullins,2.429604429860388e-06,0,2.429604429860388e-06
Hunter Renfroe,2.4167353529070452e-06,0,2.4167353529070452e-06
Austin Martin,2.384145838411082e-06,0,2.384145838411082e-06
Vidal Bruján,2.2694723704526315e-06,0,2.2694723704526315e-06
Jose Iglesias,2.212774467860731e-06,0,2.212774467860731e-06
Brandon Drury,2.2061669599256065e-06,0,2.2061669599256065e-06
Shohei Ohtani,2.092693086747478e-06,0,2.092693086747478e-06
Víctor Caratini,2.026426513114694e-06,0,2.026426513114694e-06
David Peralta,2.0171012226793544e-06,0,2.0171012226793544e-06
Andrés Chaparro,1.9636322404504383e-06,0,1.9636322404504383e-06
Sean Murphy,1.941476460196713e-06,0,1.941476460196713e-06
Yasmani Grandal,1.9279725151299386e-06,0,1.9279725151299386e-06
Jake Meyers,1.911857558719998e-06,0,1.911857558719998e-06
Kris Bryant,1.8699309814545174e-06,0,1.8699309814545174e-06
Johnathan Rodríguez,1.828618928434579e-06,0,1.828618928434579e-06
Ben Rortvedt,1.77968404825661e-06,0,1.77968404825661e-06
Andruw Monasterio,1.7739781355249513e-06,0,1.7739781355249513e-06
Josh Bell,1.7720752608602322e-06,0,1.7720752608602322e-06
Dansby Swanson,1.750305196887963e-06,0,1.750305196887963e-06
Charles Leblanc,1.7200857559261991e-06,0,1.7200857559261991e-06
Luis Urías,1.7147387508344319e-06,0,1.7147387508344319e-06
Jon Singleton,1.691060538988452e-06,0,1.691060538988452e-06
Angel Martínez,1.6836082901827366e-06,0,1.6836082901827366e-06
Jason Delay,1.6199488204544478e-06,0,1.6199488204544478e-06
Yuli Gurriel,1.5906387199969455e-06,0,1.5906387199969455e-06
Luken Baker,1.5888694064274422e-06,0,1.5888694064274422e-06
Joey Meneses,1.5316499438811073e-06,0,1.5316499438811073e-06
Kyle Farmer,1.5076757281587044e-06,0,1.5076757281587044e-06
