,Year,SpringRank,SpringRank_AUC
0,2009.0,0.644361833952912,0.6549487668893466
1,2010.0,0.696969696969697,0.6981721981721983
2,2011.0,0.762906309751434,0.7639147665099223
3,2012.0,0.7229394240317776,0.7274518684496993
4,2013.0,0.6846938775510204,0.6907392253136935
5,2014.0,0.7176050044682752,0.7204165423482558
6,2015.0,0.7169811320754716,0.7219827072152654
7,2016.0,0.6978074356530028,0.705131538293431
8,2017.0,0.6750764525993884,0.6789986354266468
9,2018.0,0.6968325791855203,0.7001101186834701
10,2019.0,0.7107594936708861,0.7145369935254804
