,winner,loser,score
0,A.J. Achter,Anthony Bass,3
1,A.J. Achter,Collin McHugh,0
2,A.J. Achter,Dallas Keuchel,5
3,Dallas Keuchel,A.J. Achter,5
4,A.J. Achter,David Robertson,9
5,A.J. Achter,Evan Scribner,4
6,A.J. Achter,Fernando Rodriguez Jr.,4
7,A.J. Achter,Jake Odorizzi,4
8,A.J. Achter,Jeff Samardzija,0
9,A.J. Achter,Justin Wilson,3
10,A.J. Achter,Luke Hochevar,0
11,A.J. Achter,Mark Buehrle,3
12,A.J. Achter,Masahiro Tanaka,4
13,A.J. Achter,Mike Montgomery,0
14,A.J. Achter,Phil Hughes,0
15,A.J. Achter,Scott Feldman,0
16,A.J. Achter,Wade Davis,5
17,Wade Davis,A.J. Achter,5
18,A.J. Achter,Will Harris,0
19,AJ Ramos,Carlos Frias,0
20,AJ Ramos,Collin McHugh,0
21,AJ Ramos,Dan Haren,0
22,AJ Ramos,Josh Collmenter,0
23,Aaron Laffey,Colin Rea,10
24,Aaron Laffey,Dan Haren,3
25,Aaron Laffey,John Lamb,10
26,Aaron Laffey,Jon Lester,0
27,Aaron Laffey,Jonathon Niese,0
28,Aaron Laffey,Jorge De La Rosa,4
29,Aaron Laffey,Josh Collmenter,12
30,Aaron Laffey,Kyle Ryan,5
31,Kyle Ryan,Aaron Laffey,5
32,Aaron Laffey,Mark Melancon,5
33,Mark Melancon,Aaron Laffey,5
34,Aaron Laffey,Shelby Miller,7
35,Adam Wainwright,Anibal Sanchez,0
36,Adam Wainwright,Bryan Morris,3
37,Adam Wainwright,Carlos Frias,0
38,Adam Wainwright,Chad Billingsley,4
39,Adam Wainwright,Chris Rusin,0
40,Adam Wainwright,Cole Hamels,0
41,Adam Wainwright,Dan Haren,0
42,Adam Wainwright,Jake Peavy,0
43,Adam Wainwright,Jason Motte,0
44,Adam Wainwright,Jeremy Guthrie,1
45,Adam Wainwright,Jerome Williams,12
46,Adam Wainwright,Joakim Soria,0
47,Adam Wainwright,John Lackey,0
48,Adam Wainwright,John Lamb,0
49,Adam Wainwright,Johnny Cueto,0
50,Adam Wainwright,Jonathon Niese,10
51,Adam Wainwright,Josh Collmenter,8
52,Adam Wainwright,Josh Tomlin,0
53,Adam Wainwright,Justin Nicolino,0
54,Adam Wainwright,Kenley Jansen,0
55,Adam Wainwright,Kyle Hendricks,6
56,Kyle Hendricks,Adam Wainwright,6
57,Adam Wainwright,Kyle Kendrick,13
58,Kyle Kendrick,Adam Wainwright,13
59,Adam Wainwright,Kyle Ryan,2
60,Adam Wainwright,Luke Hochevar,0
61,Adam Wainwright,Mark Melancon,0
62,Adam Wainwright,Mat Latos,4
63,Adam Wainwright,Mike Leake,0
64,Adam Wainwright,Mitch Harris,0
65,Adam Wainwright,Phil Hughes,0
66,Adam Wainwright,Shelby Miller,1
67,Adam Wainwright,Travis Wood,2
68,Adam Wainwright,Tyler Wagner,5
69,Adam Wainwright,Zack Godley,0
70,Alex Colome,Alfredo Simon,4
71,Alex Colome,Anibal Sanchez,10
72,Alex Colome,Anthony Bass,5
73,Alex Colome,Bo Schultz,9
74,Alex Colome,Bryan Morris,9
75,Alex Colome,Bryan Shaw,56
76,Alex Colome,Carlos Frias,0
77,Alex Colome,Carlos Torres,28
78,Alex Colome,Chris Rusin,15
79,Alex Colome,Clay Buchholz,23
80,Alex Colome,Cody Anderson,8
81,Alex Colome,Cole Hamels,15
82,Alex Colome,Collin McHugh,0
83,Alex Colome,Dallas Keuchel,23
84,Alex Colome,Dan Haren,21
85,Alex Colome,Danny Farquhar,52
86,Alex Colome,David Price,41
87,Alex Colome,David Robertson,41
88,Alex Colome,Drew Smyly,23
89,Alex Colome,Enny Romero,11
90,Alex Colome,Fernando Rodriguez Jr.,27
91,Alex Colome,Garrett Richards,18
92,Alex Colome,Hector Santiago,10
93,Hector Santiago,Alex Colome,10
94,Alex Colome,Jake Odorizzi,51
95,Alex Colome,Jeff Samardzija,36
96,Alex Colome,Jered Weaver,6
97,Alex Colome,Jeremy Guthrie,5
98,Alex Colome,Jerome Williams,5
99,Alex Colome,Jesse Chavez,14
100,Alex Colome,John Danks,30
101,Alex Colome,John Lackey,1
102,Alex Colome,Johnny Cueto,32
103,Alex Colome,Jonathon Niese,0
104,Alex Colome,Jorge De La Rosa,10
105,Alex Colome,Josh Collmenter,12
106,Alex Colome,Josh Tomlin,42
107,Alex Colome,Justin Nicolino,10
108,Alex Colome,Justin Wilson,7
109,Alex Colome,Kendall Graveman,25
110,Alex Colome,Kyle Kendrick,26
111,Alex Colome,Kyle Lobstein,9
112,Alex Colome,Kyle Ryan,26
113,Alex Colome,Luke Hochevar,9
114,Alex Colome,Marcus Stroman,5
115,Alex Colome,Mark Buehrle,51
116,Alex Colome,Masahiro Tanaka,14
117,Alex Colome,Mat Latos,13
118,Alex Colome,Michael Pineda,12
119,Alex Colome,Mike Fiers,16
120,Alex Colome,Mike Leake,8
121,Alex Colome,Mike Montgomery,18
122,Alex Colome,Phil Hughes,23
123,Alex Colome,Ryan Madson,9
124,Alex Colome,Samuel Deduno,7
125,Alex Colome,Scott Feldman,37
126,Alex Colome,Scott Kazmir,3
127,Alex Colome,Sean Nolin,0
128,Alex Colome,Shaun Marcum,12
129,Alex Colome,Shawn Armstrong,5
130,Alex Colome,Shelby Miller,8
131,Shelby Miller,Alex Colome,8
132,Alex Colome,Taijuan Walker,0
133,Alex Colome,Tim Hudson,14
134,Alex Colome,Trevor Bauer,24
135,Alex Colome,Wade Davis,2
136,Alex Colome,Will Harris,11
137,Alex Torres,Cole Hamels,5
138,Cole Hamels,Alex Torres,5
139,Alex Torres,Collin McHugh,0
140,Alex Torres,Dan Haren,4
141,Alex Torres,David Robertson,5
142,David Robertson,Alex Torres,5
143,Alex Torres,Jon Lester,0
144,Alexi Ogando,Bryan Shaw,0
145,Alexi Ogando,Collin McHugh,6
