,winner,loser,score
0,Alex White,Brandon League,4
1,Alex White,Freddy Garcia,0
2,Alex White,Jeff Samardzija,0
3,Alex White,Jose Veras,3
4,Alex White,Koji Uehara,5
5,Koji Uehara,Alex White,5
6,Alex White,Mike Pelfrey,7
7,Alex White,Nick Masset,0
8,Alfredo Aceves,Brad Penny,3
9,Alfredo Aceves,Brandon League,0
10,Alfredo Aceves,Carl Pavano,1
11,Alfredo Aceves,Dan Haren,0
12,Alfredo Aceves,Freddy Garcia,0
13,Alfredo Aceves,Joel Peralta,0
14,Alfredo Aceves,Jonathan Papelbon,5
15,Jonathan Papelbon,Alfredo Aceves,5
16,Alfredo Aceves,Jose Valverde,0
17,Alfredo Aceves,Koji Uehara,0
18,Alfredo Aceves,Ubaldo Jimenez,0
19,Alfredo Simon,Brad Penny,26
20,Alfredo Simon,Brandon Gomes,12
21,Alfredo Simon,Daisuke Matsuzaka,0
22,Alfredo Simon,Dan Haren,0
23,Alfredo Simon,Dan Wheeler,12
24,Alfredo Simon,Freddy Garcia,0
25,Alfredo Simon,Guillermo Moscoso,0
26,Alfredo Simon,Jeff Niemann,1
27,Alfredo Simon,Joel Peralta,0
28,Alfredo Simon,Jonathan Papelbon,43
29,Alfredo Simon,Jose Valverde,7
30,Alfredo Simon,Josh Lueke,9
31,Alfredo Simon,Kevin Gregg,21
32,Alfredo Simon,Koji Uehara,6
33,Alfredo Simon,Mike Pelfrey,19
34,Alfredo Simon,Ricky Nolasco,17
35,Alfredo Simon,Ryan Dempster,12
36,Alfredo Simon,Ubaldo Jimenez,0
37,Anibal Sanchez,Brad Penny,24
38,Anibal Sanchez,Burke Badenhop,21
39,Anibal Sanchez,Carl Pavano,8
40,Anibal Sanchez,Carlos Zambrano,22
41,Anibal Sanchez,Dan Haren,14
42,Anibal Sanchez,Edward Mujica,32
43,Anibal Sanchez,Frank Francisco,11
44,Anibal Sanchez,Freddy Garcia,9
45,Anibal Sanchez,Guillermo Moscoso,0
46,Anibal Sanchez,Hiroki Kuroda,67
47,Anibal Sanchez,J.J. Putz,0
48,Anibal Sanchez,Jeff Samardzija,6
49,Anibal Sanchez,Joel Peralta,0
50,Anibal Sanchez,Jonathan Papelbon,5
51,Jonathan Papelbon,Anibal Sanchez,5
52,Anibal Sanchez,Jorge De La Rosa,13
53,Anibal Sanchez,Jose Arredondo,28
54,Anibal Sanchez,Jose Valverde,12
55,Anibal Sanchez,Koji Uehara,10
56,Anibal Sanchez,Mike Pelfrey,48
57,Anibal Sanchez,Ricky Nolasco,17
58,Anibal Sanchez,Ryan Dempster,0
59,Anibal Sanchez,Tim Hudson,15
60,Anibal Sanchez,Ubaldo Jimenez,0
61,Anibal Sanchez,Wilton Lopez,4
62,Bobby Cassevah,Brandon League,0
63,Bobby Cassevah,Freddy Garcia,0
64,Bobby Cassevah,Joel Peralta,0
65,Brad Penny,Alfredo Aceves,0
66,Brad Penny,Alfredo Simon,0
67,Brad Penny,Anibal Sanchez,0
68,Brad Penny,Brandon League,0
69,Brad Penny,Brandon Morrow,0
70,Brad Penny,Carl Pavano,0
71,Brad Penny,Dan Haren,0
72,Brad Penny,Edward Mujica,5
73,Edward Mujica,Brad Penny,5
74,Brad Penny,Frank Francisco,0
75,Brad Penny,Freddy Garcia,0
76,Brad Penny,Greg Holland,0
77,Brad Penny,Guillermo Moscoso,0
78,Brad Penny,Hiroki Kuroda,0
79,Brad Penny,J.J. Putz,0
80,Brad Penny,Joel Peralta,0
81,Brad Penny,Jonathan Papelbon,0
82,Brad Penny,Jose Arredondo,0
83,Brad Penny,Jose Valverde,0
84,Brad Penny,Kevin Gregg,0
85,Brad Penny,Koji Uehara,0
86,Brad Penny,Ricky Nolasco,0
87,Brad Penny,Tim Hudson,0
