,Year,SpringRank,SpringRank_AUC
0,2009.0,0.7413793103448276,0.7612612612612613
1,2010.0,0.6854838709677419,0.6843546284224251
2,2011.0,0.7007299270072993,0.7024891774891775
3,2012.0,0.6717557251908397,0.6778169014084506
4,2013.0,0.6806722689075629,0.6857549857549857
5,2014.0,0.6849315068493149,0.6961178045515395
6,2015.0,0.6716417910447762,0.6709030100334448
7,2016.0,0.7549019607843137,0.7549019607843137
8,2017.0,0.65,0.655483462573192
9,2018.0,0.6692307692307692,0.6745454545454547
10,2019.0,0.6833333333333333,0.6944444444444444
