,winner,loser,score
136,A. j. Pierzynski,Luke Scott,0
137,A. j. Pierzynski,Lyle Overbay,0
138,A. j. Pierzynski,Magglio Ordonez,18
139,A. j. Pierzynski,Maicer Izturis,0
140,A. j. Pierzynski,Marco Scutaro,0
141,A. j. Pierzynski,Marcus Thames,5
142,A. j. Pierzynski,Mark Derosa,18
143,A. j. Pierzynski,Mark Ellis,25
144,A. j. Pierzynski,Mark Kotsay,36
145,A. j. Pierzynski,Mark Reynolds,0
146,A. j. Pierzynski,Mark Teahen,43
147,A. j. Pierzynski,Mark Teixeira,9
148,A. j. Pierzynski,Marlon Byrd,0
149,A. j. Pierzynski,Matt Downs,3
150,A. j. Pierzynski,Matt Holliday,15
151,A. j. Pierzynski,Matt Tolbert,15
152,A. j. Pierzynski,Matt Wieters,0
153,A. j. Pierzynski,Melky Cabrera,3
154,A. j. Pierzynski,Melvin Mora,18
155,A. j. Pierzynski,Micah Hoffpauir,3
156,A. j. Pierzynski,Michael Bourn,15
157,A. j. Pierzynski,Michael Brantley,9
158,A. j. Pierzynski,Michael Cuddyer,34
159,A. j. Pierzynski,Michael Saunders,1
160,A. j. Pierzynski,Michael Young,33
161,Michael Young,A. j. Pierzynski,33
162,A. j. Pierzynski,Miguel Cabrera,16
163,A. j. Pierzynski,Miguel Olivo,17
164,A. j. Pierzynski,Mike Cameron,0
165,A. j. Pierzynski,Mike Jacobs,17
166,A. j. Pierzynski,Mike Lowell,0
167,A. j. Pierzynski,Mike Napoli,37
168,A. j. Pierzynski,Mike Redmond,0
169,A. j. Pierzynski,Mike Sweeney,23
170,A. j. Pierzynski,Milton Bradley,10
171,A. j. Pierzynski,Mitch Maier,5
172,A. j. Pierzynski,Nelson Cruz,3
173,A. j. Pierzynski,Nick Green,8
174,A. j. Pierzynski,Nick Markakis,10
175,A. j. Pierzynski,Nick Punto,23
176,A. j. Pierzynski,Nick Swisher,0
177,A. j. Pierzynski,Nolan Reimold,5
178,A. j. Pierzynski,Nomar Garciaparra,27
179,A. j. Pierzynski,Nyjer Morgan,17
180,A. j. Pierzynski,Orlando Cabrera,8
181,A. j. Pierzynski,Pat Burrell,0
182,A. j. Pierzynski,Paul Konerko,0
183,A. j. Pierzynski,Placido Polanco,0
184,A. j. Pierzynski,Prince Fielder,11
185,A. j. Pierzynski,Rajai Davis,0
186,A. j. Pierzynski,Ramon Santiago,6
187,A. j. Pierzynski,Randy Wells,3
188,Randy Wells,A. j. Pierzynski,3
189,A. j. Pierzynski,Randy Winn,0
190,A. j. Pierzynski,Rick Ankiel,21
191,A. j. Pierzynski,Rob Johnson,26
192,A. j. Pierzynski,Robert Andino,9
193,A. j. Pierzynski,Robinson Cano,3
194,A. j. Pierzynski,Rocco Baldelli,0
195,A. j. Pierzynski,Rod Barajas,0
196,A. j. Pierzynski,Russell Branyan,29
197,A. j. Pierzynski,Ryan Braun,17
198,A. j. Pierzynski,Ryan Garko,0
199,A. j. Pierzynski,Ryan Howard,0
200,A. j. Pierzynski,Ryan Raburn,0
201,A. j. Pierzynski,Ryan Sweeney,12
202,A. j. Pierzynski,Scott Podsednik,0
203,A. j. Pierzynski,Scott Rolen,0
204,A. j. Pierzynski,Seth Smith,0
205,A. j. Pierzynski,Shane Victorino,0
206,A. j. Pierzynski,Shin-soo Choo,0
207,A. j. Pierzynski,Skip Schumaker,3
208,Skip Schumaker,A. j. Pierzynski,3
209,A. j. Pierzynski,Taylor Teagarden,0
210,A. j. Pierzynski,Todd Helton,0
211,A. j. Pierzynski,Torii Hunter,0
212,A. j. Pierzynski,Travis Buck,0
213,A. j. Pierzynski,Travis Hafner,7
214,A. j. Pierzynski,Travis Snider,3
215,A. j. Pierzynski,Trevor Crowe,9
216,A. j. Pierzynski,Ty Wigginton,3
217,A. j. Pierzynski,Vernon Wells,20
218,A. j. Pierzynski,Victor Martinez,0
219,A. j. Pierzynski,Vladimir Guerrero,0
220,A. j. Pierzynski,Willie Bloomquist,31
221,A. j. Pierzynski,Willy Aybar,6
222,A. j. Pierzynski,Yuniesky Betancourt,42
223,Aaron Cook,Adam Dunn,0
224,Aaron Cook,Alexei Ramírez,0
225,Aaron Cook,Andre Ethier,6
226,Andre Ethier,Aaron Cook,6
227,Aaron Cook,Austin Kearns,0
228,Aaron Cook,Carlos Gonzalez,0
229,Aaron Cook,Carlos Lee,0
230,Aaron Cook,Casey Kotchman,3
231,Aaron Cook,Chase Headley,0
232,Aaron Cook,Chris Iannetta,0
233,Aaron Cook,Dan Uggla,0
234,Aaron Cook,Dexter Fowler,0
235,Aaron Cook,Everth Cabrera,2
236,Aaron Cook,Fred Lewis,1
237,Fred Lewis,Aaron Cook,1
238,Aaron Cook,Garret Anderson,0
239,Aaron Cook,Garrett Jones,0
240,Aaron Cook,Ivan Rodriguez,0
241,Aaron Cook,James Loney,0
242,Aaron Cook,Jorge Cantu,0
243,Aaron Cook,Jose Bautista,0
244,Aaron Cook,Josh Willingham,0
245,Aaron Cook,Kazuo Matsui,1
246,Kazuo Matsui,Aaron Cook,1
247,Aaron Cook,Ken Griffey,0
248,Aaron Cook,Luis Rodriguez,0
249,Aaron Cook,Miguel Tejada,0
250,Aaron Cook,Nate Mclouth,0
251,Aaron Cook,Orlando Hudson,0
252,Aaron Cook,Pablo Sandoval,0
253,Aaron Cook,Raul Ibanez,0
254,Aaron Cook,Ronnie Belliard,0
255,Aaron Cook,Ronny Paulino,0
256,Aaron Cook,Ryan Howard,0
257,Aaron Cook,Ryan Spilborghs,0
258,Aaron Cook,Todd Helton,0
259,Aaron Cook,Troy Tulowitzki,0
260,Aaron Cook,Yorvit Torrealba,2
261,Aaron Cook,Yunel Escobar,4
262,Aaron Cunningham,Adam Everett,0
263,Aaron Cunningham,Adam Lind,0
264,Aaron Cunningham,Alex Rodriguez,3
265,Alex Rodriguez,Aaron Cunningham,3
266,Aaron Cunningham,B. j. Upton,0
267,Aaron Cunningham,David Dejesus,0
268,Aaron Cunningham,Derrek Lee,1
269,Derrek Lee,Aaron Cunningham,1
270,Aaron Cunningham,Jason Bartlett,0
271,Aaron Cunningham,Jorge Posada,0
272,Aaron Cunningham,Kevin Youkilis,1
273,Kevin Youkilis,Aaron Cunningham,1
274,Aaron Cunningham,Mark Teixeira,3
275,Mark Teixeira,Aaron Cunningham,3
276,Aaron Cunningham,Michael Cuddyer,0
277,Aaron Cunningham,Mike Lowell,0
278,Aaron Cunningham,Nick Swisher,5
279,Nick Swisher,Aaron Cunningham,5
280,Aaron Cunningham,Pat Burrell,0
281,Aaron Cunningham,Placido Polanco,0
282,Aaron Cunningham,Robinson Cano,1
283,Robinson Cano,Aaron Cunningham,1
284,Aaron Cunningham,Shin-soo Choo,0
285,Aaron Cunningham,Travis Hafner,1
286,Travis Hafner,Aaron Cunningham,1
287,Aaron Cunningham,Willie Bloomquist,0
288,Aaron Harang,Brandon Phillips,0
289,Aaron Harang,Derrek Lee,0
290,Aaron Harang,Freddy Sanchez,0
291,Aaron Harang,Jason Kendall,0
292,Aaron Harang,Matt Diaz,0
293,Aaron Harang,Omar Infante,2
294,Aaron Harang,Ronny Paulino,1
295,Aaron Harang,Ryan Braun,0
296,Aaron Hill,A. j. Pierzynski,43
297,Aaron Hill,Aaron Miles,3
298,Aaron Hill,Aaron Rowand,0
299,Aaron Hill,Adam Dunn,0
300,Aaron Hill,Adam Everett,3
301,Aaron Hill,Adam Jones,52
302,Aaron Hill,Adam Kennedy,37
303,Aaron Hill,Adam Laroche,0
304,Aaron Hill,Adam Lind,34
305,Aaron Hill,Adrian Beltre,0
306,Aaron Hill,Adrian Gonzalez,23
307,Aaron Hill,Akinori Iwamura,44
308,Aaron Hill,Albert Pujols,1
309,Aaron Hill,Alberto Callaspo,89
310,Aaron Hill,Alberto Gonzalez,0
311,Aaron Hill,Alex Cora,11
312,Aaron Hill,Alex Gonzalez,16
313,Aaron Hill,Alex Gordon,0
314,Aaron Hill,Alex Rios,41
315,Aaron Hill,Alex Rodriguez,0
316,Aaron Hill,Alex Romero,0
317,Aaron Hill,Alexei Ramírez,58
318,Aaron Hill,Alexi Casilla,21
319,Aaron Hill,Anderson Hernandez,23
320,Aaron Hill,Andre Ethier,12
321,Aaron Hill,Andres Torres,8
322,Aaron Hill,Andrew Mccutchen,0
323,Aaron Hill,Andruw Jones,20
324,Aaron Hill,Andy Laroche,11
325,Aaron Hill,Andy Marte,0
326,Aaron Hill,Angel Pagan,0
327,Aaron Hill,Asdrubal Cabrera,28
328,Aaron Hill,Aubrey Huff,7
329,Aaron Hill,Augie Ojeda,5
330,Aaron Hill,Austin Kearns,0
331,Aaron Hill,B. j. Upton,49
332,Aaron Hill,Ben Francisco,21
333,Aaron Hill,Ben Zobrist,27
334,Aaron Hill,Bengie Molina,15
335,Aaron Hill,Bill Hall,4
336,Aaron Hill,Billy Butler,12
337,Aaron Hill,Bobby Abreu,22
338,Aaron Hill,Brad Hawpe,31
339,Aaron Hill,Brandon Inge,76
340,Aaron Hill,Brendan Ryan,11
341,Aaron Hill,Brent Lillibridge,21
342,Aaron Hill,Brett Carroll,7
343,Aaron Hill,Brett Gardner,46
344,Aaron Hill,Brian Anderson,22
345,Aaron Hill,Brian Mccann,0
346,Aaron Hill,Brian Roberts,0
347,Aaron Hill,Brian Schneider,23
348,Aaron Hill,Carl Crawford,47
349,Aaron Hill,Carlos Beltran,9
350,Aaron Hill,Carlos Gomez,53
351,Aaron Hill,Carlos Gonzalez,0
352,Aaron Hill,Carlos Guillen,33
353,Aaron Hill,Carlos Lee,0
354,Aaron Hill,Carlos Pena,2
355,Aaron Hill,Carlos Quentin,0
356,Aaron Hill,Carlos Ruiz,6
357,Aaron Hill,Casey Blake,11
358,Aaron Hill,Casey Kotchman,2
359,Aaron Hill,Casey Mcgehee,0
360,Aaron Hill,Cesar Izturis,24
361,Aaron Hill,Chad Tracy,10
362,Aaron Hill,Chase Headley,2
363,Aaron Hill,Chase Utley,47
364,Aaron Hill,Chipper Jones,19
365,Aaron Hill,Chone Figgins,41
366,Aaron Hill,Chris Coghlan,27
367,Chris Coghlan,Aaron Hill,27
368,Aaron Hill,Chris Davis,48
369,Aaron Hill,Chris Getz,40
370,Aaron Hill,Chris Iannetta,2
371,Aaron Hill,Chris Snyder,1
372,Aaron Hill,Chris Woodward,31
373,Aaron Hill,Chris Young,5
374,Aaron Hill,Clete Thomas,6
375,Aaron Hill,Cliff Pennington,24
376,Aaron Hill,Coco Crisp,9
377,Aaron Hill,Cody Ross,22
378,Aaron Hill,Colby Rasmus,0
379,Aaron Hill,Cole Hamels,10
380,Aaron Hill,Corey Hart,12
381,Aaron Hill,Craig Counsell,0
382,Aaron Hill,Cristian Guzman,27
383,Aaron Hill,Curtis Granderson,0
384,Aaron Hill,Dan Uggla,0
385,Aaron Hill,Daniel Murphy,12
386,Aaron Hill,Daric Barton,25
387,Aaron Hill,David Dejesus,40
388,Aaron Hill,David Dellucci,18
389,Aaron Hill,David Eckstein,11
390,Aaron Hill,David Murphy,17
391,Aaron Hill,David Ortiz,10
392,Aaron Hill,David Wright,16
393,David Wright,Aaron Hill,16
394,Aaron Hill,Delmon Young,54
395,Aaron Hill,Delwyn Young,10
396,Aaron Hill,Denard Span,0
397,Aaron Hill,Derek Jeter,0
398,Aaron Hill,Dexter Fowler,2
399,Aaron Hill,Dioner Navarro,42
400,Aaron Hill,Dustin Pedroia,4
401,Aaron Hill,Edwin Encarnacion,21
402,Aaron Hill,Elijah Dukes,16
403,Aaron Hill,Elvis Andrus,59
404,Aaron Hill,Emilio Bonifacio,17
405,Aaron Hill,Endy Chavez,0
406,Aaron Hill,Eric Byrnes,10
407,Aaron Hill,Eric Hinske,2
408,Aaron Hill,Erick Aybar,1
