,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6839642705231816,0.6859210700844446
1,2010.0,0.6892813517915309,0.6921449241558617
2,2011.0,0.6763870967741935,0.6789859472673587
3,2012.0,0.6752577319587629,0.6773197349519017
4,2013.0,0.6563039723661486,0.6576410543440815
5,2014.0,0.6630007062859449,0.6660516284778911
6,2015.0,0.6687894680509472,0.6710630712259691
7,2016.0,0.6586982132338504,0.6603075983430133
8,2017.0,0.6675427746856318,0.6689902493779337
9,2018.0,0.6692425012709711,0.6711376062481039
10,2019.0,0.6579798272284156,0.6601162649810888
