,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6825396825396826,0.6957894736842105
1,2010.0,0.7671232876712328,0.7763951734539971
2,2011.0,0.6521739130434783,0.6723809523809523
3,2012.0,0.5454545454545454,0.6160714285714286
4,2013.0,0.5972222222222222,0.6926514399205561
5,2014.0,0.7625,0.7687969924812029
6,2015.0,0.6863905325443787,0.751057254391672
7,2016.0,0.7461538461538462,0.7749999999999999
8,2017.0,0.7745098039215687,0.7842105263157895
9,2018.0,0.7368421052631579,0.7693452380952382
10,2019.0,0.7407407407407407,0.7670454545454546
