winner,loser,who_won,score
"Abbott, Andrew",Jahmai Jones,pitcher,1.7658321269408725
"Abbott, Andrew",Blake Perkins,pitcher,0.43789207754974596
"Abbott, Andrew",Lars Nootbaar,pitcher,3.131837406681995
"Abbott, Andrew",Ryan Mountcastle,pitcher,0.7996536943995004
"Abbott, Andrew",Ryan McKenna,pitcher,1.7658321269408725
"Abbott, Andrew",Cal Raleigh,pitcher,0.3998268471997502
"Abbott, Andrew",Nick Fortes,pitcher,0.3998268471997502
"Abbott, Andrew",Romy Gonzalez,pitcher,2.732010559482245
"Abbott, Andrew",Brendan Rodgers,pitcher,2.165658974140623
"Abbott, Andrew",Nathaniel Lowe,pitcher,0.3998268471997502
"Abbott, Andrew",Ian Happ,pitcher,0.3998268471997502
"Abbott, Andrew",Ty France,pitcher,1.3660052797411224
"Abbott, Andrew",Brandon Lowe,pitcher,0.3998268471997502
"Abbott, Andrew",Harrison Bader,pitcher,0.7996536943995004
"Abbott, Andrew",Dylan Moore,pitcher,0.7996536943995004
"Abbott, Andrew",Alec Bohm,pitcher,0.3998268471997502
"Abbott, Andrew",LaMonte Wade Jr.,pitcher,0.3998268471997502
"Abbott, Andrew",Jake McCarthy,pitcher,2.165658974140623
"Abbott, Andrew",Fernando Tatis Jr.,pitcher,0.7996536943995004
"Abbott, Andrew",Cristian Pache,pitcher,3.1318374066819947
"Abbott, Andrew",Juan Soto,pitcher,0.3998268471997502
"Abbott, Andrew",Leody Taveras,pitcher,0.3998268471997502
"Abbott, Andrew",Enmanuel Valdez,pitcher,1.3660052797411224
"Abbott, Andrew",Jazz Chisholm Jr.,pitcher,0.7996536943995004
"Abbott, Andrew",José Fermín,pitcher,0.43789207754974596
"Abbott, Andrew",Esteury Ruiz,pitcher,0.3998268471997502
"Abbott, Andrew",Freddy Fermin,pitcher,0.7996536943995004
"Abbott, Andrew",Tyler Fitzgerald,pitcher,2.732010559482245
"Abbott, Andrew",Dylan Carlson,pitcher,2.165658974140623
"Abbott, Andrew",Jerar Encarnacion,pitcher,2.732010559482245
"Abbott, Andrew",Christopher Morel,pitcher,3.1318374066819947
"Abbott, Andrew",Bobby Dalbec,pitcher,1.7658321269408725
"Abbott, Andrew",Adolis García,pitcher,0.3998268471997502
"Abbott, Andrew",Lourdes Gurriel Jr.,pitcher,1.7658321269408725
"Abbott, Andrew",JJ Bleday,pitcher,1.3660052797411224
"Abbott, Andrew",Andrew Knizner,pitcher,2.732010559482245
"Abbott, Andrew",Aaron Schunk,pitcher,2.732010559482245
"Abbott, Andrew",Brice Turang,pitcher,0.3998268471997502
"Abbott, Andrew",Brandon Marsh,pitcher,0.3998268471997502
"Abbott, Andrew",Shea Langeliers,pitcher,0.03565244542848222
"Abbott, Andrew",Luis Campusano,pitcher,0.7996536943995004
"Abbott, Andrew",Nolan Gorman,pitcher,1.7658321269408725
"Abbott, Andrew",Xavier Edwards,pitcher,2.165658974140623
"Abbott, Andrew",Jake Burger,pitcher,1.7658321269408725
"Abbott, Andrew",Casey Schmitt,pitcher,1.1994805415992507
"Abbott, Andrew",Michael Toglia,pitcher,1.7658321269408725
"Abbott, Andrew",Isaac Paredes,pitcher,0.7996536943995004
"Abbott, Andrew",Iván Herrera,pitcher,0.3998268471997502
"Abbott, Andrew",Heliot Ramos,pitcher,1.7658321269408725
"Abbott, Andrew",Lawrence Butler,pitcher,0.03565244542848222
