,Year,SpringRank,PageRank,BiRank,SpringRank_AUC,PageRank_AUC,BiRank_AUC
0,2009.0,0.8441242450388265,0.1972389991371873,0.7834339948231234,0.8442066107469985,0.1971955429906216,0.7834976221737036
1,2010.0,0.8477205672408871,0.1918720852764824,0.7873417721518987,0.8477808081991841,0.1918220983672759,0.7873813303380864
2,2011.0,0.8431233524225071,0.20190891737114808,0.7846741205344968,0.8431668634480319,0.20184496224917967,0.7846996642708762
3,2012.0,0.8405827702702703,0.20097832207207209,0.7810036599099099,0.8406304296715472,0.20092102687168792,0.7810192910717049
4,2013.0,0.8353465462648059,0.20583357067466368,0.7760223826835765,0.8354038830574173,0.20576119372952129,0.7760664070918996
5,2014.0,0.8382355469220059,0.20542882192157605,0.7807842395695451,0.8383172340540385,0.20534416933987032,0.7808410229833683
6,2015.0,0.8329074346871899,0.2077232961548868,0.7660613895319124,0.8329615676743171,0.20765471514409428,0.7661477821803885
7,2016.0,0.8298491316297293,0.2114203847728203,0.7737705397345185,0.8299290964837408,0.2113292895050006,0.7738389198947578
8,2017.0,0.8262249497942618,0.21357450812420128,0.7638434423581951,0.8262966492741625,0.21352170867501002,0.7638959972797573
9,2018.0,0.8238416924363279,0.22388416260766847,0.7641312859171566,0.8239856593350496,0.2237817497859286,0.7642382015627004
10,2019.0,0.817052281416017,0.22946973834467008,0.7641254158184797,0.8171499045172219,0.22941047554871868,0.764195286789231
