,Year,SpringRank,SpringRank_AUC
0,2009.0,0.7391688770999116,0.7410385538535005
1,2010.0,0.7369513641755635,0.7394886789623631
2,2011.0,0.7131416090280306,0.7155919062434108
3,2012.0,0.7173405909797823,0.7197382277719271
4,2013.0,0.7082443400256301,0.7124802002925854
5,2014.0,0.7116620752984392,0.714608545687015
6,2015.0,0.7081107333657115,0.7120746471195887
7,2016.0,0.7204545454545455,0.7224488630390001
8,2017.0,0.727784730913642,0.7321267112384591
9,2018.0,0.7274266365688488,0.7321975062006824
10,2019.0,0.6994413407821229,0.7041337798431615
