,winner,loser,score
148,Travis Schlichting,A.J. Burnett,3
149,A.J. Burnett,Trevor Cahill,32
150,A.J. Burnett,Vicente Padilla,4
151,A.J. Burnett,Vinnie Chulk,19
152,A.J. Burnett,Zach Miner,9
153,Aaron Cook,A.J. Burnett,13
154,Aaron Cook,Aaron Heilman,16
155,Aaron Cook,Adam Russell,30
156,Aaron Cook,Adam Wainwright,22
157,Aaron Cook,Anibal Sanchez,35
158,Aaron Cook,Armando Galarraga,3
159,Aaron Cook,Blake Hawksworth,70
160,Aaron Cook,Bob Keppel,9
161,Aaron Cook,Bobby Seay,21
162,Aaron Cook,Brad Penny,19
163,Aaron Cook,Brad Thompson,72
164,Aaron Cook,Brad Ziegler,29
165,Aaron Cook,Braden Looper,81
166,Aaron Cook,Brandon League,51
167,Aaron Cook,Brett Cecil,0
168,Aaron Cook,Brian Bass,0
169,Aaron Cook,Brian Duensing,30
170,Aaron Cook,Brian Fuentes,35
171,Aaron Cook,Bronson Arroyo,34
172,Aaron Cook,Bruce Chen,0
173,Aaron Cook,Buddy Carlyle,13
174,Aaron Cook,Burke Badenhop,60
175,Aaron Cook,CC Sabathia,33
176,Aaron Cook,Carl Pavano,35
177,Aaron Cook,Carlos Fisher,14
178,Aaron Cook,Carlos Silva,6
179,Aaron Cook,Carlos Zambrano,0
180,Aaron Cook,Chad Gaudin,19
181,Aaron Cook,Chad Qualls,62
182,Aaron Cook,Chan Ho Park,17
183,Aaron Cook,Chien-Ming Wang,21
184,Aaron Cook,Chris Carpenter,5
185,Aaron Cook,Chris Volstad,78
186,Aaron Cook,Claudio Vargas,14
187,Aaron Cook,Clay Condrey,26
188,Aaron Cook,Dallas Braden,6
189,Aaron Cook,Dan Meyer,12
190,Aaron Cook,Dana Eveland,7
191,Aaron Cook,Daniel Schlereth,4
192,Aaron Cook,Danys Baez,12
193,Aaron Cook,Darren O'Day,41
194,Aaron Cook,Dennys Reyes,37
195,Aaron Cook,Derek Holland,0
196,Aaron Cook,Derek Lowe,81
197,Derek Lowe,Aaron Cook,81
198,Aaron Cook,Doug Mathis,40
199,Aaron Cook,Dustin Moseley,6
200,Aaron Cook,Eddie Guardado,20
201,Aaron Cook,Edgar Gonzalez,42
202,Aaron Cook,Eric O'Flaherty,31
203,Aaron Cook,Esmerling Vasquez,20
204,Aaron Cook,Felix Hernandez,23
205,Aaron Cook,Fu-Te Ni,12
206,Aaron Cook,Graham Taylor,29
207,Aaron Cook,Greg Burke,39
208,Aaron Cook,Guillermo Mota,44
209,Aaron Cook,Heath Bell,0
210,Aaron Cook,Hiroki Kuroda,24
211,Aaron Cook,Huston Street,94
212,Aaron Cook,J.C. Romero,17
213,Aaron Cook,Jamey Wright,16
214,Aaron Cook,Jamie Moyer,37
215,Aaron Cook,Jason Marquis,62
216,Aaron Cook,Jeff Karstens,63
217,Aaron Cook,Jeff Suppan,11
218,Aaron Cook,Jeff Weaver,28
219,Aaron Cook,Jeremy Guthrie,30
220,Aaron Cook,Jerry Blevins,0
221,Aaron Cook,Jesse Carlson,17
222,Aaron Cook,Jim Johnson,60
223,Aaron Cook,Joe Beimel,69
224,Aaron Cook,Joe Blanton,20
225,Aaron Cook,Joe Smith,18
226,Aaron Cook,Joel Pineiro,28
