,Year,SpringRank,SpringRank_AUC
0,2009.0,0.7018842530282638,0.7132784662146364
1,2010.0,0.6998587570621468,0.7112950421341053
2,2011.0,0.7032213845099383,0.7110565252571956
3,2012.0,0.6676783004552352,0.6762702797362166
4,2013.0,0.6762349799732977,0.6860765893835917
5,2014.0,0.6760644418872267,0.6890188756308895
6,2015.0,0.6777027027027027,0.6908098817742018
7,2016.0,0.6941580756013745,0.7107549714037724
8,2017.0,0.655893536121673,0.674551801397072
9,2018.0,0.6849768365320981,0.6949964091286276
10,2019.0,0.6737853710624666,0.6818467188707337
