,winner,loser,who_won,score
0,A. j. Ellis,Casey Coleman,batter,3
1,A. j. Ellis,Jaime Garcia,batter,3
2,A. j. Pierzynski,Alfredo Aceves,batter,8
3,A. j. Pierzynski,Cesar Ramos,batter,3
4,A. j. Pierzynski,Felix Hernandez,batter,3
5,A. j. Pierzynski,Joel Pineiro,batter,6
6,A. j. Pierzynski,Josh Rupe,batter,3
7,A. j. Pierzynski,Nick Blackburn,batter,6
8,A. j. Pierzynski,Tyler Chatwood,batter,3
9,Aaron Cook,Alex Gonzalez,pitcher,2
10,Aaron Cook,Brennan Boesch,pitcher,1
11,Aaron Cook,Brett Hayes,pitcher,1
12,Aaron Cook,Brian Schneider,pitcher,1
13,Aaron Cook,Bryan Petersen,pitcher,2
14,Aaron Cook,Burke Badenhop,pitcher,6
15,Aaron Cook,Cameron Maybin,pitcher,1
16,Aaron Cook,Carlos Corporan,pitcher,6
17,Aaron Cook,Clint Barmes,pitcher,1
18,Aaron Cook,Danny Espinosa,pitcher,1
19,Aaron Cook,Don Kelly,pitcher,1
20,Aaron Cook,Francisco Cervelli,pitcher,1
21,Aaron Cook,Geoff Blum,pitcher,1
22,Aaron Cook,Greg Dobbs,pitcher,1
23,Aaron Cook,Hiroki Kuroda,pitcher,6
24,Aaron Cook,Ian Desmond,pitcher,2
25,Aaron Cook,Jason Bartlett,pitcher,2
26,Aaron Cook,Jeremy Hermida,pitcher,12
27,Aaron Cook,Jhonny Peralta,pitcher,6
28,Aaron Cook,Jimmy Paredes,pitcher,1
29,Aaron Cook,Jonny Gomes,pitcher,6
30,Aaron Cook,Jordan Schafer,pitcher,7
31,Aaron Cook,Justin Verlander,pitcher,6
32,Aaron Cook,Kyle Kendrick,pitcher,1
33,Aaron Cook,Luis Martinez,pitcher,2
34,Aaron Cook,Mark Kotsay,pitcher,6
35,Aaron Cook,Placido Polanco,pitcher,1
36,Aaron Cook,Prince Fielder,pitcher,1
37,Aaron Cook,Robinson Cano,pitcher,2
38,Aaron Cook,Ryan Howard,pitcher,1
39,Aaron Cook,Ryan Ludwick,pitcher,1
40,Aaron Cook,Wandy Rodriguez,pitcher,6
41,Aaron Cook,Willie Bloomquist,pitcher,1
42,Aaron Cunningham,Jhoulys Chacin,batter,3
43,Aaron Harang,Andre Ethier,pitcher,1
44,Aaron Harang,Aubrey Huff,pitcher,1
45,Aaron Harang,Brett Wallace,pitcher,1
46,Aaron Harang,Bryan Petersen,pitcher,1
47,Aaron Harang,Cody Ross,pitcher,1
48,Aaron Harang,Eric Hinske,pitcher,2
49,Aaron Harang,Eric Young,pitcher,2
50,Aaron Harang,Gerardo Parra,pitcher,8
51,Aaron Harang,Ian Stewart,pitcher,1
52,Aaron Harang,Ivan Rodriguez,pitcher,1
53,Aaron Harang,Jason Heyward,pitcher,1
54,Aaron Harang,Jeff Karstens,pitcher,6
55,Aaron Harang,Jimmy Rollins,pitcher,1
56,Aaron Harang,Joe Saunders,pitcher,7
57,Aaron Harang,Jon Jay,pitcher,6
58,Aaron Harang,Jordan Schafer,pitcher,1
59,Aaron Harang,Justin Sellers,pitcher,1
60,Aaron Harang,Justin Turner,pitcher,1
61,Aaron Harang,Matt Kemp,pitcher,1
62,Aaron Harang,Michael Bourn,pitcher,1
63,Aaron Harang,Miguel Montero,pitcher,1
64,Aaron Harang,Mike Baxter,pitcher,1
65,Aaron Harang,Nate Schierholtz,pitcher,2
66,Aaron Harang,Neil Walker,pitcher,1
67,Aaron Harang,Pedro Alvarez,pitcher,6
