,Year,SpringRank,SpringRank_AUC
0,2009.0,0.7114996637525218,0.7149394543372577
1,2010.0,0.6973531122745782,0.6996344190226516
2,2011.0,0.7090041741204532,0.7115115654592885
3,2012.0,0.7103496503496504,0.7140197054804168
4,2013.0,0.6951980466630494,0.6998442259761839
5,2014.0,0.6783657800932273,0.6809284176073971
6,2015.0,0.6970911441499676,0.7020557745882697
7,2016.0,0.6959767206477733,0.6995779584644142
8,2017.0,0.6957171314741036,0.7004609969621007
9,2018.0,0.6930830288522112,0.6971310411164613
10,2019.0,0.6951456310679611,0.6998015731402559
