,Year,SpringRank,SpringRank_AUC
0,2009.0,0.696911196911197,0.7063633993172359
1,2010.0,0.6703650680028633,0.6790479699940777
2,2011.0,0.6851996867658575,0.6895648125568095
3,2012.0,0.676529160739687,0.6819437493744371
4,2013.0,0.7057347670250896,0.7204430760993241
5,2014.0,0.7189026681698609,0.7261419492316598
6,2015.0,0.6872493985565357,0.6985819816807689
7,2016.0,0.7069385270846014,0.7143588646542622
8,2017.0,0.6914076782449726,0.6970104633781763
9,2018.0,0.6750195771339076,0.6833172115081904
10,2019.0,0.6717930793428871,0.6794642388173072
