winner,loser,who_won,score
A. j. Ellis,Aaron Cook,batter,3
A. j. Ellis,Anibal Sanchez,batter,2
A. j. Ellis,Arthur Rhodes,batter,2
A. j. Ellis,Barry Enright,batter,5
A. j. Ellis,Barry Zito,batter,2
A. j. Ellis,Blake Hawksworth,batter,3
A. j. Ellis,Brandon Medders,batter,6
A. j. Ellis,Bronson Arroyo,batter,11
A. j. Ellis,Bud Norris,batter,4
A. j. Ellis,Carlos Rosa,batter,2
A. j. Ellis,Clayton Richard,batter,6
A. j. Ellis,Denny Bautista,batter,3
A. j. Ellis,Eddie Bonine,batter,3
A. j. Ellis,Esmil Rogers,batter,4
A. j. Ellis,Fernando Abad,batter,2
A. j. Ellis,Franklin Morales,batter,2
A. j. Ellis,Guillermo Mota,batter,3
A. j. Ellis,Jason Marquis,batter,6
A. j. Ellis,Jeff Suppan,batter,3
A. j. Ellis,Jesse Chavez,batter,3
A. j. Ellis,Jhoulys Chacin,batter,12
A. j. Ellis,Manny Delcarmen,batter,6
A. j. Ellis,Matt Belisle,batter,3
A. j. Ellis,Octavio Dotel,batter,6
A. j. Ellis,Oliver Perez,batter,3
A. j. Ellis,Tim Lincecum,batter,2
A. j. Ellis,Tom Gorzelanny,batter,5
A. j. Ellis,Ubaldo Jimenez,batter,15
A. j. Ellis,Wandy Rodriguez,batter,3
A. j. Ellis,Zach Kroenke,batter,2
A. j. Pierzynski,A.J. Burnett,batter,6
A. j. Pierzynski,Aaron Laffey,batter,3
A. j. Pierzynski,Alex Burnett,batter,6
A. j. Pierzynski,Alfredo Simon,batter,3
A. j. Pierzynski,Andrew Cashner,batter,3
A. j. Pierzynski,Anthony Lerew,batter,8
A. j. Pierzynski,Armando Galarraga,batter,3
A. j. Pierzynski,Blake Wood,batter,3
A. j. Pierzynski,Boone Logan,batter,3
A. j. Pierzynski,Brad Thomas,batter,3
A. j. Pierzynski,Brandon Morrow,batter,3
A. j. Pierzynski,Brett Anderson,batter,6
A. j. Pierzynski,Brett Cecil,batter,3
A. j. Pierzynski,Brian Bannister,batter,8
A. j. Pierzynski,Brian Duensing,batter,9
A. j. Pierzynski,Brian Fuentes,batter,3
A. j. Pierzynski,Brian Matusz,batter,3
A. j. Pierzynski,Bruce Chen,batter,17
A. j. Pierzynski,Carl Pavano,batter,21
A. j. Pierzynski,Carlos Marmol,batter,2
A. j. Pierzynski,Carlos Silva,batter,1
A. j. Pierzynski,Clay Buchholz,batter,6
A. j. Pierzynski,Colby Lewis,batter,9
A. j. Pierzynski,D.J. Carrasco,batter,6
A. j. Pierzynski,Dallas Braden,batter,3
A. j. Pierzynski,Damaso Marte,batter,6
A. j. Pierzynski,Dan Meyer,batter,1
A. j. Pierzynski,Darren O'Day,batter,3
A. j. Pierzynski,David Pauley,batter,3
A. j. Pierzynski,David Price,batter,3
A. j. Pierzynski,Dusty Hughes,batter,14
A. j. Pierzynski,Enrique Gonzalez,batter,2
A. j. Pierzynski,Ervin Santana,batter,6
A. j. Pierzynski,Felix Hernandez,batter,6
A. j. Pierzynski,Fernando Rodney,batter,6
A. j. Pierzynski,Francisco Liriano,batter,14
A. j. Pierzynski,Frank Herrmann,batter,12
A. j. Pierzynski,Gil Meche,batter,12
A. j. Pierzynski,Glen Perkins,batter,6
A. j. Pierzynski,Henry Rodriguez,batter,3
A. j. Pierzynski,Hideki Okajima,batter,3
A. j. Pierzynski,Ivan Nova,batter,3
A. j. Pierzynski,J.D. Martin,batter,9
A. j. Pierzynski,Jake Arrieta,batter,5
A. j. Pierzynski,Jake Westbrook,batter,3
A. j. Pierzynski,James Shields,batter,8
