,Year,SpringRank,SpringRank_AUC
0,2009.0,0.7302639862341042,0.7325505528490383
1,2010.0,0.7335794419407422,0.7367056129285339
2,2011.0,0.7175856929955291,0.7205090200162908
3,2012.0,0.7263850843863214,0.7293342797266203
4,2013.0,0.7200649218908499,0.7226789757442132
5,2014.0,0.7188583165732381,0.7214252943783729
6,2015.0,0.7289588360283791,0.7316416372411549
7,2016.0,0.7254592816013161,0.7284257224536547
8,2017.0,0.7190456169854951,0.7226040510294988
9,2018.0,0.7117467662214744,0.7150384254077211
10,2019.0,0.7133650044849008,0.7163812307093944
