,Year,SpringRank,PageRank,BiRank,SpringRank_AUC,PageRank_AUC,BiRank_AUC
0,2009.0,0.7639757623143081,0.3405981235340109,0.731308639562158,0.7640231594889924,0.3406244737555621,0.7313868569311477
1,2010.0,0.7617346223903599,0.3653028816963243,0.725841856989398,0.7617722396453923,0.3652443936303396,0.7258534585055603
2,2011.0,0.7547870885383423,0.35912282301449805,0.7240027353544564,0.7548584400799916,0.3590658231457363,0.7240416146355471
3,2012.0,0.7557011494252873,0.35528735632183905,0.7188505747126437,0.7557625786684151,0.3552388951801547,0.7188771819838752
4,2013.0,0.7452370921687029,0.3677620184431026,0.7086551514300427,0.7452820883702171,0.3677366217194748,0.7086852269271265
5,2014.0,0.7451677353405818,0.3733621410649568,0.7107843137254902,0.7452048962972432,0.3733146660885248,0.7108096044680462
6,2015.0,0.7491676994483729,0.3709022867002017,0.7147578430657822,0.7491741600504216,0.3708899469078792,0.7147541074697288
7,2016.0,0.7475970599321523,0.3736571805503204,0.7186675461741425,0.7477370898392655,0.3736078996159129,0.7187660321942732
8,2017.0,0.7446047483016061,0.370405934176729,0.7109009290155316,0.7446122088654373,0.37037927541117904,0.7108852473413786
9,2018.0,0.7430667857401463,0.3725229900316188,0.7089136154087519,0.7431161774891728,0.3724645605457229,0.7089228654663035
10,2019.0,0.7424180790960452,0.3678418079096045,0.7050076832685528,0.7424582868430964,0.36781976619276874,0.7050441221868052
