,winner,loser,score
136,Anthony DeSclafani,Jason Vargas,0
137,Anthony DeSclafani,Jeff Locke,0
138,Anthony DeSclafani,Jeremy Jeffress,5
139,Anthony DeSclafani,Jimmy Nelson,0
140,Anthony DeSclafani,Josh Fields,0
141,Anthony DeSclafani,Kirby Yates,0
142,Anthony DeSclafani,Lance McCullers Jr.,0
143,Anthony DeSclafani,Luke Hochevar,0
144,Anthony DeSclafani,Mark Melancon,1
145,Anthony DeSclafani,Matt Moore,3
146,Anthony DeSclafani,Matt Reynolds,0
147,Anthony DeSclafani,Matt Shoemaker,0
148,Anthony DeSclafani,Mike Leake,10
149,Anthony DeSclafani,Nate Karns,0
150,Anthony DeSclafani,Phil Hughes,5
151,Anthony DeSclafani,Sammy Solis,6
152,Anthony DeSclafani,Santiago Casilla,5
153,Anthony DeSclafani,Tom Koehler,16
154,Anthony DeSclafani,Trevor Bauer,0
155,Anthony DeSclafani,Trevor Cahill,0
156,Anthony DeSclafani,Tyler Duffey,0
157,Anthony DeSclafani,Vance Worley,0
158,Anthony DeSclafani,Wade Davis,0
159,Archie Bradley,Alex Cobb,0
160,Archie Bradley,Alex Wood,14
161,Archie Bradley,Anthony DeSclafani,14
162,Archie Bradley,Bobby Parnell,0
163,Archie Bradley,Brad Peacock,0
164,Archie Bradley,Brett Anderson,0
165,Archie Bradley,Brett Oberholtzer,1
166,Archie Bradley,Chris Devenski,10
167,Archie Bradley,Chris Smith,0
168,Archie Bradley,Chris Tillman,0
169,Archie Bradley,Cody Allen,12
170,Archie Bradley,Corey Knebel,14
171,Archie Bradley,Craig Kimbrel,0
172,Archie Bradley,David Phelps,23
173,Archie Bradley,David Price,5
174,Archie Bradley,David Robertson,0
175,Archie Bradley,Dellin Betances,31
176,Archie Bradley,Derek Holland,0
177,Archie Bradley,Dillon Gee,5
178,Archie Bradley,Drew Pomeranz,39
179,Archie Bradley,Edinson Volquez,5
180,Archie Bradley,Fernando Abad,13
181,Archie Bradley,Fernando Salas,14
182,Archie Bradley,Gerrit Cole,26
183,Archie Bradley,Homer Bailey,2
184,Archie Bradley,Ian Kennedy,5
185,Archie Bradley,J.P. Howell,34
186,Archie Bradley,James Paxton,0
187,Archie Bradley,James Shields,33
188,Archie Bradley,Jarred Cosart,18
189,Archie Bradley,Jason Vargas,0
190,Archie Bradley,Jeff Locke,0
191,Archie Bradley,Jeremy Jeffress,29
192,Archie Bradley,Jimmy Nelson,22
193,Archie Bradley,Josh Fields,19
194,Archie Bradley,Kirby Yates,0
195,Archie Bradley,Lance McCullers Jr.,5
196,Archie Bradley,Luke Hochevar,6
197,Archie Bradley,Mark Melancon,18
198,Archie Bradley,Matt Moore,16
199,Archie Bradley,Matt Reynolds,0
200,Archie Bradley,Matt Shoemaker,0
201,Archie Bradley,Mike Leake,5
202,Archie Bradley,Nate Karns,17
203,Archie Bradley,Phil Hughes,5
204,Archie Bradley,Sammy Solis,23
205,Archie Bradley,Santiago Casilla,35
206,Archie Bradley,Tom Koehler,35
207,Archie Bradley,Trevor Bauer,0
208,Archie Bradley,Trevor Cahill,13
209,Archie Bradley,Tyler Duffey,11
210,Archie Bradley,Vance Worley,0
211,Archie Bradley,Wade Davis,0
212,Bobby Parnell,Alex Cobb,6
213,Bobby Parnell,Alex Wood,0
214,Bobby Parnell,Anthony DeSclafani,0
215,Bobby Parnell,Archie Bradley,0
216,Bobby Parnell,Brad Peacock,0
217,Bobby Parnell,Brett Anderson,0
218,Bobby Parnell,Brett Oberholtzer,0
219,Bobby Parnell,Chris Devenski,0
220,Bobby Parnell,Chris Smith,0
221,Bobby Parnell,Chris Tillman,0
222,Bobby Parnell,Cody Allen,5
223,Bobby Parnell,Corey Knebel,0
224,Bobby Parnell,Craig Kimbrel,0
225,Bobby Parnell,David Phelps,0
226,Bobby Parnell,David Price,5
227,Bobby Parnell,David Robertson,0
228,Bobby Parnell,Dellin Betances,1
229,Bobby Parnell,Derek Holland,0
230,Bobby Parnell,Dillon Gee,10
231,Bobby Parnell,Drew Pomeranz,0
232,Bobby Parnell,Edinson Volquez,0
233,Bobby Parnell,Fernando Abad,0
234,Bobby Parnell,Fernando Salas,0
235,Bobby Parnell,Gerrit Cole,0
236,Bobby Parnell,Homer Bailey,0
237,Bobby Parnell,Ian Kennedy,0
238,Bobby Parnell,J.P. Howell,0
239,Bobby Parnell,James Paxton,0
240,Bobby Parnell,James Shields,0
241,Bobby Parnell,Jarred Cosart,0
242,Bobby Parnell,Jason Vargas,0
243,Bobby Parnell,Jeff Locke,0
244,Bobby Parnell,Jeremy Jeffress,0
245,Bobby Parnell,Jimmy Nelson,0
246,Bobby Parnell,Josh Fields,0
247,Bobby Parnell,Kirby Yates,0
248,Bobby Parnell,Lance McCullers Jr.,10
249,Bobby Parnell,Luke Hochevar,0
250,Bobby Parnell,Mark Melancon,0
251,Bobby Parnell,Matt Moore,0
252,Bobby Parnell,Matt Reynolds,0
253,Bobby Parnell,Matt Shoemaker,0
254,Bobby Parnell,Mike Leake,0
255,Bobby Parnell,Nate Karns,0
256,Bobby Parnell,Phil Hughes,0
257,Bobby Parnell,Sammy Solis,0
258,Bobby Parnell,Santiago Casilla,0
259,Bobby Parnell,Tom Koehler,0
260,Bobby Parnell,Trevor Bauer,0
261,Bobby Parnell,Trevor Cahill,0
262,Bobby Parnell,Tyler Duffey,9
263,Bobby Parnell,Vance Worley,1
264,Bobby Parnell,Wade Davis,0
265,Brad Peacock,Alex Cobb,0
266,Brad Peacock,Alex Wood,0
267,Brad Peacock,Anthony DeSclafani,0
268,Brad Peacock,Archie Bradley,0
269,Brad Peacock,Bobby Parnell,0
270,Brad Peacock,Brett Anderson,0
271,Brad Peacock,Brett Oberholtzer,0
272,Brad Peacock,Chris Devenski,0
273,Brad Peacock,Chris Smith,0
274,Brad Peacock,Chris Tillman,0
275,Brad Peacock,Cody Allen,5
276,Brad Peacock,Corey Knebel,0
277,Brad Peacock,Craig Kimbrel,0
278,Brad Peacock,David Phelps,0
279,Brad Peacock,David Price,11
280,Brad Peacock,David Robertson,0
281,Brad Peacock,Dellin Betances,11
282,Brad Peacock,Derek Holland,5
283,Brad Peacock,Dillon Gee,0
284,Brad Peacock,Drew Pomeranz,5
285,Brad Peacock,Edinson Volquez,0
286,Brad Peacock,Fernando Abad,0
287,Brad Peacock,Fernando Salas,0
288,Brad Peacock,Gerrit Cole,0
289,Brad Peacock,Homer Bailey,0
290,Brad Peacock,Ian Kennedy,0
291,Brad Peacock,J.P. Howell,0
292,Brad Peacock,James Paxton,11
293,Brad Peacock,James Shields,16
294,Brad Peacock,Jarred Cosart,0
295,Brad Peacock,Jason Vargas,0
296,Brad Peacock,Jeff Locke,0
297,Brad Peacock,Jeremy Jeffress,5
298,Brad Peacock,Jimmy Nelson,0
299,Brad Peacock,Josh Fields,0
300,Brad Peacock,Kirby Yates,11
301,Brad Peacock,Lance McCullers Jr.,0
302,Brad Peacock,Luke Hochevar,0
303,Brad Peacock,Mark Melancon,0
304,Brad Peacock,Matt Moore,0
305,Brad Peacock,Matt Reynolds,0
306,Brad Peacock,Matt Shoemaker,0
307,Brad Peacock,Mike Leake,0
308,Brad Peacock,Nate Karns,11
309,Brad Peacock,Phil Hughes,0
310,Brad Peacock,Sammy Solis,0
311,Brad Peacock,Santiago Casilla,0
312,Brad Peacock,Tom Koehler,0
313,Brad Peacock,Trevor Bauer,0
314,Brad Peacock,Trevor Cahill,0
315,Brad Peacock,Tyler Duffey,10
316,Brad Peacock,Vance Worley,0
317,Brad Peacock,Wade Davis,0
318,Brett Anderson,Alex Cobb,0
319,Brett Anderson,Alex Wood,0
320,Brett Anderson,Anthony DeSclafani,0
321,Brett Anderson,Archie Bradley,0
