,winner,loser,who_won,score
0,A. j. Burnett,Carlos Zambrano,batter,2
1,A. j. Ellis,Jeff Samardzija,batter,12
2,A. j. Pierzynski,Brandon Morrow,batter,3
3,A. j. Pierzynski,Ryan Dempster,batter,12
4,A. j. Pierzynski,Ubaldo Jimenez,batter,12
5,Adam Dunn,Dan Wheeler,batter,2
6,Adam Dunn,Freddy Garcia,batter,2
7,Adam Dunn,Jose Valverde,batter,6
8,Adam Dunn,Kevin Gregg,batter,2
9,Adam Dunn,Ubaldo Jimenez,batter,6
10,Adam Dunn,Victor Marte,batter,2
11,Adam Eaton,Brad Brach,batter,12
12,Adam Jones,Dan Haren,batter,3
13,Adam Jones,Erik Bedard,batter,1
14,Adam Jones,Ryan Dempster,batter,3
15,Adam Laroche,Carlos Zambrano,batter,2
16,Adam Laroche,Chad Beck,batter,12
17,Adam Laroche,Michael Bowden,batter,2
18,Adam Lind,Clay Buchholz,batter,6
19,Adam Lind,Joel Peralta,batter,3
20,Adam Lind,Mark Melancon,batter,3
21,Adam Lind,Ubaldo Jimenez,batter,2
22,Adeiny Hechavarria,Joel Peralta,batter,6
23,Adeiny Hechavarria,Ryota Igarashi,batter,3
24,Adrian Beltre,Clay Buchholz,batter,6
25,Adrian Beltre,Hisashi Iwakuma,batter,3
26,Adrian Cardenas,Jose Veras,batter,6
27,Adrian Gonzalez,Chris Hatcher,batter,2
28,Adrian Gonzalez,Frank Herrmann,batter,6
29,Adrian Gonzalez,Hiroki Kuroda,batter,3
30,Adrian Gonzalez,Jose Valverde,batter,3
31,Adron Chambers,Tim Hudson,batter,3
32,Albert Pujols,Freddy Garcia,batter,2
33,Albert Pujols,Hisashi Iwakuma,batter,6
34,Albert Pujols,Ubaldo Jimenez,batter,14
35,Alberto Callaspo,Anibal Sanchez,batter,12
36,Alberto Callaspo,Yu Darvish,batter,3
37,Alcides Escobar,Anibal Sanchez,batter,3
38,Alcides Escobar,Ubaldo Jimenez,batter,6
39,Alejandro De aza,Brandon League,batter,3
40,Alejandro De aza,Dan Wheeler,batter,3
41,Alex Avila,Charlie Morton,batter,2
42,Alex Avila,Ubaldo Jimenez,batter,4
43,Alex Gordon,Anibal Sanchez,batter,3
44,Alex Gordon,Brandon McCarthy,batter,6
45,Alex Liddi,Koji Uehara,batter,2
46,Alex Presley,Anibal Sanchez,batter,3
47,Alex Presley,Jose Arredondo,batter,6
48,Alex Presley,Ryan Dempster,batter,3
49,Alex Presley,Tim Hudson,batter,2
50,Alex Rios,Jeff Samardzija,batter,3
51,Alex Rodriguez,Carl Pavano,batter,3
52,Alex Rodriguez,Joel Peralta,batter,2
53,Alex Rodriguez,Ubaldo Jimenez,batter,2
54,Alex White,Carlos Beltran,pitcher,1
55,Alex White,Carlos Zambrano,pitcher,6
56,Alex White,Chris Coghlan,pitcher,1
57,Alex White,Hanley Ramirez,pitcher,2
58,Alex White,John Baker,pitcher,1
59,Alex White,Michael Martinez,pitcher,1
60,Alex White,Orlando Hudson,pitcher,1
61,Alexei Ramírez,Jose Valverde,batter,6
62,Alexi Amarista,Jose Arredondo,batter,3
63,Alexi Amarista,Wilton Lopez,batter,3
64,Alexi Casilla,Dan Haren,batter,3
65,Alexi Casilla,Freddy Garcia,batter,6
66,Alexi Casilla,Hiroki Kuroda,batter,3
67,Alexi Casilla,Jose Valverde,batter,3
68,Alfonso Soriano,Erik Bedard,batter,2
69,Alfredo Aceves,A. j. Pierzynski,pitcher,1
70,Alfredo Aceves,Alberto Callaspo,pitcher,1
71,Alfredo Aceves,Ben Zobrist,pitcher,6
72,Alfredo Aceves,Brent Lillibridge,pitcher,1
73,Alfredo Aceves,Carlos Ruiz,pitcher,1
74,Alfredo Aceves,Chris Coghlan,pitcher,1
75,Alfredo Aceves,Chris Davis,pitcher,2
76,Alfredo Aceves,Chris Iannetta,pitcher,1
77,Alfredo Aceves,Colby Rasmus,pitcher,6
78,Alfredo Aceves,Curtis Granderson,pitcher,1
79,Alfredo Aceves,Eduardo Escobar,pitcher,1
80,Alfredo Aceves,Mark Reynolds,pitcher,6
81,Alfredo Aceves,Prince Fielder,pitcher,1
82,Alfredo Aceves,Robinson Cano,pitcher,1
83,Alfredo Simon,Bryan Lahair,pitcher,6
84,Alfredo Simon,Carlos Beltran,pitcher,7
85,Alfredo Simon,Carlos Gonzalez,pitcher,1
86,Alfredo Simon,Chase Utley,pitcher,6
87,Alfredo Simon,Chris Johnson,pitcher,2
88,Alfredo Simon,Daniel Descalso,pitcher,1
89,Alfredo Simon,Danny Espinosa,pitcher,1
90,Alfredo Simon,David Dejesus,pitcher,1
91,Alfredo Simon,Emilio Bonifacio,pitcher,6
92,Alfredo Simon,Eric Young,pitcher,2
93,Alfredo Simon,Garrett Jones,pitcher,6
94,Alfredo Simon,Jason Castro,pitcher,1
95,Alfredo Simon,Jason Heyward,pitcher,2
96,Alfredo Simon,Jason Kubel,pitcher,1
97,Alfredo Simon,Jon Jay,pitcher,1
98,Alfredo Simon,Lance Berkman,pitcher,6
99,Alfredo Simon,Neil Walker,pitcher,6
100,Alfredo Simon,Ramon Santiago,pitcher,1
101,Alfredo Simon,Rick Ankiel,pitcher,1
102,Alfredo Simon,Tony Campana,pitcher,6
103,Allen Craig,Anibal Sanchez,batter,6
104,Allen Craig,Carlos Zambrano,batter,3
105,Allen Craig,Charlie Morton,batter,3
106,Andre Ethier,Carlos Zambrano,batter,3
107,Andre Ethier,Chris Hatcher,batter,3
108,Andre Ethier,Dan Haren,batter,3
109,Andre Ethier,Jose Arredondo,batter,3
110,Andre Ethier,Ricky Nolasco,batter,6
111,Andrew Mccutchen,Carlos Zambrano,batter,5
112,Andrew Mccutchen,Jake Westbrook,batter,2
113,Andrew Mccutchen,Jeff Samardzija,batter,3
114,Andrew Mccutchen,Jose Arredondo,batter,3
115,Andrew Mccutchen,Michael Bowden,batter,3
116,Andrew Mccutchen,Ryan Dempster,batter,2
117,Andy Dirks,Dan Haren,batter,3
118,Andy Dirks,Ubaldo Jimenez,batter,9
119,Angel Pagan,Anibal Sanchez,batter,3
120,Angel Pagan,Brad Brach,batter,12
121,Angel Pagan,Jonathan Papelbon,batter,3
122,Angel Pagan,Jorge De La Rosa,batter,6
123,Angel Pagan,Jose Arredondo,batter,6
124,Angel Pagan,Jose Valverde,batter,6
125,Angel Pagan,Koji Uehara,batter,6
126,Angel Pagan,Ricky Nolasco,batter,3
127,Anibal Sanchez,Adam Laroche,pitcher,1
128,Anibal Sanchez,Alcides Escobar,pitcher,6
129,Anibal Sanchez,Alex Presley,pitcher,2
130,Anibal Sanchez,Alex Rodriguez,pitcher,6
131,Anibal Sanchez,Alexi Casilla,pitcher,2
132,Anibal Sanchez,Andrew Mccutchen,pitcher,6
133,Anibal Sanchez,Angel Pagan,pitcher,1
134,Anibal Sanchez,Anthony Gose,pitcher,7
135,Anibal Sanchez,Anthony Rizzo,pitcher,3
136,Anibal Sanchez,Asdrubal Cabrera,pitcher,7
137,Anibal Sanchez,Ben Revere,pitcher,1
138,Anibal Sanchez,Ben Zobrist,pitcher,2
139,Anibal Sanchez,Billy Butler,pitcher,2
140,Anibal Sanchez,Brandon Belt,pitcher,2
141,Anibal Sanchez,Brandon Crawford,pitcher,18
142,Anibal Sanchez,Brian Bogusevic,pitcher,6
143,Anibal Sanchez,Bryan Lahair,pitcher,6
144,Anibal Sanchez,Bryce Harper,pitcher,6
145,Anibal Sanchez,Carlos Beltran,pitcher,2
146,Anibal Sanchez,Carlos Lee,pitcher,3
147,Anibal Sanchez,Carlos Pena,pitcher,2
148,Anibal Sanchez,Carlos Santana,pitcher,6
149,Anibal Sanchez,Casey Kotchman,pitcher,7
150,Anibal Sanchez,Chad Tracy,pitcher,3
151,Anibal Sanchez,Chris Carter,pitcher,7
152,Anibal Sanchez,Chris Johnson,pitcher,6
153,Anibal Sanchez,Colby Rasmus,pitcher,13
154,Anibal Sanchez,Cole Hamels,pitcher,1
155,Anibal Sanchez,Cord Phelps,pitcher,2
156,Anibal Sanchez,Curtis Granderson,pitcher,12
157,Anibal Sanchez,Dan Uggla,pitcher,1
158,Anibal Sanchez,Danny Espinosa,pitcher,12
159,Anibal Sanchez,David Dejesus,pitcher,1
160,Anibal Sanchez,Denard Span,pitcher,1
161,Anibal Sanchez,Desmond Jennings,pitcher,1
