,winner,loser,who_won,score
0,A. j. Pierzynski,Brandon Morrow,batter,3
1,A. j. Pierzynski,Dan Haren,batter,3
2,A. j. Pierzynski,Koji Uehara,batter,3
3,Aaron Hill,Freddy Garcia,batter,3
4,Aaron Miles,Jose Arredondo,batter,3
5,Aaron Miles,Wilton Lopez,batter,3
6,Aaron Rowand,Ryan Franklin,batter,3
7,Adam Dunn,Brad Penny,batter,2
8,Adam Dunn,Hiroki Kuroda,batter,4
9,Adam Jones,Freddy Garcia,batter,9
10,Adam Kennedy,Brad Penny,batter,9
11,Adam Kennedy,Dan Haren,batter,9
12,Adam Kennedy,Edward Mujica,batter,3
13,Adam Kennedy,Koji Uehara,batter,3
14,Adam Laroche,Anibal Sanchez,batter,3
15,Adam Laroche,Edward Mujica,batter,12
16,Adam Laroche,Jose Veras,batter,3
17,Adam Lind,Alfredo Simon,batter,12
18,Adam Lind,Brandon Gomes,batter,3
19,Adam Lind,Dan Haren,batter,3
20,Adam Lind,Freddy Garcia,batter,24
21,Adam Lind,Jeff Niemann,batter,12
22,Adam Lind,Jose Arredondo,batter,2
23,Adam Lind,Koji Uehara,batter,12
24,Adrian Beltre,Brandon League,batter,3
25,Adrian Gonzalez,Dan Haren,batter,3
26,Adrian Gonzalez,Frank Francisco,batter,14
27,Adrian Gonzalez,Guillermo Moscoso,batter,9
28,Albert Pujols,Burke Badenhop,batter,6
29,Albert Pujols,Jeff Samardzija,batter,2
30,Albert Pujols,Ryan Dempster,batter,6
31,Alberto Callaspo,Tim Hudson,batter,3
32,Alberto Gonzalez,Jorge De La Rosa,batter,2
33,Alberto Gonzalez,Mike Pelfrey,batter,3
34,Alex Avila,Ubaldo Jimenez,batter,5
35,Alex Gonzalez,Anibal Sanchez,batter,3
36,Alex Presley,Ryan Dempster,batter,3
37,Alex Rios,Brad Penny,batter,6
38,Alex Rios,Ubaldo Jimenez,batter,2
39,Alex Rodriguez,Brad Penny,batter,3
40,Alex Rodriguez,Jose Valverde,batter,3
41,Alex White,Alberto Gonzalez,pitcher,1
42,Alex White,Brandon Phillips,pitcher,1
43,Alex White,Brennan Boesch,pitcher,1
44,Alex White,Brian Bogusevic,pitcher,2
45,Alex White,Chris Young,pitcher,6
46,Alex White,Clint Barmes,pitcher,1
47,Alex White,Erick Aybar,pitcher,6
48,Alex White,Howie Kendrick,pitcher,6
49,Alex White,Jay Bruce,pitcher,1
50,Alex White,Jimmy Paredes,pitcher,1
51,Alex White,Joey Votto,pitcher,1
52,Alex White,Jordan Schafer,pitcher,6
53,Alex White,Mark Trumbo,pitcher,6
54,Alex White,Pablo Sandoval,pitcher,1
55,Alex White,Will Venable,pitcher,6
56,Alexei Ramírez,Carl Pavano,batter,6
57,Alexei Ramírez,Hiroki Kuroda,batter,3
58,Alexei Ramírez,Jose Valverde,batter,3
59,Alexei Ramírez,Zach Putnam,batter,3
60,Alexi Casilla,Kevin Gregg,batter,2
61,Alfonso Soriano,Ryota Igarashi,batter,6
62,Alfredo Aceves,Adam Jones,pitcher,1
63,Alfredo Aceves,Alex Rios,pitcher,2
64,Alfredo Aceves,B. j. Upton,pitcher,8
65,Alfredo Aceves,Casey Kotchman,pitcher,1
66,Alfredo Aceves,Clint Barmes,pitcher,1
67,Alfredo Aceves,J. r. Towles,pitcher,1
68,Alfredo Aceves,Jeff Francoeur,pitcher,7
69,Alfredo Aceves,Jesus Guzman,pitcher,1
70,Alfredo Aceves,John Jaso,pitcher,1
71,Alfredo Aceves,Johnny Damon,pitcher,6
72,Alfredo Aceves,Josh Willingham,pitcher,1
73,Alfredo Aceves,Mark Reynolds,pitcher,1
74,Alfredo Aceves,Mark Teixeira,pitcher,1
75,Alfredo Aceves,Mike Moustakas,pitcher,1
76,Alfredo Aceves,Nick Markakis,pitcher,1
77,Alfredo Aceves,Robert Andino,pitcher,1
78,Alfredo Aceves,Ryan Ludwick,pitcher,1
79,Alfredo Aceves,Scott Sizemore,pitcher,1
80,Alfredo Aceves,Vladimir Guerrero,pitcher,7
81,Alfredo Simon,Adam Lind,pitcher,2
82,Alfredo Simon,Alberto Callaspo,pitcher,1
83,Alfredo Simon,Alex Avila,pitcher,6
84,Alfredo Simon,Alex Gordon,pitcher,1
85,Alfredo Simon,Andy Dirks,pitcher,7
86,Alfredo Simon,Andy Laroche,pitcher,6
87,Alfredo Simon,Asdrubal Cabrera,pitcher,1
88,Alfredo Simon,Ben Zobrist,pitcher,13
89,Alfredo Simon,Brayan Pena,pitcher,1
90,Alfredo Simon,Brett Gardner,pitcher,1
91,Alfredo Simon,Carlos Guillen,pitcher,2
92,Alfredo Simon,Carlos Peguero,pitcher,6
93,Alfredo Simon,Carlos Santana,pitcher,6
94,Alfredo Simon,Casey Kotchman,pitcher,6
95,Alfredo Simon,Chone Figgins,pitcher,6
96,Alfredo Simon,Coco Crisp,pitcher,1
97,Alfredo Simon,Colby Rasmus,pitcher,12
98,Alfredo Simon,Corey Patterson,pitcher,6
99,Alfredo Simon,Curtis Granderson,pitcher,13
100,Alfredo Simon,David Freese,pitcher,1
101,Alfredo Simon,David Ortiz,pitcher,2
102,Alfredo Simon,Don Kelly,pitcher,7
103,Alfredo Simon,Elliot Johnson,pitcher,6
104,Alfredo Simon,Eric Hosmer,pitcher,2
105,Alfredo Simon,Eric Thames,pitcher,1
106,Alfredo Simon,Ichiro Suzuki,pitcher,1
107,Alfredo Simon,Jarrod Saltalamacchia,pitcher,3
108,Alfredo Simon,Jason Kubel,pitcher,6
109,Alfredo Simon,Joe Mauer,pitcher,1
110,Alfredo Simon,John Jaso,pitcher,6
111,Alfredo Simon,Johnny Damon,pitcher,7
112,Alfredo Simon,Jorge Posada,pitcher,2
113,Alfredo Simon,Justin Morneau,pitcher,8
114,Alfredo Simon,Justin Smoak,pitcher,1
115,Alfredo Simon,Kurt Suzuki,pitcher,6
116,Alfredo Simon,Lance Berkman,pitcher,6
117,Alfredo Simon,Maicer Izturis,pitcher,1
118,Alfredo Simon,Mark Teixeira,pitcher,12
119,Alfredo Simon,Matthew Joyce,pitcher,6
120,Alfredo Simon,Michael Saunders,pitcher,6
121,Alfredo Simon,Robinson Cano,pitcher,2
122,Alfredo Simon,Ryan Sweeney,pitcher,2
123,Alfredo Simon,Travis Hafner,pitcher,6
124,Allen Craig,Anibal Sanchez,batter,6
125,Allen Craig,Charlie Morton,batter,1
126,Allen Craig,Jose Arredondo,batter,3
127,Allen Craig,Ryota Igarashi,batter,2
128,Andre Ethier,Brad Brach,batter,3
129,Andre Ethier,Carlos Zambrano,batter,3
130,Andre Ethier,Ricky Nolasco,batter,9
131,Andre Ethier,Ryan Dempster,batter,3
132,Andres Torres,Guillermo Moscoso,batter,2
133,Andres Torres,Jose Arredondo,batter,6
134,Andrew Mccutchen,Mike Pelfrey,batter,3
135,Andy Dirks,Alfredo Simon,batter,9
136,Andy Dirks,Mike Pelfrey,batter,3
137,Andy Dirks,Ubaldo Jimenez,batter,3
138,Angel Pagan,Edward Mujica,batter,6
139,Angel Sanchez,Carlos Zambrano,batter,3
140,Anibal Sanchez,Adam Kennedy,pitcher,3
141,Anibal Sanchez,Adam Laroche,pitcher,1
142,Anibal Sanchez,Albert Pujols,pitcher,1
143,Anibal Sanchez,Alex Cora,pitcher,2
144,Anibal Sanchez,Alex Presley,pitcher,6
145,Anibal Sanchez,Alfonso Soriano,pitcher,6
146,Anibal Sanchez,Andres Torres,pitcher,9
147,Anibal Sanchez,Andrew Mccutchen,pitcher,6
148,Anibal Sanchez,Angel Pagan,pitcher,3
149,Anibal Sanchez,Anthony Rizzo,pitcher,1
150,Anibal Sanchez,Aubrey Huff,pitcher,1
151,Anibal Sanchez,Ben Zobrist,pitcher,6
152,Anibal Sanchez,Bobby Abreu,pitcher,1
153,Anibal Sanchez,Brendan Ryan,pitcher,6
154,Anibal Sanchez,Brian Schneider,pitcher,6
155,Anibal Sanchez,Cameron Maybin,pitcher,6
156,Anibal Sanchez,Carlos Gonzalez,pitcher,7
157,Anibal Sanchez,Carlos Lee,pitcher,1
158,Anibal Sanchez,Carlos Peguero,pitcher,6
159,Anibal Sanchez,Carlos Pena,pitcher,6
160,Anibal Sanchez,Casey Kotchman,pitcher,1
161,Anibal Sanchez,Chase Utley,pitcher,7
162,Anibal Sanchez,Chipper Jones,pitcher,6
163,Anibal Sanchez,Chris Marrero,pitcher,6
164,Anibal Sanchez,Chris Young,pitcher,6
165,Anibal Sanchez,Cody Ross,pitcher,6
166,Anibal Sanchez,Colby Rasmus,pitcher,12
167,Anibal Sanchez,Dan Uggla,pitcher,12
168,Anibal Sanchez,Daniel Descalso,pitcher,7
169,Anibal Sanchez,Danny Espinosa,pitcher,7
170,Anibal Sanchez,Dexter Fowler,pitcher,6
171,Anibal Sanchez,Doug Fister,pitcher,1
172,Anibal Sanchez,Elliot Johnson,pitcher,4
173,Anibal Sanchez,Emmanuel Burriss,pitcher,1
174,Anibal Sanchez,Endy Chavez,pitcher,1
175,Anibal Sanchez,Franklin Gutierrez,pitcher,1
176,Anibal Sanchez,Freddie Freeman,pitcher,2
177,Anibal Sanchez,Freddy Sanchez,pitcher,6
178,Anibal Sanchez,Garrett Jones,pitcher,1
179,Anibal Sanchez,Gerardo Parra,pitcher,8
180,Anibal Sanchez,Hunter Pence,pitcher,2
181,Anibal Sanchez,Ivan Rodriguez,pitcher,7
182,Anibal Sanchez,Jason Bartlett,pitcher,2
183,Anibal Sanchez,Jason Bay,pitcher,12
184,Anibal Sanchez,Jason Heyward,pitcher,7
185,Anibal Sanchez,Jayson Werth,pitcher,6
186,Anibal Sanchez,Jerry Hairston,pitcher,1
187,Anibal Sanchez,Jimmy Rollins,pitcher,3
188,Anibal Sanchez,John Mayberry,pitcher,6
189,Anibal Sanchez,Jose Reyes,pitcher,6
190,Anibal Sanchez,Josh Thole,pitcher,3
191,Anibal Sanchez,Josh Wilson,pitcher,6
192,Anibal Sanchez,Juan Miranda,pitcher,7
193,Anibal Sanchez,Justin Smoak,pitcher,1
194,Anibal Sanchez,Justin Upton,pitcher,13
195,Anibal Sanchez,Kelly Johnson,pitcher,1
196,Anibal Sanchez,Kosuke Fukudome,pitcher,1
197,Anibal Sanchez,Laynce Nix,pitcher,1
198,Anibal Sanchez,Lucas Duda,pitcher,6
199,Anibal Sanchez,Mark Ellis,pitcher,6
200,Anibal Sanchez,Martin Prado,pitcher,1
201,Anibal Sanchez,Matt Holliday,pitcher,6
202,Anibal Sanchez,Matt Kemp,pitcher,6
203,Anibal Sanchez,Michael Bourn,pitcher,6
204,Anibal Sanchez,Michael Martinez,pitcher,12
205,Anibal Sanchez,Miguel Montero,pitcher,2
206,Anibal Sanchez,Miguel Tejada,pitcher,6
207,Anibal Sanchez,Mike Morse,pitcher,8
208,Anibal Sanchez,Nate Schierholtz,pitcher,1
209,Anibal Sanchez,Neil Walker,pitcher,6
210,Anibal Sanchez,Nick Hundley,pitcher,1
211,Anibal Sanchez,Pedro Alvarez,pitcher,1
212,Anibal Sanchez,Prince Fielder,pitcher,13
213,Anibal Sanchez,Raul Ibanez,pitcher,7
214,Anibal Sanchez,Rick Ankiel,pitcher,2
215,Anibal Sanchez,Rod Barajas,pitcher,1
