,winner,loser,who_won,score
0,A. j. Ellis,Brad Lincoln,batter,3
1,A. j. Ellis,Chris Resop,batter,6
2,A. j. Ellis,Daniel Hudson,batter,1
3,A. j. Ellis,Matt Belisle,batter,1
4,A. j. Ellis,Ryan Vogelsong,batter,3
5,A. j. Ellis,Tom Gorzelanny,batter,3
6,A. j. Ellis,Tyler Chatwood,batter,2
7,A. j. Pierzynski,Alex Burnett,batter,6
8,A. j. Pierzynski,Brad Bergesen,batter,3
9,A. j. Pierzynski,Chance Ruffin,batter,12
10,A. j. Pierzynski,Dustin McGowan,batter,3
11,A. j. Pierzynski,Felipe Paulino,batter,3
12,A. j. Pierzynski,Frank Herrmann,batter,3
13,A. j. Pierzynski,Guillermo Moscoso,batter,1
14,A. j. Pierzynski,Ivan Nova,batter,2
15,A. j. Pierzynski,Jered Weaver,batter,1
16,A. j. Pierzynski,Jim Johnson,batter,3
17,A. j. Pierzynski,Jo-Jo Reyes,batter,6
18,A. j. Pierzynski,Jose Valverde,batter,2
19,A. j. Pierzynski,Nick Blackburn,batter,3
20,A. j. Pierzynski,Rick Porcello,batter,5
21,A. j. Pierzynski,Tyler Chatwood,batter,3
22,A. j. Pierzynski,Wade Davis,batter,3
23,Aaron Cook,Ricky Nolasco,batter,3
24,Aaron Crow,Adam Jones,pitcher,7
25,Aaron Crow,Ben Zobrist,pitcher,1
26,Aaron Crow,Carlos Quentin,pitcher,1
27,Aaron Crow,Curtis Granderson,pitcher,2
28,Aaron Crow,Danny Valencia,pitcher,1
29,Aaron Crow,Desmond Jennings,pitcher,6
30,Aaron Crow,Eduardo Nunez,pitcher,3
31,Aaron Crow,Jemile Weeks,pitcher,1
32,Aaron Crow,Luke Scott,pitcher,6
33,Aaron Crow,Ryan Lavarnway,pitcher,1
34,Aaron Cunningham,Javier Lopez,batter,6
35,Aaron Cunningham,Nick Masset,batter,1
36,Aaron Cunningham,Paul Maholm,batter,6
37,Aaron Cunningham,Ryota Igarashi,batter,2
38,Aaron Harang,Aaron Hill,pitcher,1
39,Aaron Harang,Aaron Miles,pitcher,1
40,Aaron Harang,Alex Cora,pitcher,1
41,Aaron Harang,Andres Torres,pitcher,1
42,Aaron Harang,Angel Pagan,pitcher,7
43,Aaron Harang,Aubrey Huff,pitcher,3
44,Aaron Harang,Brandon Crawford,pitcher,2
45,Aaron Harang,Carlos Beltran,pitcher,1
46,Aaron Harang,Carlos Pena,pitcher,6
47,Aaron Harang,Carlos Ruiz,pitcher,1
48,Aaron Harang,Chase Utley,pitcher,1
49,Aaron Harang,Chris Narveson,pitcher,2
