,winner,loser,who_won,score
0,A. j. Ellis,Alex Wood,batter,3
1,A. j. Ellis,Dan Jennings,batter,2
2,A. j. Ellis,Frankie Montas,batter,3
3,A. j. Ellis,Gio Gonzalez,batter,3
4,A. j. Ellis,John Gant,batter,2
5,A. j. Ellis,Kyle Freeland,batter,3
6,A. j. Ellis,Matt Bowman,batter,6
7,A.J. Cole,Albert Pujols,pitcher,1
8,A.J. Cole,Ender Inciarte,pitcher,8
9,A.J. Cole,Freddie Freeman,pitcher,7
10,A.J. Cole,Kole Calhoun,pitcher,1
11,A.J. Cole,Martin Maldonado,pitcher,1
12,A.J. Cole,Mike Moustakas,pitcher,1
13,A.J. Cole,Ozzie Albies,pitcher,7
14,A.J. Cole,Preston Tucker,pitcher,7
15,A.J. Cole,Shohei Ohtani,pitcher,1
16,AJ Ramos,Adam Eaton,pitcher,1
17,AJ Ramos,Cameron Maybin,pitcher,1
18,AJ Ramos,Ender Inciarte,pitcher,12
19,AJ Ramos,Hernan Perez,pitcher,1
20,AJ Ramos,Jesus Aguilar,pitcher,1
21,AJ Ramos,Jose Peraza,pitcher,1
22,AJ Ramos,Maikel Franco,pitcher,1
23,AJ Ramos,Paul Dejong,pitcher,6
24,AJ Ramos,Ryan Zimmerman,pitcher,6
25,AJ Ramos,Tucker Barnhart,pitcher,1
26,Aaron Altherr,Arodys Vizcaino,batter,2
27,Aaron Altherr,Dan Jennings,batter,3
28,Aaron Altherr,Jose Urena,batter,3
29,Aaron Altherr,Matt Bowman,batter,6
30,Aaron Altherr,Michael Feliz,batter,9
31,Aaron Altherr,Sam Freeman,batter,2
32,Aaron Altherr,Tyler Chatwood,batter,1
33,Aaron Altherr,Wandy Peralta,batter,2
34,Aaron Altherr,Wei-Yin Chen,batter,3
35,Aaron Brooks,Breyvic Valera,pitcher,6
36,Aaron Hicks,Aaron Sanchez,batter,3
37,Aaron Hicks,Andrew Cashner,batter,3
38,Aaron Hicks,Andrew Triggs,batter,12
39,Aaron Hicks,Ariel Jurado,batter,14
40,Aaron Hicks,Bartolo Colon,batter,2
41,Aaron Hicks,Chaz Roe,batter,6
42,Aaron Hicks,Dallas Keuchel,batter,2
43,Aaron Hicks,Danny Duffy,batter,12
44,Aaron Hicks,Eric Skoglund,batter,2
45,Aaron Hicks,Fernando Rodney,batter,6
46,Aaron Hicks,Francisco Liriano,batter,3
47,Aaron Hicks,J.A. Happ,batter,3
48,Aaron Hicks,Jimmy Yacabonis,batter,9
49,Aaron Hicks,Joe Biagini,batter,5
50,Aaron Hicks,John Axford,batter,2
51,Aaron Hicks,Jose Berrios,batter,2
