,winner,loser,score
0,A. j. Ellis,A. j. Pierzynski,8
1,A. j. Ellis,Aaron Hill,6
2,Aaron Hill,A. j. Ellis,6
3,A. j. Ellis,Adam Dunn,0
4,A. j. Ellis,Adrian Cardenas,17
5,A. j. Ellis,Aj Pollock,0
6,A. j. Ellis,Albert Pujols,0
7,A. j. Ellis,Alex Avila,0
8,A. j. Ellis,Alex Gonzalez,7
9,A. j. Ellis,Alex Presley,0
10,A. j. Ellis,Alex Rios,5
11,A. j. Ellis,Alexei Ramírez,0
12,A. j. Ellis,Alexi Amarista,1
13,A. j. Ellis,Alfonso Soriano,16
14,A. j. Ellis,Allen Craig,0
15,A. j. Ellis,Andre Ethier,17
16,A. j. Ellis,Andrew Brown,0
17,A. j. Ellis,Andrew Mccutchen,0
18,A. j. Ellis,Angel Pagan,14
19,A. j. Ellis,Anthony Rizzo,36
20,A. j. Ellis,Aramis Ramirez,0
21,A. j. Ellis,Austin Jackson,0
22,A. j. Ellis,Ben Zobrist,0
23,A. j. Ellis,Bobby Abreu,25
24,A. j. Ellis,Brandon Barnes,2
25,A. j. Ellis,Brandon Belt,25
26,A. j. Ellis,Brandon Moss,11
27,A. j. Ellis,Brandon Phillips,0
28,A. j. Ellis,Brett Jackson,20
29,A. j. Ellis,Brett Wallace,7
30,A. j. Ellis,Brian Bogusevic,20
31,A. j. Ellis,Brian Mccann,0
32,A. j. Ellis,Bryan Lahair,24
33,A. j. Ellis,Bryce Harper,0
34,A. j. Ellis,Buster Posey,16
35,A. j. Ellis,Carlos Beltran,0
36,A. j. Ellis,Carlos Corporan,14
37,A. j. Ellis,Carlos Gomez,1
38,A. j. Ellis,Carlos Gonzalez,1
39,A. j. Ellis,Carlos Lee,6
40,A. j. Ellis,Carlos Quentin,0
41,A. j. Ellis,Carlos Ruiz,32
42,A. j. Ellis,Carlos Santana,4
43,Carlos Santana,A. j. Ellis,4
44,A. j. Ellis,Casper Wells,17
45,A. j. Ellis,Chase Headley,0
46,A. j. Ellis,Chipper Jones,15
47,A. j. Ellis,Chris Heisey,0
48,A. j. Ellis,Chris Johnson,13
49,A. j. Ellis,Chris Nelson,17
50,A. j. Ellis,Clint Barmes,5
51,A. j. Ellis,Colby Rasmus,0
52,A. j. Ellis,Corey Hart,1
53,A. j. Ellis,Dan Uggla,17
54,A. j. Ellis,Danny Espinosa,1
55,A. j. Ellis,Darwin Barney,6
56,Darwin Barney,A. j. Ellis,6
57,A. j. Ellis,David Dejesus,0
58,A. j. Ellis,David Freese,0
59,A. j. Ellis,David Wright,11
60,A. j. Ellis,Dee Strange-gordon,16
61,A. j. Ellis,Devin Mesoraco,6
62,A. j. Ellis,Dexter Fowler,0
63,A. j. Ellis,Drew Stubbs,0
64,A. j. Ellis,Elian Herrera,24
65,A. j. Ellis,Emmanuel Burriss,15
66,A. j. Ellis,Eric Young,3
67,A. j. Ellis,Everth Cabrera,4
68,A. j. Ellis,Fernando Martinez,6
69,A. j. Ellis,Freddie Freeman,22
70,A. j. Ellis,Freddy Galvis,17
71,A. j. Ellis,Garrett Jones,0
72,A. j. Ellis,Giancarlo Stanton,0
73,A. j. Ellis,Gorkys Hernandez,0
74,A. j. Ellis,Greg Dobbs,15
75,A. j. Ellis,Gregor Blanco,1
76,A. j. Ellis,Hanley Ramirez,0
77,A. j. Ellis,Hector Sanchez,0
78,A. j. Ellis,Homer Bailey,10
79,A. j. Ellis,Hunter Pence,27
80,A. j. Ellis,Ian Desmond,0
81,A. j. Ellis,Ian Kinsler,11
82,A. j. Ellis,Ian Stewart,6
83,A. j. Ellis,Ichiro Suzuki,17
84,A. j. Ellis,Ike Davis,3
85,A. j. Ellis,James Loney,3
86,A. j. Ellis,Jamey Carroll,1
87,Jamey Carroll,A. j. Ellis,1
88,A. j. Ellis,Jason Heyward,0
89,A. j. Ellis,Jason Kipnis,7
90,A. j. Ellis,Jason Kubel,0
91,A. j. Ellis,Jay Bruce,0
92,A. j. Ellis,Jerry Hairston,29
93,A. j. Ellis,Jesus Guzman,0
94,A. j. Ellis,Jimmy Rollins,9
95,A. j. Ellis,Joaquin Arias,22
96,A. j. Ellis,Joey Votto,0
97,A. j. Ellis,John Buck,5
98,A. j. Ellis,John Mayberry,14
99,A. j. Ellis,Johnny Damon,1
100,Johnny Damon,A. j. Ellis,1
101,A. j. Ellis,Jon Jay,16
102,A. j. Ellis,Jonathan Lucroy,2
103,A. j. Ellis,Jordan Pacheco,11
104,A. j. Ellis,Jose Altuve,12
105,Jose Altuve,A. j. Ellis,12
106,A. j. Ellis,Jose Reyes,0
107,A. j. Ellis,Josh Harrison,7
108,A. j. Ellis,Josh Reddick,12
109,Josh Reddick,A. j. Ellis,12
110,A. j. Ellis,Juan Pierre,15
111,A. j. Ellis,Justin Maxwell,1
112,A. j. Ellis,Justin Ruggiano,0
113,A. j. Ellis,Justin Upton,0
114,A. j. Ellis,Kurt Suzuki,0
115,A. j. Ellis,Kyle Seager,0
116,A. j. Ellis,Logan Forsythe,0
117,A. j. Ellis,Logan Morrison,10
118,A. j. Ellis,Luis Cruz,6
119,A. j. Ellis,Marco Scutaro,7
120,A. j. Ellis,Mark Ellis,30
121,A. j. Ellis,Martin Prado,27
122,A. j. Ellis,Matt Carpenter,0
123,A. j. Ellis,Matt Kemp,13
124,A. j. Ellis,Melky Cabrera,14
125,A. j. Ellis,Michael Bourn,3
126,A. j. Ellis,Michael Martinez,0
127,A. j. Ellis,Michael Mckenry,0
128,A. j. Ellis,Miguel Cairo,0
129,A. j. Ellis,Mike Baxter,3
130,A. j. Ellis,Mike Morse,5
131,A. j. Ellis,Neil Walker,0
132,A. j. Ellis,Nelson Cruz,14
133,Nelson Cruz,A. j. Ellis,14
134,A. j. Ellis,Omar Infante,6
135,A. j. Ellis,Pablo Sandoval,0
136,A. j. Ellis,Paul Goldschmidt,1
137,A. j. Ellis,Paul Konerko,0
138,A. j. Ellis,Pedro Alvarez,0
139,A. j. Ellis,Rickie Weeks,0
140,A. j. Ellis,Rob Brantly,17
141,A. j. Ellis,Rod Barajas,0
142,A. j. Ellis,Roger Bernadina,2
143,A. j. Ellis,Ruben Tejada,16
144,A. j. Ellis,Ryan Braun,0
145,A. j. Ellis,Ryan Hanigan,17
146,A. j. Ellis,Ryan Theriot,6
147,A. j. Ellis,Ryan Zimmerman,0
148,A. j. Ellis,Scott Rolen,4
149,A. j. Ellis,Seth Smith,13
150,A. j. Ellis,Shane Victorino,17
151,A. j. Ellis,Starlin Castro,20
152,A. j. Ellis,Starling Marte,2
153,A. j. Ellis,Stephen Strasburg,4
154,A. j. Ellis,Steve Lombardozzi,3
155,A. j. Ellis,Todd Frazier,0
156,A. j. Ellis,Tony Gwynn,22
157,A. j. Ellis,Torii Hunter,0
158,A. j. Ellis,Travis Snider,5
159,A. j. Ellis,Troy Tulowitzki,2
160,A. j. Ellis,Ty Wigginton,10
161,A. j. Ellis,Tyler Colvin,3
162,A. j. Ellis,Wil Nieves,7
163,A. j. Ellis,Wilin Rosario,16
164,A. j. Ellis,Will Venable,3
165,A. j. Ellis,Xavier Paul,1
166,A. j. Ellis,Yadier Molina,0
167,A. j. Ellis,Yasmani Grandal,8
168,A. j. Ellis,Yonder Alonso,1
169,A. j. Ellis,Zack Cozart,0
170,A. j. Pierzynski,A. j. Ellis,0
171,A. j. Pierzynski,Adam Dunn,0
172,A. j. Pierzynski,Adam Jones,8
173,A. j. Pierzynski,Adam Lind,9
174,A. j. Pierzynski,Adam Rosales,2
175,Adam Rosales,A. j. Pierzynski,2
176,A. j. Pierzynski,Adeiny Hechavarria,10
177,A. j. Pierzynski,Adrian Gonzalez,6
178,Adrian Gonzalez,A. j. Pierzynski,6
179,A. j. Pierzynski,Albert Pujols,18
180,A. j. Pierzynski,Alberto Callaspo,11
181,A. j. Pierzynski,Alcides Escobar,23
182,A. j. Pierzynski,Alejandro De aza,10
183,A. j. Pierzynski,Alex Avila,6
184,A. j. Pierzynski,Alex Gordon,0
185,A. j. Pierzynski,Alex Presley,0
186,A. j. Pierzynski,Alex Rios,18
187,A. j. Pierzynski,Alexei Ramírez,19
188,Alexei Ramírez,A. j. Pierzynski,19
189,A. j. Pierzynski,Alexi Casilla,0
190,A. j. Pierzynski,Andre Ethier,1
191,A. j. Pierzynski,Andrew Mccutchen,0
192,A. j. Pierzynski,Andy Dirks,19
193,A. j. Pierzynski,Angel Pagan,5
194,A. j. Pierzynski,Aramis Ramirez,0
195,A. j. Pierzynski,Asdrubal Cabrera,0
196,A. j. Pierzynski,Austin Jackson,0
197,A. j. Pierzynski,Avisail Garcia,1
198,A. j. Pierzynski,B. j. Upton,0
199,A. j. Pierzynski,Ben Revere,26
200,A. j. Pierzynski,Billy Butler,11
