,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6840973595940484,0.6885822727512769
1,2010.0,0.6854852611618687,0.6890670408295752
2,2011.0,0.6829649911989047,0.6867182001967509
3,2012.0,0.6753546303771192,0.6795820803224908
4,2013.0,0.6871873262923847,0.6919240491159353
5,2014.0,0.674800290486565,0.6792718834214992
6,2015.0,0.6821694124507945,0.6872700688122245
7,2016.0,0.6912920931612521,0.6975045359385904
8,2017.0,0.6766521838554768,0.6832764680683491
9,2018.0,0.6719045815978796,0.6781045816311078
10,2019.0,0.6629213483146067,0.6701119072944375
