,winner,loser,who_won,score
0,A. j. Ellis,Aaron Cook,batter,3
1,A. j. Ellis,Blake Hawksworth,batter,3
2,A. j. Ellis,Bronson Arroyo,batter,6
3,A. j. Ellis,Guillermo Mota,batter,3
4,A. j. Ellis,Zach Kroenke,batter,2
5,A. j. Pierzynski,Armando Galarraga,batter,3
6,A. j. Pierzynski,Bruce Chen,batter,5
7,A. j. Pierzynski,Carl Pavano,batter,18
8,A. j. Pierzynski,Carlos Silva,batter,1
9,A. j. Pierzynski,Damaso Marte,batter,6
10,A. j. Pierzynski,Jake Westbrook,batter,3
11,A. j. Pierzynski,Joe Smith,batter,3
12,A. j. Pierzynski,Justin Masterson,batter,3
13,A. j. Pierzynski,Randy Wells,batter,6
14,A. j. Pierzynski,Scott Baker,batter,12
15,A. j. Pierzynski,Scott Downs,batter,1
16,A. j. Pierzynski,Ted Lilly,batter,1
17,A.J. Burnett,Aaron Hill,pitcher,3
18,A.J. Burnett,Adam Jones,pitcher,1
19,A.J. Burnett,Adam Lind,pitcher,13
20,A.J. Burnett,Adam Moore,pitcher,8
21,A.J. Burnett,Alex Gordon,pitcher,1
22,A.J. Burnett,Alex Rios,pitcher,1
23,A.J. Burnett,Austin Kearns,pitcher,2
24,A.J. Burnett,Billy Butler,pitcher,2
25,A.J. Burnett,Brian Roberts,pitcher,2
26,A.J. Burnett,Carl Crawford,pitcher,12
27,A.J. Burnett,Carlos Pena,pitcher,8
28,A.J. Burnett,Casey Blake,pitcher,6
29,A.J. Burnett,Casey Kotchman,pitcher,1
30,A.J. Burnett,Cesar Izturis,pitcher,4
31,A.J. Burnett,Chase Utley,pitcher,1
32,A.J. Burnett,Chone Figgins,pitcher,2
33,A.J. Burnett,Chris Young,pitcher,6
34,A.J. Burnett,Cliff Pennington,pitcher,2
35,A.J. Burnett,Coco Crisp,pitcher,7
36,A.J. Burnett,Corey Patterson,pitcher,3
37,A.J. Burnett,Cristian Guzman,pitcher,8
38,A.J. Burnett,Dan Johnson,pitcher,1
39,A.J. Burnett,Daric Barton,pitcher,7
40,A.J. Burnett,David Murphy,pitcher,1
41,A.J. Burnett,David Ortiz,pitcher,1
42,A.J. Burnett,Delmon Young,pitcher,1
43,A.J. Burnett,Denard Span,pitcher,9
44,A.J. Burnett,Dioner Navarro,pitcher,1
45,A.J. Burnett,Elvis Andrus,pitcher,6
46,A.J. Burnett,Erick Aybar,pitcher,8
47,A.J. Burnett,Franklin Gutierrez,pitcher,6
48,A.J. Burnett,Fred Lewis,pitcher,1
49,A.J. Burnett,Gordon Beckham,pitcher,6
50,A.J. Burnett,Greg Dobbs,pitcher,1
51,A.J. Burnett,Gregor Blanco,pitcher,1
52,A.J. Burnett,Hideki Matsui,pitcher,2
53,A.J. Burnett,Howie Kendrick,pitcher,1
54,A.J. Burnett,J. d. Drew,pitcher,2
55,A.J. Burnett,Jack Cust,pitcher,12
56,A.J. Burnett,Jason Bartlett,pitcher,1
57,A.J. Burnett,Jason Kubel,pitcher,1
58,A.J. Burnett,Joaquin Arias,pitcher,1
59,A.J. Burnett,Joe Mauer,pitcher,1
60,A.J. Burnett,John Buck,pitcher,1
61,A.J. Burnett,John Jaso,pitcher,1
62,A.J. Burnett,Jorge Cantu,pitcher,1
63,A.J. Burnett,Jose Bautista,pitcher,7
64,A.J. Burnett,Jose Lopez,pitcher,1
65,A.J. Burnett,Josh Hamilton,pitcher,3
66,A.J. Burnett,Juan Rivera,pitcher,2
67,A.J. Burnett,Julio Borbon,pitcher,1
68,A.J. Burnett,Justin Morneau,pitcher,1
69,A.J. Burnett,Kelly Johnson,pitcher,1
70,A.J. Burnett,Luke Scott,pitcher,4
71,A.J. Burnett,Lyle Overbay,pitcher,3
72,A.J. Burnett,Maicer Izturis,pitcher,1
73,A.J. Burnett,Marco Scutaro,pitcher,2
74,A.J. Burnett,Matt Laporta,pitcher,6
75,A.J. Burnett,Matt Wieters,pitcher,7
76,A.J. Burnett,Matthew Joyce,pitcher,1
77,A.J. Burnett,Michael Cuddyer,pitcher,4
78,A.J. Burnett,Miguel Tejada,pitcher,3
79,A.J. Burnett,Mitch Maier,pitcher,6
80,A.J. Burnett,Mitch Moreland,pitcher,6
81,A.J. Burnett,Nick Markakis,pitcher,3
82,A.J. Burnett,Nick Punto,pitcher,1
83,A.J. Burnett,Nolan Reimold,pitcher,1
84,A.J. Burnett,Omar Vizquel,pitcher,1
85,A.J. Burnett,Orlando Hudson,pitcher,2
86,A.J. Burnett,Placido Polanco,pitcher,1
87,A.J. Burnett,Reid Brignac,pitcher,1
88,A.J. Burnett,Rhyne Hughes,pitcher,2
89,A.J. Burnett,Russell Branyan,pitcher,1
90,A.J. Burnett,Russell Martin,pitcher,6
91,A.J. Burnett,Scott Podsednik,pitcher,1
92,A.J. Burnett,Sean Rodriguez,pitcher,1
93,A.J. Burnett,Shane Victorino,pitcher,1
94,A.J. Burnett,Shin-soo Choo,pitcher,7
95,A.J. Burnett,Stephen Drew,pitcher,1
96,A.J. Burnett,Torii Hunter,pitcher,1
97,A.J. Burnett,Travis Snider,pitcher,6
98,A.J. Burnett,Ty Wigginton,pitcher,5
99,A.J. Burnett,Vernon Wells,pitcher,2
