,winner,loser,who_won,score
0,A. j. Burnett,Jake Westbrook,batter,2
1,A. j. Ellis,A.J. Burnett,batter,3
2,A. j. Ellis,Alex White,batter,15
3,A. j. Ellis,Brad Ziegler,batter,3
4,A. j. Ellis,Brandon League,batter,3
5,A. j. Ellis,Carlos Zambrano,batter,3
6,A. j. Ellis,Chris Volstad,batter,3
7,A. j. Ellis,Clay Hensley,batter,3
8,A. j. Ellis,Guillermo Mota,batter,12
9,A. j. Ellis,Huston Street,batter,6
10,A. j. Ellis,Jake Westbrook,batter,12
11,A. j. Ellis,Jeff Francis,batter,1
12,A. j. Ellis,Jerome Williams,batter,2
13,A. j. Ellis,Jose Veras,batter,3
14,A. j. Ellis,Justin Germano,batter,6
15,A. j. Ellis,Kameron Loe,batter,3
16,A. j. Ellis,Kyle Kendrick,batter,3
17,A. j. Ellis,Lucas Harrell,batter,2
18,A. j. Ellis,Sergio Romo,batter,3
19,A. j. Ellis,Shawn Camp,batter,2
20,A. j. Ellis,Steve Edlefsen,batter,3
21,A. j. Ellis,Trevor Cahill,batter,21
22,A. j. Ellis,Wilton Lopez,batter,12
23,A. j. Pierzynski,Aaron Cook,batter,3
24,A. j. Pierzynski,Aaron Crow,batter,5
25,A. j. Pierzynski,Brandon McCarthy,batter,13
26,A. j. Pierzynski,Brian Duensing,batter,1
27,A. j. Pierzynski,Bruce Chen,batter,6
28,A. j. Pierzynski,Clay Rapada,batter,3
29,A. j. Pierzynski,Corey Kluber,batter,12
30,A. j. Pierzynski,David Pauley,batter,3
31,A. j. Pierzynski,Derek Lowe,batter,15
32,A. j. Pierzynski,Freddy Garcia,batter,3
33,A. j. Pierzynski,Jake Westbrook,batter,3
34,A. j. Pierzynski,Jeremy Guthrie,batter,9
35,A. j. Pierzynski,Jerome Williams,batter,3
36,A. j. Pierzynski,Jim Johnson,batter,2
37,A. j. Pierzynski,Justin Masterson,batter,5
38,A. j. Pierzynski,Luke Putkonen,batter,3
39,A. j. Pierzynski,Matt Lindstrom,batter,3
40,A. j. Pierzynski,Mitchell Boggs,batter,12
41,A. j. Pierzynski,Scott Feldman,batter,1
42,A. j. Pierzynski,Scott Maine,batter,2
43,A. j. Pierzynski,Yoshinori Tateyama,batter,12
44,A.J. Burnett,A. j. Ellis,pitcher,1
45,A.J. Burnett,Adam Kennedy,pitcher,1
46,A.J. Burnett,Adrian Cardenas,pitcher,1
47,A.J. Burnett,Alex Avila,pitcher,3
48,A.J. Burnett,Alexi Amarista,pitcher,3
49,A.J. Burnett,Alfonso Soriano,pitcher,6
50,A.J. Burnett,Allen Craig,pitcher,2
51,A.J. Burnett,Andre Ethier,pitcher,2
52,A.J. Burnett,Andrelton Simmons,pitcher,1
53,A.J. Burnett,Angel Pagan,pitcher,6
54,A.J. Burnett,Anthony Rizzo,pitcher,1
55,A.J. Burnett,Aramis Ramirez,pitcher,2
56,A.J. Burnett,Austin Jackson,pitcher,1
57,A.J. Burnett,Brandon Barnes,pitcher,6
58,A.J. Burnett,Brandon Crawford,pitcher,2
59,A.J. Burnett,Brandon Phillips,pitcher,2
60,A.J. Burnett,Brayan Pena,pitcher,1
61,A.J. Burnett,Brennan Boesch,pitcher,7
62,A.J. Burnett,Brett Jackson,pitcher,1
63,A.J. Burnett,Brett Wallace,pitcher,6
64,A.J. Burnett,Brian Bogusevic,pitcher,10
65,A.J. Burnett,Brian Mccann,pitcher,7
66,A.J. Burnett,Bryan Lahair,pitcher,4
67,A.J. Burnett,Bryce Harper,pitcher,1
68,A.J. Burnett,Cameron Maybin,pitcher,6
69,A.J. Burnett,Carlos Beltran,pitcher,7
70,A.J. Burnett,Carlos Gomez,pitcher,1
71,A.J. Burnett,Carlos Lee,pitcher,3
72,A.J. Burnett,Carlos Quentin,pitcher,1
73,A.J. Burnett,Carlos Santana,pitcher,2
74,A.J. Burnett,Carlos Zambrano,pitcher,1
75,A.J. Burnett,Chris Heisey,pitcher,12
76,A.J. Burnett,Chris Snyder,pitcher,6
77,A.J. Burnett,Clint Robinson,pitcher,1
78,A.J. Burnett,Dan Uggla,pitcher,12
79,A.J. Burnett,Daniel Descalso,pitcher,6
80,A.J. Burnett,Darwin Barney,pitcher,7
