,winner,loser,score
0,A.J. Burnett,Blake Hawksworth,6
1,A.J. Burnett,Bobby Parnell,5
2,Bobby Parnell,A.J. Burnett,5
3,A.J. Burnett,Boone Logan,7
4,A.J. Burnett,Brad Bergesen,0
5,A.J. Burnett,Brad Thompson,4
6,A.J. Burnett,Brad Ziegler,0
7,A.J. Burnett,Brandon League,0
8,A.J. Burnett,Brandon Morrow,0
9,A.J. Burnett,Brent Leach,0
10,A.J. Burnett,Brett Anderson,5
11,A.J. Burnett,Brett Cecil,5
12,Brett Cecil,A.J. Burnett,5
13,A.J. Burnett,Brian Bannister,1
14,A.J. Burnett,Brian Bass,5
15,A.J. Burnett,Brian Bruney,0
16,A.J. Burnett,Brian Tallet,15
17,A.J. Burnett,CC Sabathia,1
18,A.J. Burnett,Chad Durbin,0
19,A.J. Burnett,Chan Ho Park,0
20,A.J. Burnett,Chris Jakubauskas,0
21,A.J. Burnett,Chris Perez,0
22,A.J. Burnett,Cla Meredith,0
23,A.J. Burnett,Clay Condrey,4
24,A.J. Burnett,Craig Breslow,16
25,A.J. Burnett,D.J. Carrasco,0
26,A.J. Burnett,Dan Wheeler,5
27,Dan Wheeler,A.J. Burnett,5
28,A.J. Burnett,Danys Baez,0
29,A.J. Burnett,Darren O'Day,0
30,A.J. Burnett,Darren Oliver,0
31,A.J. Burnett,David Aardsma,5
32,David Aardsma,A.J. Burnett,5
33,A.J. Burnett,David Price,0
34,A.J. Burnett,Derek Holland,0
35,A.J. Burnett,Eddie Guardado,0
36,A.J. Burnett,Edwar Ramirez,0
37,A.J. Burnett,Edwin Jackson,0
38,A.J. Burnett,Eric O'Flaherty,0
39,A.J. Burnett,Ervin Santana,0
40,A.J. Burnett,Felix Hernandez,0
41,A.J. Burnett,Francisco Liriano,0
42,A.J. Burnett,Freddy Garcia,5
43,Freddy Garcia,A.J. Burnett,5
44,A.J. Burnett,Fu-Te Ni,0
45,A.J. Burnett,Gavin Floyd,0
46,A.J. Burnett,Gio Gonzalez,0
47,A.J. Burnett,Grant Balfour,0
48,A.J. Burnett,Hideki Okajima,5
49,A.J. Burnett,Jair Jurrjens,3
50,A.J. Burnett,James Shields,3
51,A.J. Burnett,Jamey Wright,5
52,Jamey Wright,A.J. Burnett,5
53,A.J. Burnett,Jarrod Washburn,5
54,A.J. Burnett,Jason Bulger,0
55,A.J. Burnett,Jason Frasor,0
56,A.J. Burnett,Jason Grilli,0
57,A.J. Burnett,Jason Jennings,0
58,A.J. Burnett,Javier Vazquez,0
59,A.J. Burnett,Jeff Fulchino,2
60,A.J. Burnett,Jered Weaver,4
61,A.J. Burnett,Jeremy Sowers,5
62,Jeremy Sowers,A.J. Burnett,5
63,A.J. Burnett,Jesse Carlson,0
64,A.J. Burnett,Jesse Crain,5
65,Jesse Crain,A.J. Burnett,5
66,A.J. Burnett,Joe Blanton,5
67,Joe Blanton,A.J. Burnett,5
68,A.J. Burnett,Joe Smith,1
69,A.J. Burnett,Joe Thatcher,0
70,A.J. Burnett,Jon Lester,0
71,A.J. Burnett,Jonathan Albaladejo,1
72,A.J. Burnett,Jose Contreras,0
73,A.J. Burnett,Jose Veras,2
74,A.J. Burnett,Josh Beckett,0
75,A.J. Burnett,Josh Geer,5
76,Josh Geer,A.J. Burnett,5
77,A.J. Burnett,Josh Roenicke,0
78,A.J. Burnett,Juan Cruz,0
79,A.J. Burnett,Julian Tavarez,0
80,A.J. Burnett,Justin Masterson,0
81,A.J. Burnett,Justin Verlander,0
82,A.J. Burnett,Kam Mickolio,5
83,Kam Mickolio,A.J. Burnett,5
84,A.J. Burnett,Kevin Cameron,0
85,A.J. Burnett,Kevin Millwood,0
86,A.J. Burnett,Kiko Calero,5
87,Kiko Calero,A.J. Burnett,5
88,A.J. Burnett,Kyle McClellan,0
89,A.J. Burnett,Lance Broadway,5
90,Lance Broadway,A.J. Burnett,5
91,A.J. Burnett,Luis Ayala,0
92,A.J. Burnett,Manny Delcarmen,0
93,A.J. Burnett,Mark Buehrle,0
94,A.J. Burnett,Mark Hendrickson,0
95,A.J. Burnett,Mark Melancon,0
96,A.J. Burnett,Matt Albers,0
97,A.J. Burnett,Matt Garza,8
98,A.J. Burnett,Matt Herges,5
99,Matt Herges,A.J. Burnett,5
100,A.J. Burnett,Matt Palmer,0
101,A.J. Burnett,Matt Thornton,0
102,A.J. Burnett,Merkin Valdez,0
103,A.J. Burnett,Michael Wuertz,0
104,A.J. Burnett,Miguel Batista,0
105,A.J. Burnett,Octavio Dotel,0
106,A.J. Burnett,Pat Misch,5
107,Pat Misch,A.J. Burnett,5
108,A.J. Burnett,Peter Moylan,7
109,A.J. Burnett,Phil Coke,8
110,A.J. Burnett,Phil Hughes,0
111,A.J. Burnett,Rafael Perez,3
112,A.J. Burnett,Ramon E Ramirez,0
113,A.J. Burnett,Ramon Pena,3
114,A.J. Burnett,Ramon Troncoso,3
115,A.J. Burnett,Randy Choate,6
116,Randy Choate,A.J. Burnett,6
117,A.J. Burnett,Rich Thompson,0
118,A.J. Burnett,Robinson Tejeda,5
119,A.J. Burnett,Ron Mahay,0
120,A.J. Burnett,Ron Villone,0
