,winner,loser,score
138,Aaron Hill,Chone Figgins,15
139,Aaron Hill,Curtis Granderson,18
140,Aaron Hill,David Dejesus,0
141,Aaron Hill,David Ortiz,15
142,Aaron Hill,David Wright,3
143,Aaron Hill,Delmon Young,7
144,Aaron Hill,Denard Span,2
145,Aaron Hill,Dioner Navarro,7
146,Aaron Hill,Elvis Andrus,22
147,Aaron Hill,Erick Aybar,7
148,Aaron Hill,Evan Longoria,0
149,Aaron Hill,Fred Lewis,27
150,Aaron Hill,Gabe Gross,0
151,Aaron Hill,Hideki Matsui,0
152,Aaron Hill,Ichiro Suzuki,11
153,Aaron Hill,J. d. Drew,0
154,Aaron Hill,Jack Wilson,26
155,Aaron Hill,Jayson Nix,14
156,Aaron Hill,Jhonny Peralta,7
157,Aaron Hill,Joe Mauer,3
158,Aaron Hill,John Buck,3
159,Aaron Hill,Jorge Cantu,1
160,Aaron Hill,Jorge Posada,26
161,Aaron Hill,Jose Bautista,0
162,Aaron Hill,Josh Hamilton,0
163,Aaron Hill,Juan Miranda,5
164,Aaron Hill,Juan Pierre,23
165,Aaron Hill,Justin Morneau,0
166,Aaron Hill,Justin Smoak,0
167,Aaron Hill,Kurt Suzuki,3
168,Aaron Hill,Lance Berkman,1
169,Aaron Hill,Lou Marson,0
170,Aaron Hill,Maicer Izturis,11
171,Aaron Hill,Marco Scutaro,22
172,Aaron Hill,Mark Ellis,21
173,Aaron Hill,Mark Teahen,7
174,Aaron Hill,Mark Teixeira,19
175,Aaron Hill,Matt Laporta,0
176,Aaron Hill,Matt Wieters,1
177,Aaron Hill,Michael Saunders,0
178,Aaron Hill,Michael Young,0
179,Aaron Hill,Miguel Cabrera,18
180,Aaron Hill,Miguel Tejada,4
181,Aaron Hill,Mike Napoli,0
182,Aaron Hill,Milton Bradley,6
183,Aaron Hill,Nelson Cruz,6
184,Aaron Hill,Nick Swisher,0
185,Aaron Hill,Omar Vizquel,12
186,Aaron Hill,Peter Bourjos,27
187,Aaron Hill,Robinson Cano,40
188,Aaron Hill,Roger Bernadina,6
189,Roger Bernadina,Aaron Hill,6
190,Aaron Hill,Ryan Langerhans,26
191,Aaron Hill,Shin-soo Choo,2
192,Shin-soo Choo,Aaron Hill,2
193,Aaron Hill,Torii Hunter,6
194,Torii Hunter,Aaron Hill,6
195,Aaron Hill,Ty Wigginton,0
196,Aaron Hill,Vernon Wells,42
197,Aaron Hill,Yunel Escobar,36
198,Aaron Hill,Yuniesky Betancourt,17
199,Aaron Miles,Adam Dunn,0
200,Aaron Miles,Alex Gonzalez,0
201,Aaron Miles,Brendan Ryan,1
202,Brendan Ryan,Aaron Miles,1
203,Aaron Miles,Colby Rasmus,0
204,Aaron Miles,Derrek Lee,0
205,Aaron Miles,Ivan Rodriguez,5
206,Aaron Miles,Jason Giambi,0
207,Aaron Miles,Jonathan Herrera,3
208,Aaron Miles,Jonny Gomes,3
209,Aaron Miles,Martin Prado,0
210,Aaron Miles,Matt Holliday,0
211,Aaron Miles,Melky Cabrera,3
212,Melky Cabrera,Aaron Miles,3
213,Aaron Miles,Randy Winn,0
214,Aaron Miles,Ryan Braun,0
215,Aaron Miles,Skip Schumaker,1
216,Aaron Rowand,Adam Laroche,0
217,Aaron Rowand,Alfonso Soriano,0
218,Aaron Rowand,Andre Ethier,0
219,Aaron Rowand,Angel Pagan,0
220,Aaron Rowand,Chase Utley,0
221,Aaron Rowand,Chris Snyder,0
222,Aaron Rowand,Colby Rasmus,0
223,Aaron Rowand,Dan Uggla,1
224,Aaron Rowand,David Wright,0
225,Aaron Rowand,Edgar Renteria,0
226,Aaron Rowand,Gaby Sanchez,0
227,Aaron Rowand,Jamey Carroll,0
228,Aaron Rowand,Jayson Werth,0
229,Aaron Rowand,Jimmy Rollins,0
230,Aaron Rowand,Jonny Gomes,0
231,Aaron Rowand,Juan Uribe,0
232,Aaron Rowand,Luis Castillo,0
233,Aaron Rowand,Marlon Byrd,0
234,Aaron Rowand,Martin Prado,0
235,Aaron Rowand,Matt Holliday,0
236,Aaron Rowand,Michael Bourn,1
237,Aaron Rowand,Ryan Howard,0
238,Aaron Rowand,Scott Rolen,0
239,Aaron Rowand,Troy Tulowitzki,0
240,Adam Dunn,Aaron Miles,2
241,Adam Dunn,Adam Laroche,21
242,Adam Dunn,Adrian Beltre,15
243,Adam Dunn,Adrian Gonzalez,0
244,Adam Dunn,Albert Pujols,0
245,Adam Dunn,Alcides Escobar,2
246,Adam Dunn,Alex Gonzalez,11
247,Adam Dunn,Alfonso Soriano,18
248,Adam Dunn,Andre Ethier,22
249,Adam Dunn,Andrew Mccutchen,7
250,Adam Dunn,Asdrubal Cabrera,0
251,Adam Dunn,Aubrey Huff,0
252,Adam Dunn,Blake Dewitt,8
253,Adam Dunn,Brandon Phillips,4
254,Adam Dunn,Cameron Maybin,3
255,Cameron Maybin,Adam Dunn,3
256,Adam Dunn,Carlos Beltran,0
257,Adam Dunn,Carlos Gomez,5
258,Adam Dunn,Carlos Gonzalez,5
259,Adam Dunn,Casey Mcgehee,27
260,Adam Dunn,Chase Headley,2
261,Adam Dunn,Chase Utley,0
262,Adam Dunn,Chipper Jones,0
263,Adam Dunn,Chone Figgins,0
264,Adam Dunn,Chris Denorfia,9
265,Adam Dunn,Chris Johnson,0
266,Adam Dunn,Chris Young,18
267,Adam Dunn,Cliff Pennington,7
268,Adam Dunn,Cody Ross,14
269,Adam Dunn,Colby Rasmus,2
270,Adam Dunn,Conor Jackson,0
271,Adam Dunn,Corey Hart,11
272,Adam Dunn,Dan Uggla,12
273,Adam Dunn,Danny Espinosa,0
274,Adam Dunn,David Eckstein,17
275,David Eckstein,Adam Dunn,17
276,Adam Dunn,David Ross,5
277,Adam Dunn,David Wright,0
278,Adam Dunn,Delwyn Young,0
279,Adam Dunn,Denard Span,2
280,Adam Dunn,Derek Jeter,8
281,Adam Dunn,Derrek Lee,0
282,Adam Dunn,Dexter Fowler,4
283,Adam Dunn,Drew Stubbs,0
284,Adam Dunn,Eric Hinske,2
285,Adam Dunn,Eric Young,5
286,Adam Dunn,Everth Cabrera,0
287,Adam Dunn,Freddy Sanchez,5
288,Adam Dunn,Gaby Sanchez,24
289,Adam Dunn,Geoff Blum,7
290,Adam Dunn,Geovany Soto,9
291,Adam Dunn,Ian Desmond,9
292,Adam Dunn,Ian Stewart,12
293,Adam Dunn,Ichiro Suzuki,0
294,Adam Dunn,Ivan Rodriguez,7
295,Adam Dunn,J. j. Hardy,0
296,Adam Dunn,James Loney,0
297,Adam Dunn,Jamey Carroll,1
298,Adam Dunn,Jason Giambi,4
299,Adam Dunn,Jason Heyward,8
300,Adam Dunn,Jason Kendall,1
301,Adam Dunn,Jason Michaels,0
302,Adam Dunn,Jay Bruce,5
303,Adam Dunn,Jayson Werth,0
304,Adam Dunn,Jeff Baker,8
305,Jeff Baker,Adam Dunn,8
306,Adam Dunn,Jeff Keppinger,4
307,Adam Dunn,Jerry Hairston,6
308,Adam Dunn,Joe Mauer,0
309,Adam Dunn,Joey Votto,7
310,Adam Dunn,John Hester,3
311,John Hester,Adam Dunn,3
312,Adam Dunn,Jonny Gomes,0
313,Adam Dunn,Jorge Cantu,16
314,Adam Dunn,Jose Lopez,0
315,Adam Dunn,Jose Reyes,8
316,Adam Dunn,Josh Willingham,0
317,Adam Dunn,Juan Uribe,0
318,Adam Dunn,Justin Maxwell,9
319,Adam Dunn,Justin Smoak,6
320,Adam Dunn,Kelly Johnson,3
321,Adam Dunn,Kevin Kouzmanoff,9
322,Adam Dunn,Kosuke Fukudome,0
323,Adam Dunn,Lance Berkman,0
324,Adam Dunn,Logan Morrison,0
325,Adam Dunn,Lorenzo Cain,8
326,Adam Dunn,Lyle Overbay,3
327,Lyle Overbay,Adam Dunn,3
328,Adam Dunn,Manny Ramirez,3
329,Adam Dunn,Mark Reynolds,1
330,Adam Dunn,Marlon Byrd,3
331,Adam Dunn,Martin Prado,11
332,Adam Dunn,Matt Holliday,7
333,Adam Dunn,Matt Kemp,10
334,Adam Dunn,Matt Laporta,0
335,Adam Dunn,Melvin Mora,0
336,Adam Dunn,Michael Bourn,0
337,Adam Dunn,Michael Cuddyer,0
338,Adam Dunn,Miguel Montero,8
339,Adam Dunn,Miguel Olivo,11
340,Miguel Olivo,Adam Dunn,11
341,Adam Dunn,Miguel Tejada,5
342,Adam Dunn,Mike Sweeney,6
343,Adam Dunn,Nate Mclouth,3
344,Adam Dunn,Neil Walker,8
345,Adam Dunn,Nick Hundley,7
346,Adam Dunn,Nick Punto,6
347,Adam Dunn,Nyjer Morgan,10
348,Adam Dunn,Pedro Alvarez,11
349,Adam Dunn,Placido Polanco,3
350,Adam Dunn,Rafael Furcal,11
351,Adam Dunn,Ramon Hernandez,0
352,Adam Dunn,Rickie Weeks,28
353,Adam Dunn,Roger Bernadina,12
354,Adam Dunn,Ronny Cedeno,5
355,Adam Dunn,Russell Martin,8
356,Adam Dunn,Ryan Doumit,0
357,Adam Dunn,Ryan Hanigan,0
358,Adam Dunn,Ryan Spilborghs,6
359,Adam Dunn,Ryan Sweeney,4
360,Adam Dunn,Ryan Theriot,0
361,Adam Dunn,Ryan Zimmerman,8
362,Adam Dunn,Scott Hairston,0
363,Adam Dunn,Scott Podsednik,5
364,Adam Dunn,Scott Rolen,10
365,Adam Dunn,Seth Smith,5
366,Adam Dunn,Skip Schumaker,8
367,Adam Dunn,Stephen Drew,0
368,Adam Dunn,Todd Helton,17
369,Adam Dunn,Tommy Manzella,7
370,Adam Dunn,Troy Glaus,6
371,Adam Dunn,Troy Tulowitzki,2
372,Adam Dunn,Wes Helms,2
373,Adam Dunn,Will Venable,4
374,Adam Dunn,Willie Harris,11
375,Adam Dunn,Wilson Valdez,15
376,Adam Dunn,Xavier Nady,2
377,Xavier Nady,Adam Dunn,2
378,Adam Dunn,Yorvit Torrealba,0
379,Adam Jones,A. j. Pierzynski,0
380,Adam Jones,Adam Laroche,6
381,Adam Jones,Adrian Beltre,0
382,Adam Jones,Adrian Gonzalez,0
383,Adam Jones,Alberto Callaspo,3
384,Adam Jones,Alex Rios,4
385,Adam Jones,Alexi Casilla,0
386,Adam Jones,Andre Ethier,8
387,Adam Jones,Asdrubal Cabrera,0
388,Adam Jones,Austin Kearns,3
389,Austin Kearns,Adam Jones,3
390,Adam Jones,Ben Zobrist,0
391,Adam Jones,Billy Butler,11
392,Adam Jones,Bobby Abreu,0
393,Adam Jones,Brett Gardner,10
394,Adam Jones,Carlos Pena,1
395,Carlos Pena,Adam Jones,1
396,Adam Jones,Carlos Santana,2
397,Adam Jones,Chone Figgins,0
398,Adam Jones,Chris Coghlan,11
399,Adam Jones,Cliff Pennington,0
400,Adam Jones,Craig Tatum,3
401,Adam Jones,Delmon Young,0
402,Adam Jones,Denard Span,0
403,Adam Jones,Domonic Brown,8
404,Adam Jones,Eric Hinske,3
405,Adam Jones,Evan Longoria,0
406,Adam Jones,Fred Lewis,0
407,Adam Jones,Freddy Sanchez,4
408,Adam Jones,Gaby Sanchez,13
409,Adam Jones,Gordon Beckham,0
410,Adam Jones,Gregor Blanco,10
411,Adam Jones,Ian Kinsler,6
412,Adam Jones,Jack Cust,0
413,Adam Jones,Jamey Carroll,0
414,Adam Jones,Jason Bartlett,6
415,Adam Jones,Jayson Werth,5
416,Adam Jones,Jeff Mathis,3
417,Jeff Mathis,Adam Jones,3
418,Adam Jones,Joey Votto,6
419,Adam Jones,Johnny Damon,0
420,Adam Jones,Jorge Posada,0
421,Adam Jones,Jose Guillen,0
422,Adam Jones,Jose Morales,1
423,Adam Jones,Josh Bell,0
424,Adam Jones,Josh Hamilton,6
425,Adam Jones,Juan Rivera,0
426,Adam Jones,Julio Borbon,0
427,Adam Jones,Kevin Kouzmanoff,0
428,Adam Jones,Kevin Youkilis,0
429,Adam Jones,Kila Ka'aihue,0
430,Adam Jones,Lou Marson,1
431,Lou Marson,Adam Jones,1
432,Adam Jones,Luis Valbuena,9
433,Adam Jones,Luke Scott,1
434,Adam Jones,Maicer Izturis,0
435,Adam Jones,Mark Teixeira,0
436,Adam Jones,Matt Laporta,0
437,Adam Jones,Matt Treanor,2
438,Adam Jones,Matt Wieters,9
439,Adam Jones,Michael Young,4
440,Michael Young,Adam Jones,4
441,Adam Jones,Miguel Cabrera,0
442,Adam Jones,Miguel Montero,10
443,Adam Jones,Miguel Olivo,0
444,Adam Jones,Miguel Tejada,0
445,Adam Jones,Mike Aviles,0
446,Adam Jones,Nelson Cruz,1
447,Adam Jones,Nick Markakis,10
448,Adam Jones,Nick Swisher,0
449,Adam Jones,Nolan Reimold,1
450,Nolan Reimold,Adam Jones,1
451,Adam Jones,Omar Vizquel,0
452,Adam Jones,Orlando Hudson,0
453,Adam Jones,Placido Polanco,2
454,Adam Jones,Rajai Davis,0
455,Adam Jones,Reggie Willits,0
456,Adam Jones,Robinson Cano,3
457,Adam Jones,Ryan Howard,2
458,Adam Jones,Ryan Raburn,0
459,Adam Jones,Scott Podsednik,3
460,Adam Jones,Shane Victorino,1
461,Adam Jones,Shin-soo Choo,0
462,Adam Jones,Skip Schumaker,3
463,Skip Schumaker,Adam Jones,3
464,Adam Jones,Torii Hunter,0
465,Adam Jones,Trevor Crowe,2
466,Adam Jones,Troy Glaus,16
467,Adam Jones,Ty Wigginton,0
468,Adam Jones,Vernon Wells,0
469,Adam Jones,Vladimir Guerrero,0
470,Adam Jones,Yuniesky Betancourt,0
471,Adam Kennedy,Adam Laroche,0
472,Adam Kennedy,Albert Pujols,0
473,Adam Kennedy,Aubrey Huff,0
474,Adam Kennedy,Cristian Guzman,0
475,Adam Kennedy,Jamey Carroll,0
476,Adam Kennedy,Jayson Werth,0
477,Adam Kennedy,Jorge Cantu,0
478,Adam Kennedy,Josh Willingham,2
479,Adam Kennedy,Marlon Byrd,0
480,Adam Kennedy,Martin Prado,0
481,Adam Kennedy,Matt Kemp,0
482,Adam Kennedy,Roger Bernadina,6
483,Roger Bernadina,Adam Kennedy,6
484,Adam Kennedy,Ryan Howard,0
485,Adam Kennedy,Ryan Theriot,0
486,Adam Kennedy,Wilson Valdez,0
487,Adam Laroche,Aaron Rowand,1
488,Adam Laroche,Adam Dunn,0
489,Adam Laroche,Adam Jones,0
490,Adam Laroche,Adam Kennedy,7
491,Adam Laroche,Adrian Gonzalez,17
492,Adam Laroche,Albert Pujols,0
493,Adam Laroche,Alex Gonzalez,9
494,Adam Laroche,Alfonso Soriano,10
495,Alfonso Soriano,Adam Laroche,10
496,Adam Laroche,Allen Craig,10
497,Adam Laroche,Andre Ethier,9
498,Adam Laroche,Andres Torres,3
499,Adam Laroche,Andrew Mccutchen,23
500,Adam Laroche,Angel Pagan,0
501,Adam Laroche,Aramis Ramirez,3
502,Adam Laroche,Aubrey Huff,0
503,Adam Laroche,Billy Butler,0
504,Adam Laroche,Blake Dewitt,4
505,Adam Laroche,Bobby Abreu,0
506,Adam Laroche,Brandon Phillips,0
507,Adam Laroche,Brian Mccann,14
508,Adam Laroche,Cameron Maybin,24
509,Adam Laroche,Carlos Gomez,0
510,Adam Laroche,Carlos Lee,0
511,Adam Laroche,Casey Blake,0
512,Adam Laroche,Casey Mcgehee,0
513,Adam Laroche,Cesar Izturis,8
514,Adam Laroche,Chad Billingsley,7
515,Adam Laroche,Chase Headley,6
516,Adam Laroche,Chase Utley,2
517,Adam Laroche,Chipper Jones,7
518,Adam Laroche,Chris Coghlan,11
519,Adam Laroche,Chris Denorfia,12
520,Adam Laroche,Chris Johnson,1
521,Adam Laroche,Chris Snyder,4
522,Adam Laroche,Chris Young,24
523,Adam Laroche,Cliff Pennington,3
524,Adam Laroche,Cody Ross,3
525,Adam Laroche,Conor Jackson,1
526,Adam Laroche,Dan Uggla,7
527,Adam Laroche,Danny Espinosa,0
528,Adam Laroche,David Dejesus,6
529,Adam Laroche,David Eckstein,24
530,Adam Laroche,David Freese,1
531,Adam Laroche,David Ross,10
532,Adam Laroche,Derek Jeter,9
533,Derek Jeter,Adam Laroche,9
534,Adam Laroche,Derrek Lee,12
535,Adam Laroche,Drew Stubbs,0
536,Adam Laroche,Emilio Bonifacio,0
537,Adam Laroche,Eric Young,10
538,Adam Laroche,Felipe Lopez,4
539,Adam Laroche,Freddy Sanchez,0
540,Adam Laroche,Gaby Sanchez,30
541,Adam Laroche,Geovany Soto,1
542,Adam Laroche,Gerardo Parra,11
543,Adam Laroche,Giancarlo Stanton,0
544,Adam Laroche,Hanley Ramirez,2
545,Adam Laroche,Hideki Matsui,26
546,Adam Laroche,Hunter Pence,16
547,Adam Laroche,Ian Stewart,7
548,Adam Laroche,Ike Davis,0
549,Adam Laroche,Ivan Rodriguez,0
550,Adam Laroche,Jamey Carroll,1
551,Adam Laroche,Jason Heyward,2
552,Adam Laroche,Jason Michaels,9
553,Jason Michaels,Adam Laroche,9
554,Adam Laroche,Jay Bruce,27
555,Adam Laroche,Jayson Werth,2
556,Adam Laroche,Jeff Francoeur,8
557,Adam Laroche,Jeff Keppinger,1
558,Adam Laroche,Jim Thome,10
559,Jim Thome,Adam Laroche,10
560,Adam Laroche,Jimmy Rollins,13
561,Adam Laroche,Jon Jay,4
562,Adam Laroche,Jonny Gomes,10
563,Adam Laroche,Jorge Cantu,0
564,Adam Laroche,Jose Reyes,6
565,Adam Laroche,Josh Reddick,0
566,Adam Laroche,Josh Willingham,0
567,Adam Laroche,Juan Rivera,8
568,Adam Laroche,Juan Uribe,1
569,Adam Laroche,Kevin Kouzmanoff,0
570,Adam Laroche,Kosuke Fukudome,1
571,Adam Laroche,Lance Berkman,0
572,Adam Laroche,Logan Morrison,11
573,Adam Laroche,Luis Durango,9
574,Adam Laroche,Lyle Overbay,2
575,Adam Laroche,Mark Reynolds,11
576,Adam Laroche,Mark Teixeira,1
577,Adam Laroche,Marlon Byrd,0
578,Adam Laroche,Martin Prado,0
579,Adam Laroche,Matt Diaz,4
580,Matt Diaz,Adam Laroche,4
581,Adam Laroche,Matt Holliday,29
582,Adam Laroche,Matt Kemp,0
583,Adam Laroche,Melky Cabrera,5
584,Adam Laroche,Melvin Mora,2
585,Adam Laroche,Miguel Montero,0
586,Adam Laroche,Miguel Olivo,11
587,Adam Laroche,Mike Sweeney,8
588,Adam Laroche,Nick Hundley,0
589,Adam Laroche,Nick Markakis,9
590,Adam Laroche,Oscar Salazar,0
591,Adam Laroche,Pablo Sandoval,0
592,Adam Laroche,Paul Konerko,5
593,Adam Laroche,Pedro Alvarez,3
594,Adam Laroche,Pedro Feliz,2
595,Adam Laroche,Placido Polanco,1
596,Adam Laroche,Prince Fielder,11
597,Adam Laroche,Randy Winn,9
598,Adam Laroche,Raul Ibanez,31
599,Adam Laroche,Rickie Weeks,2
600,Adam Laroche,Ricky Nolasco,0
601,Adam Laroche,Rod Barajas,0
602,Adam Laroche,Ruben Tejada,12
603,Adam Laroche,Ryan Braun,1
604,Adam Laroche,Ryan Doumit,9
605,Adam Laroche,Ryan Spilborghs,0
606,Adam Laroche,Ryan Theriot,3
607,Adam Laroche,Ryan Zimmerman,6
608,Ryan Zimmerman,Adam Laroche,6
609,Adam Laroche,Scott Hairston,9
610,Adam Laroche,Scott Podsednik,0
611,Adam Laroche,Shane Victorino,12
612,Adam Laroche,Skip Schumaker,8
613,Adam Laroche,Stephen Drew,10
614,Adam Laroche,Todd Helton,9
615,Adam Laroche,Troy Glaus,12
616,Adam Laroche,Ty Wigginton,0
617,Adam Laroche,Tyler Colvin,0
618,Adam Laroche,Victor Martinez,8
619,Adam Laroche,Wes Helms,3
620,Adam Laroche,Xavier Paul,1
621,Xavier Paul,Adam Laroche,1
622,Adam Laroche,Yunel Escobar,16
623,Adam Lind,A. j. Pierzynski,12
624,Adam Lind,Aaron Hill,0
625,Adam Lind,Adam Rosales,10
626,Adam Lind,Alberto Callaspo,0
627,Adam Lind,Alex Gonzalez,0
628,Adam Lind,Alex Rodriguez,13
629,Adam Lind,Angel Pagan,0
630,Adam Lind,Asdrubal Cabrera,6
631,Adam Lind,Austin Kearns,21
632,Adam Lind,B. j. Upton,0
633,Adam Lind,Billy Butler,0
634,Adam Lind,Bobby Abreu,19
635,Adam Lind,Brandon Inge,2
636,Adam Lind,Brett Gardner,18
637,Adam Lind,Carl Crawford,0
638,Adam Lind,Carlos Quentin,21
639,Adam Lind,Chone Figgins,7
640,Adam Lind,Chris Getz,0
641,Adam Lind,Curtis Granderson,18
642,Adam Lind,Daric Barton,16
643,Adam Lind,David Dejesus,3
644,Adam Lind,David Murphy,0
645,Adam Lind,David Ortiz,24
646,Adam Lind,Denard Span,6
647,Adam Lind,Erick Aybar,12
648,Adam Lind,Felipe Lopez,3
649,Adam Lind,Francisco Cervelli,32
650,Adam Lind,Franklin Gutierrez,0
651,Adam Lind,Fred Lewis,0
652,Adam Lind,Grady Sizemore,0
653,Adam Lind,Hideki Matsui,8
654,Adam Lind,Howie Kendrick,20
655,Adam Lind,Ichiro Suzuki,4
656,Adam Lind,J. d. Drew,0
657,Adam Lind,J. j. Hardy,0
