,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6739773716275022,0.6802581078262263
1,2010.0,0.6633633175788992,0.6688617438332075
2,2011.0,0.6719814241486068,0.6759358000490076
3,2012.0,0.6718824087245141,0.6754043738075334
4,2013.0,0.6733035998725709,0.6794688094056875
5,2014.0,0.6563616591579928,0.6617585560704214
6,2015.0,0.6647503782148261,0.6698834327740424
7,2016.0,0.6671098112204201,0.6706876002222523
8,2017.0,0.6615767814598223,0.6655663661948603
9,2018.0,0.6754929577464789,0.6807331053514989
10,2019.0,0.661005278861602,0.6653966944354062
