pitch_type,pitcher_name,events,description,home_team,away_team,inning,stand,p_throws,home_score,away_score,batter_name
CH,"Jones, Jared",double,hit_into_play,PIT,PHI,4,L,R,0,1,MLBAM_596117
SL,"Ober, Bailey",strikeout,swinging_strike,MIN,ATL,4,R,R,2,1,MLBAM_663897
,"Williams, Trevor",field_out,hit_into_play,WSH,NYM,4,R,R,3,1,MLBAM_608841
SI,"Kremer, Dean",walk,ball,DET,BAL,4,R,R,4,4,MLBAM_693307
,"Williams, Trevor",field_out,hit_into_play,WSH,NYM,4,L,R,3,1,MLBAM_643446
SL,"Jones, Jared",field_out,hit_into_play,PIT,PHI,3,R,R,0,1,MLBAM_624641
,"Bido, Osvaldo",strikeout,swinging_strike,ATH,CLE,4,L,R,0,8,MLBAM_682177
FF,"Wrobleski, Justin",strikeout,swinging_strike,SEA,LAD,4,R,L,0,3,MLBAM_593871
KC,"Soriano, José",field_out,hit_into_play,KC,LAA,3,R,R,2,2,MLBAM_521692
,"Baz, Shane",walk,ball,TB,MIN,3,R,R,1,7,MLBAM_807712
SL,"Ober, Bailey",strikeout,swinging_strike,MIN,ATL,4,R,R,2,1,MLBAM_545350
FF,"López, Reynaldo",fielders_choice,hit_into_play,MIN,ATL,4,L,R,3,1,MLBAM_680577
ST,"Lugo, Seth",strikeout,swinging_strike,KC,LAA,3,R,R,2,1,MLBAM_641313
,"Festa, David",double_play,hit_into_play,TB,MIN,4,R,R,5,8,MLBAM_650490
KC,"Soriano, José",field_out,hit_into_play,KC,LAA,3,L,R,2,2,MLBAM_686469
FF,"Kremer, Dean",single,hit_into_play,DET,BAL,4,L,R,4,4,MLBAM_656716
,"McCaughan, Darren",single,hit_into_play,TB,MIN,7,L,R,6,8,MLBAM_670224
CU,"López, Reynaldo",single,hit_into_play,MIN,ATL,4,L,R,3,1,MLBAM_686797
FF,"Montero, Keider",strikeout,swinging_strike,DET,BAL,3,L,R,3,4,MLBAM_666185
,"Williams, Trevor",strikeout,called_strike,WSH,NYM,4,R,R,3,1,MLBAM_668901
,"Bido, Osvaldo",home_run,hit_into_play,ATH,CLE,4,R,R,0,7,MLBAM_671289
SI,"Mikolas, Miles",field_out,hit_into_play,STL,HOU,4,R,R,3,2,MLBAM_643289
,"Baz, Shane",single,hit_into_play,TB,MIN,3,R,R,1,7,MLBAM_668885
FF,"Mikolas, Miles",single,hit_into_play,STL,HOU,4,R,R,3,2,MLBAM_676694
SL,"Jones, Jared",strikeout,swinging_strike,PIT,PHI,3,L,R,0,1,MLBAM_665019
,"Festa, David",single,hit_into_play,TB,MIN,4,L,R,5,8,MLBAM_694966
,"Adams, Travis",field_out,hit_into_play,TB,MIN,9,L,R,9,9,MLBAM_803745
FF,"Rodríguez, Yariel",field_out,hit_into_play,NYY,TOR,3,R,R,2,1,MLBAM_502671
FF,"Ober, Bailey",single,hit_into_play,MIN,ATL,4,L,R,2,1,MLBAM_668843
FF,"Blubaugh, AJ",strikeout,swinging_strike,STL,HOU,7,R,R,5,4,MLBAM_694271
,"Cabrera, Edward",walk,ball,BOS,MIA,3,R,R,4,1,MLBAM_657136
CU,"Arrighetti, Spencer",strikeout,called_strike,STL,HOU,2,L,R,1,2,MLBAM_687363
FF,"López, Reynaldo",single,hit_into_play,MIN,ATL,4,R,R,2,1,MLBAM_664056
,"Bido, Osvaldo",field_out,hit_into_play,ATH,CLE,3,L,R,0,7,MLBAM_683953
,"Williams, Trevor",strikeout,called_strike,WSH,NYM,3,R,R,0,1,MLBAM_624413
CH,"Montero, Keider",strikeout,swinging_strike,DET,BAL,3,R,R,3,4,MLBAM_691723
CH,"Mikolas, Miles",field_out,hit_into_play,STL,HOU,4,L,R,3,2,MLBAM_605170
FF,"Wrobleski, Justin",field_out,hit_into_play,SEA,LAD,3,R,L,0,3,MLBAM_663728
SL,"Ober, Bailey",field_out,hit_into_play,MIN,ATL,4,R,R,2,1,MLBAM_686551
FS,"Kremer, Dean",home_run,hit_into_play,DET,BAL,4,R,R,3,4,MLBAM_679529
SL,"Soriano, José",walk,ball,KC,LAA,3,R,R,2,2,MLBAM_677951
SI,"Stroman, Marcus",field_out,hit_into_play,NYY,TOR,3,L,R,2,1,MLBAM_662139
SV,"Lugo, Seth",field_out,hit_into_play,KC,LAA,3,R,R,2,1,MLBAM_518595
SI,"Lugo, Seth",strikeout,called_strike,KC,LAA,2,R,R,2,1,MLBAM_621493
,"Buehler, Walker",field_out,hit_into_play,BOS,MIA,3,R,R,3,1,MLBAM_681393
FF,"Rodríguez, Yariel",single,hit_into_play,NYY,TOR,3,L,R,2,1,MLBAM_641355
CH,"Mikolas, Miles",field_out,hit_into_play,STL,HOU,4,R,R,3,2,MLBAM_665161
,"McCaughan, Darren",single,hit_into_play,TB,MIN,7,L,R,6,8,MLBAM_802415
FF,"Ober, Bailey",field_out,hit_into_play,MIN,ATL,3,R,R,1,1,MLBAM_642201
FF,"López, Reynaldo",field_out,hit_into_play,MIN,ATL,4,R,R,2,1,MLBAM_668904
FC,"Arrighetti, Spencer",walk,ball,STL,HOU,2,R,R,1,2,MLBAM_691026
,"Baz, Shane",field_out,hit_into_play,TB,MIN,2,L,R,1,7,MLBAM_681508
,"McCaughan, Darren",single,hit_into_play,TB,MIN,7,L,R,6,8,MLBAM_691003
CU,"Wrobleski, Justin",walk,ball,SEA,LAD,3,R,L,0,3,MLBAM_456781
,"Festa, David",field_out,hit_into_play,TB,MIN,4,L,R,5,8,MLBAM_670764
CH,"Young, Brandon",field_out,hit_into_play,DET,BAL,7,R,R,11,4,MLBAM_701678
ST,"Ober, Bailey",field_out,hit_into_play,MIN,ATL,3,R,R,1,1,MLBAM_643265
,"Cabrera, Edward",single,hit_into_play,BOS,MIA,3,L,R,4,1,MLBAM_666152
,"Williams, Trevor",walk,ball,WSH,NYM,3,R,R,0,1,MLBAM_682626
FF,"Montero, Keider",strikeout,swinging_strike,DET,BAL,3,L,R,3,4,MLBAM_677008
,"Bido, Osvaldo",walk,ball,ATH,CLE,3,R,R,0,7,MLBAM_671286
FF,"Jones, Jared",field_out,hit_into_play,PIT,PHI,3,R,R,0,1,MLBAM_679032
SL,"Rodríguez, Yariel",strikeout,swinging_strike,NYY,TOR,3,R,R,2,1,MLBAM_592450
SI,"Mikolas, Miles",field_out,hit_into_play,STL,HOU,3,L,R,1,2,MLBAM_592325
FS,"Kremer, Dean",field_out,hit_into_play,DET,BAL,3,L,R,3,4,MLBAM_690993
,"Cantillo, Joey",field_out,hit_into_play,ATH,CLE,3,L,L,0,7,MLBAM_664913
,"Festa, David",single,hit_into_play,TB,MIN,3,R,R,3,8,MLBAM_676609
SI,"Soriano, José",walk,ball,KC,LAA,3,R,R,2,2,MLBAM_663697
FF,"Blubaugh, AJ",field_out,hit_into_play,STL,HOU,7,L,R,5,4,MLBAM_693409
,"Buehler, Walker",strikeout,swinging_strike,BOS,MIA,3,R,R,3,1,MLBAM_656537
FF,"López, Reynaldo",double,hit_into_play,MIN,ATL,4,R,R,2,1,MLBAM_664034
,"Baz, Shane",single,hit_into_play,TB,MIN,2,R,R,1,7,MLBAM_543877
FF,"Hancock, Emerson",double,hit_into_play,SEA,LAD,3,L,R,0,0,MLBAM_624424
