,winner,loser,score
130,A.J. Burnett,Livan Hernandez,13
131,A.J. Burnett,Luis Perdomo,8
132,A.J. Burnett,Luke Gregerson,0
133,A.J. Burnett,Luke Hochevar,37
134,A.J. Burnett,Manny Corpas,0
135,A.J. Burnett,Marc Rzepczynski,26
136,A.J. Burnett,Matt Albers,55
137,A.J. Burnett,Matt Lindstrom,0
138,A.J. Burnett,Matt Maloney,0
139,A.J. Burnett,Matt Palmer,20
140,A.J. Burnett,Miguel Batista,69
141,A.J. Burnett,Mike Gosling,11
142,A.J. Burnett,Mike Hampton,4
143,A.J. Burnett,Mike Hinckley,5
144,A.J. Burnett,Mike MacDougal,12
145,A.J. Burnett,Mike Pelfrey,24
146,A.J. Burnett,Mitchell Boggs,0
147,A.J. Burnett,Nate Robertson,44
148,A.J. Burnett,Nick Adenhart,1
149,A.J. Burnett,Oliver Perez,0
150,A.J. Burnett,Pat Misch,10
151,A.J. Burnett,Pedro Feliciano,14
152,A.J. Burnett,Pedro Martinez,0
153,A.J. Burnett,Peter Moylan,5
154,A.J. Burnett,Phil Dumatrait,1
155,A.J. Burnett,R.J. Swindle,1
156,A.J. Burnett,Rafael Rodriguez,32
157,A.J. Burnett,Rafael Soriano,0
158,A.J. Burnett,Ramon Troncoso,6
159,A.J. Burnett,Randy Choate,79
160,A.J. Burnett,Randy Wells,10
161,A.J. Burnett,Randy Williams,1
162,A.J. Burnett,Rick Van Den Hurk,0
163,A.J. Burnett,Roberto Hernandez,60
164,A.J. Burnett,Roman Colon,67
165,A.J. Burnett,Ron Villone,24
166,A.J. Burnett,Ronald Belisario,41
167,A.J. Burnett,Ross Detwiler,49
168,A.J. Burnett,Roy Corcoran,24
169,A.J. Burnett,Roy Halladay,40
170,A.J. Burnett,Roy Oswalt,12
171,A.J. Burnett,Ryan Franklin,2
172,A.J. Burnett,Ryan Webb,11
173,A.J. Burnett,Sammy Gervacio,1
174,A.J. Burnett,Scot Shields,18
175,A.J. Burnett,Scott Baker,66
176,A.J. Burnett,Scott Downs,64
177,A.J. Burnett,Scott Feldman,65
178,A.J. Burnett,Scott Kazmir,35
179,A.J. Burnett,Scott Lewis,0
180,A.J. Burnett,Scott Linebrink,25
181,A.J. Burnett,Scott Schoeneweis,0
182,A.J. Burnett,Sean Burnett,8
183,A.J. Burnett,Sean Green,19
184,A.J. Burnett,Sean O'Sullivan,15
185,A.J. Burnett,Sean White,99
186,A.J. Burnett,Sergio Mitre,11
187,A.J. Burnett,Sergio Romo,6
188,A.J. Burnett,Shane Loux,32
189,A.J. Burnett,Shawn Camp,74
190,A.J. Burnett,Shawn Hill,8
191,A.J. Burnett,Sidney Ponson,58
192,A.J. Burnett,Steven Shell,0
193,A.J. Burnett,Ted Lilly,10
194,A.J. Burnett,Tim Byrdak,5
195,A.J. Burnett,Tim Dillard,0
196,A.J. Burnett,Tim Hudson,15
197,A.J. Burnett,Todd Wellemeyer,27
198,A.J. Burnett,Tomo Ohka,31
199,A.J. Burnett,Travis Schlichting,3
200,A.J. Burnett,Trevor Cahill,100
201,A.J. Burnett,Vicente Padilla,72
202,A.J. Burnett,Vinnie Chulk,23
203,A.J. Burnett,Wesley Wright,0
204,A.J. Burnett,Wilton Lopez,15
205,A.J. Burnett,Zach Miner,47
206,Aaron Cook,A.J. Burnett,57
207,Aaron Cook,Aaron Heilman,93
208,Aaron Cook,Aaron Laffey,10
209,Aaron Cook,Adam Russell,32
210,Aaron Cook,Adam Wainwright,94
211,Aaron Cook,Anibal Sanchez,38
212,Aaron Cook,Anthony Claggett,0
213,Aaron Cook,Armando Galarraga,25
214,Aaron Cook,Billy Traber,0
215,Aaron Cook,Blake Hawksworth,78
216,Aaron Cook,Bob Keppel,21
217,Aaron Cook,Bob McCrory,0
218,Aaron Cook,Bobby Seay,29
219,Aaron Cook,Brad Penny,21
220,Aaron Cook,Brad Thompson,73
221,Aaron Cook,Brad Ziegler,37
222,Aaron Cook,Braden Looper,123
223,Aaron Cook,Brandon League,52
224,Aaron Cook,Brandon McCarthy,8
225,Aaron Cook,Brandon Morrow,0
226,Aaron Cook,Brandon Webb,0
227,Aaron Cook,Brett Cecil,10
228,Aaron Cook,Brian Bass,4
229,Aaron Cook,Brian Duensing,31
230,Aaron Cook,Brian Fuentes,45
231,Aaron Cook,Brian Shouse,29
232,Aaron Cook,Bronson Arroyo,105
233,Aaron Cook,Bruce Chen,1
234,Aaron Cook,Bryan Augenstein,30
235,Aaron Cook,Buddy Carlyle,14
236,Aaron Cook,Burke Badenhop,83
237,Aaron Cook,CC Sabathia,43
238,Aaron Cook,Carl Pavano,40
239,Aaron Cook,Carlos Fisher,23
240,Aaron Cook,Carlos Silva,18
241,Aaron Cook,Carlos Zambrano,61
242,Aaron Cook,Cesar Ramos,0
243,Aaron Cook,Chad Bradford,0
244,Aaron Cook,Chad Gaudin,23
245,Aaron Cook,Chad Qualls,76
246,Aaron Cook,Chan Ho Park,46
247,Aaron Cook,Chien-Ming Wang,29
248,Aaron Cook,Chris Carpenter,106
249,Aaron Cook,Chris Volstad,95
250,Aaron Cook,Chris Waters,1
251,Aaron Cook,Cla Meredith,36
252,Aaron Cook,Claudio Vargas,42
253,Aaron Cook,Clay Condrey,33
254,Aaron Cook,Clay Rapada,0
255,Aaron Cook,Dallas Braden,16
256,Aaron Cook,Damaso Marte,15
257,Aaron Cook,Dan Giese,0
258,Aaron Cook,Dan Meyer,17
259,Aaron Cook,Dana Eveland,13
260,Aaron Cook,Daniel Schlereth,8
261,Aaron Cook,Danys Baez,31
262,Aaron Cook,Darren O'Day,46
263,Aaron Cook,Dennys Reyes,52
264,Aaron Cook,Derek Holland,39
265,Aaron Cook,Derek Lowe,81
266,Aaron Cook,Doug Fister,2
267,Aaron Cook,Doug Mathis,41
268,Aaron Cook,Duaner Sanchez,13
269,Aaron Cook,Dustin Moseley,16
270,Aaron Cook,Eddie Guardado,28
271,Aaron Cook,Edgar Gonzalez,52
272,Aaron Cook,Edinson Volquez,24
273,Aaron Cook,Edwar Ramirez,6
274,Aaron Cook,Eric O'Flaherty,32
275,Aaron Cook,Esmerling Vasquez,59
276,Aaron Cook,Felix Hernandez,74
277,Aaron Cook,Freddy Dolsi,3
278,Aaron Cook,Freddy Garcia,16
279,Aaron Cook,Fu-Te Ni,16
280,Aaron Cook,Graham Taylor,32
281,Aaron Cook,Greg Burke,65
282,Aaron Cook,Guillermo Mota,86
