winner,loser,score
"Abbott, Andrew","Cole, Gerrit",10.278100967407227
"Abbott, Andrew","Coleman, Dylan",1.8601561784744263
"Abbott, Andrew","Contreras, Luis",4.112003326416016
"Abbott, Andrew","Corbin, Patrick",9.95287799835205
"Abbott, Andrew","Cortes, Nestor",23.553207397460938
"Abbott, Andrew","Coulombe, Danny",12.197226524353027
"Abbott, Andrew","Cousins, Jake",1.6526445150375366
"Abbott, Andrew","Crawford, Kutter",26.665035247802734
"Abbott, Andrew","Crismatt, Nabil",5.859619140625
"Abbott, Andrew","Criswell, Cooper",2.048898220062256
"Abbott, Andrew","Criswell, Jeff",5.330440521240234
"Abbott, Andrew","Crochet, Garrett",48.051937103271484
"Abbott, Andrew","Cronin, Declan",9.442185401916504
"Abbott, Andrew","Crouse, Hans",0.5571040511131287
"Abbott, Andrew","Cruz, Fernando",19.150774002075195
"Abbott, Andrew","Cruz, Steven",4.66956090927124
"Abbott, Andrew","Cueto, Johnny",2.816803455352783
"Abbott, Andrew","Curry, Xzavion",8.833003044128418
"Abbott, Andrew","Curtiss, John",3.0213465690612793
"Abbott, Andrew","Dana, Caden",0.04161727428436279
"Abbott, Andrew","Daniel, Davis",6.625079154968262
"Abbott, Andrew","Darvish, Yu",12.891786575317383
"Abbott, Andrew","Davidson, Tucker",1.0217825174331665
"Abbott, Andrew","Davis, Noah",1.8416556119918823
"Abbott, Andrew","De Los Santos, Enyel",5.709135055541992
"Abbott, Andrew","Detmers, Reid",11.935235977172852
"Abbott, Andrew","Dobnak, Randy",2.51162052154541
"Abbott, Andrew","Dodd, Dylan",2.769369602203369
"Abbott, Andrew","Domínguez, Seranthony",9.185946464538574
"Abbott, Andrew","Doval, Camilo",1.9035621881484985
"Abbott, Andrew","Duarte, Daniel",3.2971267700195312
"Abbott, Andrew","Dunning, Dane",3.3900058269500732
"Abbott, Andrew","Dunshee, Parker",1.3225771188735962
"Abbott, Andrew","Duran, Jhoan",16.154293060302734
"Abbott, Andrew","Díaz, Edwin",17.304637908935547
"Abbott, Andrew","Díaz, Jhonathan",2.6287989616394043
"Abbott, Andrew","Díaz, Yilber",0.8668085336685181
"Abbott, Andrew","Eder, Jake",0.4203225374221802
"Abbott, Andrew","Edwards Jr., Carl",0.18915098905563354
"Abbott, Andrew","Effross, Scott",0.8075257539749146
"Abbott, Andrew","Eflin, Zach",29.902631759643555
"Abbott, Andrew","Elder, Bryce",2.737973690032959
"Abbott, Andrew","Ellard, Fraser",4.724027633666992
"Abbott, Andrew","Englert, Mason",4.3532304763793945
"Abbott, Andrew","Eovaldi, Nathan",24.279796600341797
"Abbott, Andrew","Erceg, Lucas",18.041921615600586
"Abbott, Andrew","Estes, Joey",9.069096565246582
"Abbott, Andrew","Estrada, Jeremiah",19.407085418701172
"Abbott, Andrew","Estévez, Carlos",17.716501235961914
"Abbott, Andrew","Fairbanks, Pete",8.68440055847168
"Abbott, Andrew","Falter, Bailey",4.957897186279297
"Abbott, Andrew","Farmer, Buck",6.660915374755859
"Abbott, Andrew","Farmer, Kyle",1.6239157915115356
"Abbott, Andrew","Faucher, Calvin",3.782076835632324
"Abbott, Andrew","Fedde, Erick",20.311025619506836
"Abbott, Andrew","Feltner, Ryan",8.3225679397583
"Abbott, Andrew","Ferguson, Caleb",2.9328079223632812
"Abbott, Andrew","Ferguson, Tyler",8.523723602294922
"Abbott, Andrew","Fernandez, Ryan",6.190648078918457
"Abbott, Andrew","Ferrer, Jose A.",6.900118827819824
"Abbott, Andrew","Festa, David",14.706194877624512
"Abbott, Andrew","Festa, Matt",5.628143787384033
"Abbott, Andrew","Finnegan, Kyle",10.44141960144043
"Abbott, Andrew","Flaherty, Jack",40.36575698852539
"Abbott, Andrew","Flexen, Chris",1.7878152132034302
"Abbott, Andrew","Floro, Dylan",9.752951622009277
"Abbott, Andrew","Foley, Jason",4.845358371734619
"Abbott, Andrew","France, J.P.",2.9680566787719727
"Abbott, Andrew","Francis, Bowden",12.312156677246094
"Abbott, Andrew","Freeland, Kyle",15.718337059020996
"Abbott, Andrew","Fried, Max",20.348663330078125
"Abbott, Andrew","Frías, Luis",0.46440279483795166
"Abbott, Andrew","Gaddis, Hunter",19.085922241210938
"Abbott, Andrew","Gallegos, Giovanny",2.978729248046875
"Abbott, Andrew","Gallen, Zac",10.328069686889648
"Abbott, Andrew","Garcia, Robert",20.378816604614258
"Abbott, Andrew","García, Deivi",0.8108615875244141
"Abbott, Andrew","García, Luis",9.830592155456543
"Abbott, Andrew","García, Yimi",12.858713150024414
"Abbott, Andrew","Garrett, Amir",1.4230448007583618
"Abbott, Andrew","Garrett, Braxton",6.0835418701171875
"Abbott, Andrew","Garrett, Reed",8.164387702941895
"Abbott, Andrew","Gasser, Robert",3.57192325592041
"Abbott, Andrew","Gausman, Kevin",20.70357322692871
"Abbott, Andrew","Gibaut, Ian",1.9724794626235962
"Abbott, Andrew","Gibson, Kyle",12.310075759887695
"Abbott, Andrew","Gil, Luis",1.944725513458252
"Abbott, Andrew","Gilbert, Logan",45.41836929321289
"Abbott, Andrew","Gilbert, Tyler",0.8763958215713501
