,winner,loser,who_won,score
0,A. j. Ellis,Erik Goeddel,batter,3
1,A. j. Ellis,Jake McGee,batter,3
2,A. j. Ellis,Jeremy Jeffress,batter,3
3,A. j. Ellis,Jim Johnson,batter,9
4,A. j. Ellis,Koda Glover,batter,6
5,A. j. Pierzynski,AJ Ramos,batter,3
6,A. j. Pierzynski,Brandon Kintzler,batter,6
7,A. j. Pierzynski,Joba Chamberlain,batter,6
8,A. j. Pierzynski,Jonathan Papelbon,batter,3
9,A. j. Pierzynski,Nate Jones,batter,3
10,A. j. Pierzynski,Ross Ohlendorf,batter,6
11,A. j. Pierzynski,Shawn Kelley,batter,2
12,A. j. Reed,Chien-Ming Wang,batter,2
13,A. j. Reed,David Robertson,batter,12
14,A. j. Reed,Roberto Osuna,batter,6
15,A. j. Reed,Sam Dyson,batter,2
16,A. j. Reed,Sam Tuivailala,batter,3
17,A.J. Achter,Brian Dozier,pitcher,6
18,A.J. Achter,Bryan Holaday,pitcher,1
19,A.J. Achter,Byung ho Park,pitcher,6
20,A.J. Achter,Carl Crawford,pitcher,1
21,A.J. Achter,Coco Crisp,pitcher,1
22,A.J. Achter,Danny Valencia,pitcher,1
23,A.J. Achter,Delino Deshields,pitcher,1
24,A.J. Achter,Dioner Navarro,pitcher,1
25,A.J. Achter,Enrique Hernandez,pitcher,1
26,A.J. Achter,Jake Smolinski,pitcher,1
27,A.J. Achter,Jed Lowrie,pitcher,1
28,A.J. Achter,Jonathan Lucroy,pitcher,1
29,A.J. Achter,Jose Bautista,pitcher,2
30,A.J. Achter,Khris Davis,pitcher,1
31,A.J. Achter,Logan Forsythe,pitcher,1
32,A.J. Achter,Mark Trumbo,pitcher,6
33,A.J. Achter,Matt Wieters,pitcher,1
34,A.J. Achter,Max Kepler,pitcher,1
35,A.J. Achter,Mike Freeman,pitcher,1
36,A.J. Achter,Paul Janish,pitcher,1
37,A.J. Achter,Robinson Cano,pitcher,2
38,A.J. Achter,Russell Martin,pitcher,1
39,A.J. Achter,Ryan Rua,pitcher,12
40,A.J. Achter,Stephen Vogt,pitcher,6
41,A.J. Achter,Troy Tulowitzki,pitcher,1
42,A.J. Achter,Yasmani Grandal,pitcher,1
43,A.J. Achter,Yonder Alonso,pitcher,3
44,A.J. Morris,Brandon Moss,pitcher,1
45,A.J. Morris,Jhonny Peralta,pitcher,1
46,A.J. Morris,Stephen Piscotty,pitcher,1
47,A.J. Schugel,Adrian Gonzalez,pitcher,1
48,A.J. Schugel,Ben Zobrist,pitcher,1
49,A.J. Schugel,Brandon Barnes,pitcher,6
50,A.J. Schugel,Carlos Gonzalez,pitcher,1
51,A.J. Schugel,Cristhian Adames,pitcher,1
52,A.J. Schugel,Dae-ho Lee,pitcher,6
53,A.J. Schugel,Domingo Santana,pitcher,6
54,A.J. Schugel,Jay Bruce,pitcher,1
55,A.J. Schugel,Jeremy Hazelbaker,pitcher,1
56,A.J. Schugel,Joc Pederson,pitcher,1
57,A.J. Schugel,Jonathan Villar,pitcher,1
58,A.J. Schugel,Michael Bourn,pitcher,1
59,A.J. Schugel,Paul Goldschmidt,pitcher,2
60,A.J. Schugel,Robinson Cano,pitcher,1
61,A.J. Schugel,Scooter Gennett,pitcher,6
62,A.J. Schugel,Scott Schebler,pitcher,2
63,A.J. Schugel,Seth Smith,pitcher,6
64,A.J. Schugel,Tommy La stella,pitcher,1
65,A.J. Schugel,Trayce Thompson,pitcher,1
66,AJ Ramos,A. j. Pierzynski,pitcher,2
67,AJ Ramos,Adalberto Mondesi,pitcher,1
68,AJ Ramos,Adam Duvall,pitcher,6
69,AJ Ramos,Adonis Garcia,pitcher,13
70,AJ Ramos,Adrian Gonzalez,pitcher,6
71,AJ Ramos,Alex Gordon,pitcher,1
72,AJ Ramos,Alex Presley,pitcher,1
73,AJ Ramos,Alexi Amarista,pitcher,6
74,AJ Ramos,Andres Blanco,pitcher,1
75,AJ Ramos,Andrew Toles,pitcher,1
76,AJ Ramos,Anthony Rendon,pitcher,1
77,AJ Ramos,Asdrubal Cabrera,pitcher,2
78,AJ Ramos,Ben Revere,pitcher,8
79,AJ Ramos,Brad Miller,pitcher,1
80,AJ Ramos,Brandon Barnes,pitcher,6
81,AJ Ramos,Brandon Drury,pitcher,1
82,AJ Ramos,Brandon Guyer,pitcher,6
83,AJ Ramos,Brandon Phillips,pitcher,1
84,AJ Ramos,Brett Wallace,pitcher,1
85,AJ Ramos,Brian Goodwin,pitcher,6
86,AJ Ramos,Bryce Harper,pitcher,3
87,AJ Ramos,Buster Posey,pitcher,6
88,AJ Ramos,Carl Crawford,pitcher,1
89,AJ Ramos,Carlos Gonzalez,pitcher,12
90,AJ Ramos,Carlos Ruiz,pitcher,12
91,AJ Ramos,Cesar Hernandez,pitcher,2
92,AJ Ramos,Charlie Blackmon,pitcher,6
93,AJ Ramos,Chase D'arnaud,pitcher,8
94,AJ Ramos,Chase Utley,pitcher,7
95,AJ Ramos,Chris Herrmann,pitcher,6
96,AJ Ramos,Colin Walsh,pitcher,6
97,AJ Ramos,Corey Dickerson,pitcher,4
98,AJ Ramos,Corey Seager,pitcher,14
99,AJ Ramos,Curtis Granderson,pitcher,7
100,AJ Ramos,Daniel Murphy,pitcher,9
101,AJ Ramos,Danny Espinosa,pitcher,6
102,AJ Ramos,Dansby Swanson,pitcher,2
103,AJ Ramos,David Dahl,pitcher,1
104,AJ Ramos,Dj Lemahieu,pitcher,1
105,AJ Ramos,Emilio Bonifacio,pitcher,1
106,AJ Ramos,Ender Inciarte,pitcher,7
107,AJ Ramos,Enrique Hernandez,pitcher,6
108,AJ Ramos,Erick Aybar,pitcher,2
109,AJ Ramos,Eugenio Suarez,pitcher,6
110,AJ Ramos,Evan Longoria,pitcher,1
111,AJ Ramos,Freddie Freeman,pitcher,14
112,AJ Ramos,Gordon Beckham,pitcher,1
113,AJ Ramos,Howie Kendrick,pitcher,6
114,AJ Ramos,Jace Peterson,pitcher,18
115,AJ Ramos,Jake Lamb,pitcher,7
116,AJ Ramos,Javier Baez,pitcher,1
117,AJ Ramos,Jay Bruce,pitcher,1
118,AJ Ramos,Jayson Werth,pitcher,2
119,AJ Ramos,Jedd Gyorko,pitcher,1
120,AJ Ramos,Jeff Francoeur,pitcher,6
121,AJ Ramos,Jeremy Hazelbaker,pitcher,1
122,AJ Ramos,Joey Votto,pitcher,6
123,AJ Ramos,John Jaso,pitcher,1
124,AJ Ramos,Jonathan Lucroy,pitcher,6
125,AJ Ramos,Jonathan Villar,pitcher,6
126,AJ Ramos,Jose Lobaton,pitcher,7
127,AJ Ramos,Jose Peraza,pitcher,6
128,AJ Ramos,Jose Reyes,pitcher,1
129,AJ Ramos,Josh Harrison,pitcher,1
130,AJ Ramos,Jung ho Kang,pitcher,6
131,AJ Ramos,Kelly Johnson,pitcher,1
132,AJ Ramos,Kirk Nieuwenhuis,pitcher,6
133,AJ Ramos,Kolten Wong,pitcher,13
134,AJ Ramos,Kris Bryant,pitcher,6
135,AJ Ramos,Matt Adams,pitcher,6
136,AJ Ramos,Matt Den dekker,pitcher,1
137,AJ Ramos,Matt Duffy,pitcher,6
138,AJ Ramos,Matt Holliday,pitcher,1
139,AJ Ramos,Matt Kemp,pitcher,6
140,AJ Ramos,Michael Conforto,pitcher,6
141,AJ Ramos,Michael Taylor,pitcher,1
142,AJ Ramos,Miguel Montero,pitcher,6
143,AJ Ramos,Neil Walker,pitcher,2
144,AJ Ramos,Nick Markakis,pitcher,7
145,AJ Ramos,Nolan Arenado,pitcher,1
146,AJ Ramos,Odubel Herrera,pitcher,1
147,AJ Ramos,Paul Goldschmidt,pitcher,6
148,AJ Ramos,Philip Gosselin,pitcher,7
149,AJ Ramos,Ramon Flores,pitcher,1
150,AJ Ramos,Randal Grichuk,pitcher,12
151,AJ Ramos,Rickie Weeks,pitcher,6
152,AJ Ramos,Roman Quinn,pitcher,1
153,AJ Ramos,Ryan Raburn,pitcher,1
154,AJ Ramos,Ryan Schimpf,pitcher,1
155,AJ Ramos,Ryan Zimmerman,pitcher,1
156,AJ Ramos,Salvador Perez,pitcher,1
157,AJ Ramos,Sean Rodriguez,pitcher,6
158,AJ Ramos,Starling Marte,pitcher,1
159,AJ Ramos,Stephen Drew,pitcher,1
160,AJ Ramos,Steven Souza,pitcher,1
161,AJ Ramos,Tommy Joseph,pitcher,6
162,AJ Ramos,Travis D'arnaud,pitcher,6
163,AJ Ramos,Trayce Thompson,pitcher,1
164,AJ Ramos,Trevor Brown,pitcher,2
165,AJ Ramos,Trevor Plouffe,pitcher,6
166,AJ Ramos,Trevor Story,pitcher,6
167,AJ Ramos,Tyler Flowers,pitcher,1
168,AJ Ramos,Welington Castillo,pitcher,2
169,AJ Ramos,Wilmer Flores,pitcher,1
170,AJ Ramos,Yasmany Tomás,pitcher,7
171,AJ Ramos,Yoenis Céspedes,pitcher,1
172,Aaron Altherr,Brandon Maurer,batter,6
173,Aaron Altherr,Jeurys Familia,batter,2
174,Aaron Altherr,Jim Johnson,batter,3
175,Aaron Hicks,Alex Colome,batter,3
176,Aaron Hicks,Craig Kimbrel,batter,2
177,Aaron Hicks,Eddie Gamboa,batter,2
178,Aaron Hicks,Jason Grilli,batter,12
179,Aaron Hicks,Randall Delgado,batter,3
180,Aaron Hicks,Tony Barnette,batter,2
181,Aaron Hicks,Tyler Wilson,batter,2
182,Aaron Hicks,Vance Worley,batter,6
183,Aaron Hill,A.J. Schugel,batter,3
184,Aaron Hill,AJ Ramos,batter,2
185,Aaron Hill,Andrew Bailey,batter,2
186,Aaron Hill,Danny Coulombe,batter,3
187,Aaron Hill,David Hernandez,batter,3
188,Aaron Hill,Edwin Diaz,batter,1
