winner,loser,score
Aaron Hicks,Jake Bauers,1.0221292972564697
Aaron Hicks,Jake Burger,6.832120418548584
Aaron Hicks,Jake Cave,9.920223236083984
Aaron Hicks,Jake Rogers,6.170804500579834
Aaron Hicks,James Mccann,1.1766561269760132
Aaron Hicks,James Outman,1.2200595140457153
Aaron Hicks,Jared Walsh,0.6404802799224854
Aaron Hicks,Jarred Kelenic,10.14193058013916
Aaron Hicks,Jarren Duran,1.5622153282165527
Aaron Hicks,Jason Heyward,0.2334682047367096
Aaron Hicks,Jason Vosler,0.10774165391921997
Aaron Hicks,Javier Báez,2.9531683921813965
Aaron Hicks,Jazz Chisholm,3.210247039794922
Aaron Hicks,Jeimer Candelario,5.4538469314575195
Aaron Hicks,Jerar Encarnacion,2.2725915908813477
Aaron Hicks,Jesús Sánchez,6.740390300750732
Aaron Hicks,Jhonkensy Noel,2.0120913982391357
Aaron Hicks,Jhonny Pereda,0.649118185043335
Aaron Hicks,Ji hwan Bae,1.3415164947509766
Aaron Hicks,Jo Adell,1.4992464780807495
Aaron Hicks,Joey Gallo,0.5919167995452881
Aaron Hicks,Joey Loperfido,7.118162155151367
Aaron Hicks,Joey Wendle,0.1666184663772583
Aaron Hicks,Johan Rojas,3.837661027908325
Aaron Hicks,Jonah Heim,3.4809014797210693
Aaron Hicks,Jonatan Clase,0.6154073476791382
Aaron Hicks,Jonathan Ornelas,0.585929811000824
Aaron Hicks,Jordan Beck,4.352612495422363
Aaron Hicks,Jordan Walker,1.4897308349609375
Aaron Hicks,Jordan Westburg,2.4126298427581787
Aaron Hicks,Jorge Mateo,2.2677690982818604
Aaron Hicks,Jorge Polanco,3.4194674491882324
Aaron Hicks,Josh Jung,2.308323860168457
Aaron Hicks,Josh Lowe,7.003077983856201
Aaron Hicks,José Abreu,1.3380942344665527
Aaron Hicks,José Azocar,0.8610596656799316
Aaron Hicks,José Caballero,3.626678466796875
Aaron Hicks,José Herrera,0.4759044647216797
Aaron Hicks,José Siri,8.924395561218262
Aaron Hicks,José Tena,2.761911153793335
Aaron Hicks,Julio Rodríguez,5.448216915130615
Aaron Hicks,Junior Caminero,0.11778604984283447
Aaron Hicks,Justin Foscue,2.102358818054199
Aaron Hicks,Justyn-henry Malloy,1.763927698135376
Aaron Hicks,Kameron Misner,0.9599674940109253
Aaron Hicks,Kerry Carpenter,1.953983187675476
Aaron Hicks,Keston Hiura,0.9129549264907837
Aaron Hicks,Kevin Kiermaier,6.19420051574707
Aaron Hicks,Kevin Newman,0.902047872543335
Aaron Hicks,Kody Clemens,2.5027871131896973
Aaron Hicks,Korey Lee,12.682012557983398
Aaron Hicks,Kyle Higashioka,3.5286104679107666
Aaron Hicks,Kyle Isbel,2.272493839263916
Aaron Hicks,Kyle Manzardo,2.724372625350952
Aaron Hicks,Kyle Mccann,1.9909459352493286
Aaron Hicks,Kyle Stowers,4.172421932220459
Aaron Hicks,Lane Thomas,0.8407725691795349
Aaron Hicks,Lawrence Butler,3.0512075424194336
Aaron Hicks,Lenyn Sosa,5.458983898162842
Aaron Hicks,Leody Taveras,0.32294753193855286
Aaron Hicks,Levi Jordan,0.01724034547805786
Aaron Hicks,Logan Driscoll,0.030419528484344482
Aaron Hicks,Logan O'hoppe,3.3560972213745117
Aaron Hicks,Lourdes Gurriel,0.7477697134017944
Aaron Hicks,Luis García,3.1719892024993896
Aaron Hicks,Luis Matos,1.528856635093689
Aaron Hicks,Luis Robert,6.252719879150391
Aaron Hicks,Luke Raley,2.0875020027160645
Aaron Hicks,Manny Machado,2.3406848907470703
Aaron Hicks,Marco Luciano,1.2225418090820312
Aaron Hicks,Mark Vientos,4.526252746582031
Aaron Hicks,Martín Maldonado,2.786534309387207
Aaron Hicks,Mason Mccoy,0.5921010375022888
Aaron Hicks,Matt Carpenter,1.0350250005722046
Aaron Hicks,Matt Mervis,0.1462128758430481
Aaron Hicks,Matt Vierling,2.2246053218841553
Aaron Hicks,Mauricio Dubón,1.006955862045288
Aaron Hicks,Max Kepler,0.23848292231559753
Aaron Hicks,Michael Busch,0.30184417963027954
Aaron Hicks,Michael Harris,5.778361797332764
Aaron Hicks,Michael Massey,2.368946075439453
Aaron Hicks,Michael Siani,4.863712310791016
Aaron Hicks,Michael Taylor,6.195283889770508
Aaron Hicks,Michael Toglia,3.346125602722168
Aaron Hicks,Mickey Moniak,6.253948211669922
Aaron Hicks,Mike Ford,0.8648585081100464
Aaron Hicks,Mike Yastrzemski,0.8527687788009644
Aaron Hicks,Miles Mastrobuoni,0.471428245306015
Aaron Hicks,Mitch Haniger,0.6935338377952576
Aaron Hicks,Mj Melendez,4.871395111083984
Aaron Hicks,Nacho Alvarez,0.018017888069152832
Aaron Hicks,Nelson Velázquez,0.025780320167541504
Aaron Hicks,Nick Ahmed,2.979398250579834
Aaron Hicks,Nick Allen,0.18925030529499054
Aaron Hicks,Nick Castellanos,2.0938892364501953
Aaron Hicks,Nick Gonzales,0.190975159406662
Aaron Hicks,Nick Gordon,6.274123668670654
Aaron Hicks,Nick Sogard,0.12457942962646484
Aaron Hicks,Niko Kavadas,0.30542057752609253
Aaron Hicks,Noelvi Marte,4.558040618896484
Aaron Hicks,Nolan Gorman,10.876949310302734
Aaron Hicks,Oliver Dunn,3.251638412475586
Aaron Hicks,Omar Narváez,0.10772226750850677
Aaron Hicks,Oneil Cruz,8.44924259185791
Aaron Hicks,Orlando Arcia,0.9587184190750122
Aaron Hicks,Oswaldo Cabrera,0.7367790937423706
Aaron Hicks,Otto Lopez,0.05302554368972778
Aaron Hicks,Owen Miller,0.8315439820289612
Aaron Hicks,Pablo Reyes,0.6775444746017456
Aaron Hicks,Parker Meadows,1.2297766208648682
Aaron Hicks,Patrick Bailey,1.751065969467163
Aaron Hicks,Patrick Wisdom,2.325369119644165
Aaron Hicks,Paul Dejong,8.211207389831543
Aaron Hicks,Paul Goldschmidt,3.52797532081604
Aaron Hicks,Pedro León,0.7905521392822266
Aaron Hicks,Pedro Pagés,2.6219828128814697
Aaron Hicks,Pete Crow-armstrong,6.0435309410095215
Aaron Hicks,Rafael Devers,1.6213562488555908
Aaron Hicks,Ramón Laureano,4.944267272949219
Aaron Hicks,Reese Mcguire,0.5964245796203613
Aaron Hicks,Romy Gonzalez,4.083550453186035
Aaron Hicks,Rowdy Tellez,1.285733699798584
Aaron Hicks,Ryan Bliss,0.4012991189956665
Aaron Hicks,Ryan Kreidler,0.36756211519241333
Aaron Hicks,Ryan Mcmahon,1.2695934772491455
Aaron Hicks,Ryan Mountcastle,4.648842811584473
Aaron Hicks,Ryan Vilade,0.43689942359924316
Aaron Hicks,Sam Hilliard,2.8909552097320557
Aaron Hicks,Seby Zavala,0.5357179045677185
Aaron Hicks,Seth Brown,5.618730545043945
Aaron Hicks,Shea Langeliers,4.296781539916992
Aaron Hicks,Stuart Fairchild,0.583019495010376
Aaron Hicks,Teoscar Hernández,4.604356288909912
Aaron Hicks,Thairo Estrada,5.7678937911987305
Aaron Hicks,Thomas Saggese,0.45040836930274963
Aaron Hicks,Tim Anderson,7.38128662109375
Aaron Hicks,Tommy Pham,0.13789522647857666
Aaron Hicks,Tomás Nido,2.554382801055908
Aaron Hicks,Travis Blankenhorn,0.6590018272399902
Aaron Hicks,Travis D'arnaud,2.7183244228363037
Aaron Hicks,Travis Jankowski,0.9326690435409546
Aaron Hicks,Trevor Story,0.9414703845977783
Aaron Hicks,Trey Cabbage,2.015552520751953
Aaron Hicks,Trey Sweeney,2.0315752029418945
Aaron Hicks,Tristan Gray,0.26666221022605896
Aaron Hicks,Triston Casas,1.944000005722046
Aaron Hicks,Tyler Fitzgerald,3.435271739959717
Aaron Hicks,Tyler Locklear,0.7751607894897461
Aaron Hicks,Tyrone Taylor,1.1146094799041748
Aaron Hicks,Victor Scott,3.35642671585083
Aaron Hicks,Wenceel Pérez,0.19158808887004852
Aaron Hicks,Will Benson,8.833372116088867
Aaron Hicks,Will Wagner,0.3903031349182129
Aaron Hicks,Wilyer Abreu,0.9908677935600281
Aaron Hicks,Yainer Diaz,3.948618173599243
Aaron Hicks,Yan Gomes,3.7530715465545654
Aaron Hicks,Zach Dezenzo,1.2578462362289429
Aaron Hicks,Zach Mckinstry,0.9432983994483948
Aaron Hicks,Zach Neto,0.3660815954208374
Aaron Hicks,Zack Gelof,7.611069202423096
Aaron Judge,Aaron Hicks,20.538990020751953
Aaron Judge,Aaron Schunk,23.341426849365234
Aaron Judge,Abraham Toro,18.927242279052734
Aaron Judge,Adael Amador,20.587684631347656
Aaron Judge,Adam Duvall,24.57758903503418
Aaron Judge,Adam Frazier,19.371721267700195
Aaron Judge,Addison Barger,23.386310577392578
Aaron Judge,Adley Rutschman,12.701915740966797
Aaron Judge,Adolis García,26.757890701293945
Aaron Judge,Adrian Del castillo,22.724224090576172
Aaron Judge,Akil Baddoo,20.341590881347656
Aaron Judge,Alan Trejo,21.781673431396484
