i,j,D,W
Aaron Hicks,Bryan De la cruz,0.01337969228766356,5932.1156466781795
Aaron Hicks,Bryan Ramos,-0.001162377674026404,5828.46214486465
Aaron Hicks,Bryan Reynolds,-0.0011517999052083553,5945.920514865535
Aaron Hicks,Bryce Harper,-0.007604448661706237,5956.9176132520715
Aaron Hicks,Bryce Johnson,-0.001360382938557221,5830.801953031999
Aaron Hicks,Bryce Teodosio,-0.0002537913418295392,5820.272816278932
Aaron Hicks,Bryson Stott,-0.00811961985308682,5886.957349048359
Aaron Hicks,Bubba Thompson,0.0009678693505830009,5822.612624446279
Aaron Hicks,Buddy Kennedy,-0.0015736227566539114,5822.612624446279
Aaron Hicks,Byron Buxton,0.0006998515024382905,5897.018524116968
Aaron Hicks,Cade Marlowe,-0.0013130445546241246,5820.272816278932
Aaron Hicks,Cal Raleigh,-0.00022182027144830908,5997.964533622567
Aaron Hicks,Cal Stevenson,-0.0017620011885673451,5822.612624446279
Aaron Hicks,Carlos Correa,-0.009521685875462848,5877.598116378964
Aaron Hicks,Carlos Narváez,-0.0012704554715532918,5824.952432613628
Aaron Hicks,Carlos Santana,-0.011249065416542348,5907.547660870036
Aaron Hicks,Carson Kelly,-0.006381637854272906,5860.049555123852
Aaron Hicks,Casey Schmitt,0.001233401312156434,5830.801953031999
Aaron Hicks,Cavan Biggio,-0.0017473731509790337,5867.770922076102
Aaron Hicks,Ceddanne Rafaela,0.012472095727323943,5901.096475545334
Aaron Hicks,Cedric Mullins,-0.0032465683816964522,5895.614639267547
Aaron Hicks,Chadwick Tromp,0.0011328887085905982,5824.952432613628
Aaron Hicks,Charles Leblanc,-0.00260250527943456,5827.2922407809765
Aaron Hicks,Charlie Blackmon,-0.006228927587968287,5893.976773550404
Aaron Hicks,Chas Mccormick,0.001394891310171041,5863.559267374874
Aaron Hicks,Chris Roller,-0.0009351785967697439,5820.272816278932
Aaron Hicks,Chris Taylor,-0.0012410434393240477,5854.200034705483
Aaron Hicks,Christian Bethancourt,0.0022623923548869456,5830.801953032
Aaron Hicks,Christian Encarnacion-strand,0.0025263929913002816,5830.801953031999
Aaron Hicks,Christian Vázquez,0.0036363736540079073,5849.5204183707865
Aaron Hicks,Christian Walker,-0.0060069336143157345,5948.49430379863
Aaron Hicks,Christian Yelich,-0.009068349474824317,5862.3893632912
