,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6541713641488163,0.6609423003661852
1,2010.0,0.6560139453805927,0.6639803398071881
2,2011.0,0.6605764282038086,0.6661380559745957
3,2012.0,0.6513086150490731,0.6607879354340989
4,2013.0,0.6584080126515551,0.6667234434514752
5,2014.0,0.6569413273485092,0.6644309029974522
6,2015.0,0.6299730780735866,0.6349256461179844
7,2016.0,0.6511042773273693,0.6572028397721729
8,2017.0,0.631202172303135,0.6356844628966147
9,2018.0,0.6407837445573294,0.646397199278969
10,2019.0,0.6417277284998072,0.6458529394243965
