,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6980132450331126,0.7019818709122408
1,2010.0,0.7077225774717166,0.7121784399539527
2,2011.0,0.7128051993676445,0.7170746148760037
3,2012.0,0.6932325661284782,0.6969308268047735
4,2013.0,0.7087763561001982,0.7134884503898695
5,2014.0,0.7132989690721651,0.7187695993031359
6,2015.0,0.7035520426626035,0.7092373150429563
7,2016.0,0.7104212860310422,0.7152916601689829
8,2017.0,0.7007765733700049,0.7046249875808247
9,2018.0,0.6963142794085191,0.6999387133060541
10,2019.0,0.6958162096611197,0.7007839610343001
