,winner,loser,who_won,score
0,A. j. Ellis,Bobby Parnell,batter,2
1,AJ Ramos,Caleb Gindl,pitcher,1
2,AJ Ramos,Jeff Bianchi,pitcher,6
3,AJ Ramos,John Buck,pitcher,1
4,AJ Ramos,Martin Maldonado,pitcher,1
5,AJ Ramos,Todd Frazier,pitcher,1
6,Aaron Crow,Alejandro De aza,pitcher,6
7,Aaron Crow,Alexei Ramírez,pitcher,1
8,Aaron Crow,Gerald Laird,pitcher,2
9,Aaron Crow,Gordon Beckham,pitcher,1
10,Aaron Crow,Justin Upton,pitcher,1
11,Aaron Hicks,Billy Buckner,batter,3
12,Aaron Hill,Dale Thayer,batter,3
13,Aaron Hill,Mark Melancon,batter,3
14,Aaron Loup,Ben Francisco,pitcher,1
15,Aaron Loup,Ben Zobrist,pitcher,1
16,Aaron Loup,Desmond Jennings,pitcher,1
17,Aaron Loup,Kelly Johnson,pitcher,1
18,Aaron Loup,Lyle Overbay,pitcher,1
19,Aaron Loup,Robinson Cano,pitcher,1
20,Aaron Loup,Yunel Escobar,pitcher,2
21,Adam Dunn,Chris Perez,batter,1
22,Adam Dunn,JC Ramirez,batter,3
23,Adam Dunn,Jeremy Bonderman,batter,3
24,Adam Eaton,Dale Thayer,batter,3
25,Adam Eaton,Jake Diekman,batter,3
26,Adam Eaton,Kevin Gregg,batter,6
27,Adam Jones,Anthony Swarzak,batter,3
28,Adam Jones,Brandon Gomes,batter,3
29,Adam Jones,Garrett Richards,batter,3
30,Adam Lind,Craig Kimbrel,batter,2
31,Adam Ottavino,Joaquin Arias,pitcher,6
32,Adam Ottavino,Marwin Gonzalez,pitcher,1
33,Adam Ottavino,Matt Dominguez,pitcher,6
34,Adam Ottavino,Nori Aoki,pitcher,6
35,Adam Ottavino,Robbie Grossman,pitcher,1
36,Adam Rosales,Matt Thornton,batter,12
37,Addison Reed,Andy Dirks,pitcher,1
38,Addison Reed,Billy Butler,pitcher,1
39,Addison Reed,Curtis Granderson,pitcher,6
40,Addison Reed,David Lough,pitcher,1
41,Addison Reed,Dustin Ackley,pitcher,1
42,Addison Reed,Eduardo Nunez,pitcher,1
43,Addison Reed,Eric Hosmer,pitcher,6
44,Addison Reed,Franklin Gutierrez,pitcher,1
45,Addison Reed,J. j. Hardy,pitcher,1
46,Addison Reed,Lyle Overbay,pitcher,6
47,Addison Reed,Mike Morse,pitcher,6
48,Addison Reed,Nate Mclouth,pitcher,6
49,Addison Reed,Omar Infante,pitcher,1
50,Adeiny Hechavarria,LaTroy Hawkins,batter,2
51,Adeiny Hechavarria,Luis Avilan,batter,3
52,Adeiny Hechavarria,Matt Thornton,batter,2
53,Adrian Beltre,Chris Resop,batter,12
