,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6364928909952606,0.6493505271084338
1,2010.0,0.6835205992509363,0.6894901869701544
2,2011.0,0.6521048451151708,0.6615421186646003
3,2012.0,0.6574712643678161,0.6648692810457517
4,2013.0,0.653375623017671,0.665604889438833
5,2014.0,0.6438356164383562,0.6550582320337378
6,2015.0,0.6428571428571429,0.6596404253825635
7,2016.0,0.6489630753667173,0.6617633779803496
8,2017.0,0.6650537634408602,0.6788839888969651
9,2018.0,0.6455641688199828,0.651909859980224
10,2019.0,0.6464088397790055,0.6576167459265612
