,winner,loser,score
0,A. j. Pierzynski,Adam Lind,12
1,Adam Lind,A. j. Pierzynski,12
2,A. j. Pierzynski,Bobby Abreu,7
3,A. j. Pierzynski,Carl Crawford,0
4,A. j. Pierzynski,Colby Rasmus,0
5,A. j. Pierzynski,Curtis Granderson,1
6,A. j. Pierzynski,Derek Jeter,0
7,A. j. Pierzynski,Felipe Lopez,7
8,A. j. Pierzynski,Gordon Beckham,4
9,A. j. Pierzynski,Hank Blalock,3
10,A. j. Pierzynski,Jim Thome,0
11,A. j. Pierzynski,Kendrys Morales,9
12,Kendrys Morales,A. j. Pierzynski,9
13,A. j. Pierzynski,Kevin Millar,0
14,A. j. Pierzynski,Miguel Cabrera,4
15,Aaron Hill,Adam Jones,1
16,Adam Jones,Aaron Hill,1
17,Aaron Hill,Adrian Beltre,0
18,Aaron Hill,Albert Pujols,0
19,Aaron Hill,Alberto Callaspo,6
20,Aaron Hill,Alex Rodriguez,4
21,Aaron Hill,Alexei Ramírez,7
22,Aaron Hill,Andruw Jones,1
23,Aaron Hill,Asdrubal Cabrera,0
24,Aaron Hill,Ben Zobrist,10
25,Aaron Hill,Bill Hall,9
26,Aaron Hill,Brendan Harris,2
27,Aaron Hill,Brian Roberts,0
28,Aaron Hill,Carl Crawford,1
29,Aaron Hill,Carlos Quentin,10
30,Aaron Hill,Casey Blake,17
31,Aaron Hill,Chipper Jones,15
32,Aaron Hill,Chone Figgins,1
33,Aaron Hill,Chris Duncan,3
34,Aaron Hill,Chris Getz,6
35,Aaron Hill,Chris Iannetta,19
36,Aaron Hill,Cliff Pennington,0
37,Aaron Hill,Coco Crisp,0
38,Aaron Hill,Cody Ross,12
39,Aaron Hill,Curtis Granderson,0
40,Aaron Hill,Derek Jeter,3
41,Aaron Hill,Dewayne Wise,9
42,Dewayne Wise,Aaron Hill,9
43,Aaron Hill,Franklin Gutierrez,1
44,Aaron Hill,Gary Sheffield,16
45,Aaron Hill,Gerald Laird,0
46,Aaron Hill,Gregg Zaun,20
47,Aaron Hill,Hunter Pence,0
48,Aaron Hill,Ian Kinsler,3
49,Aaron Hill,Ichiro Suzuki,6
50,Aaron Hill,Ivan Rodriguez,9
51,Ivan Rodriguez,Aaron Hill,9
52,Aaron Hill,J. d. Drew,2
53,Aaron Hill,Jason Bartlett,28
54,Aaron Hill,Jason Kubel,8
55,Aaron Hill,Jim Thome,4
56,Aaron Hill,Jorge Posada,0
57,Aaron Hill,Josh Willingham,9
58,Aaron Hill,Juan Rivera,0
59,Aaron Hill,Julio Borbon,6
60,Aaron Hill,Luke Scott,5
61,Aaron Hill,Lyle Overbay,10
62,Aaron Hill,Magglio Ordonez,0
63,Aaron Hill,Maicer Izturis,6
64,Aaron Hill,Marco Scutaro,27
65,Aaron Hill,Marcus Thames,0
66,Aaron Hill,Mark Ellis,7
67,Aaron Hill,Mark Teixeira,0
68,Aaron Hill,Melky Cabrera,3
69,Aaron Hill,Michael Cuddyer,0
70,Aaron Hill,Michael Young,0
