,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6454674893213099,0.6514889023726983
1,2010.0,0.6718061674008811,0.6765253866727947
2,2011.0,0.6707482993197279,0.6745639856098377
3,2012.0,0.656052446733786,0.6593029217619706
4,2013.0,0.6646400778210116,0.6697212790080641
5,2014.0,0.6614756190962471,0.665280866363661
6,2015.0,0.6557416848749696,0.6581764212474873
7,2016.0,0.6546711153479504,0.6586392980494857
8,2017.0,0.6457842675459255,0.6498452599855085
9,2018.0,0.6621349446122861,0.6669205344113688
10,2019.0,0.6550406115623507,0.659252329466184
