,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6647398843930635,0.6906162199275461
1,2010.0,0.6751700680272109,0.6896206633625619
2,2011.0,0.6973684210526315,0.719002201027146
3,2012.0,0.6482213438735178,0.6623259635063851
4,2013.0,0.6907407407407408,0.7071953781512605
5,2014.0,0.6550632911392406,0.6767691848312929
6,2015.0,0.6879432624113475,0.7114164904862578
7,2016.0,0.6827956989247311,0.6943699117073729
8,2017.0,0.6420118343195266,0.6630952380952381
9,2018.0,0.6488294314381271,0.6657108169046656
10,2019.0,0.6407879490150638,0.6628482166102577
