,winner,loser,who_won,score
0,A. j. Ellis,Ian Kennedy,batter,3
1,A. j. Ellis,Mat Latos,batter,5
2,A. j. Ellis,Matt Capps,batter,3
3,A. j. Pierzynski,Aaron Crow,batter,3
4,A. j. Pierzynski,Alexi Ogando,batter,3
5,A. j. Pierzynski,Andy Oliver,batter,12
6,A. j. Pierzynski,Blake Wood,batter,3
7,A. j. Pierzynski,CC Sabathia,batter,3
8,A. j. Pierzynski,Carlos Marmol,batter,3
9,A. j. Pierzynski,David Purcey,batter,2
10,A. j. Pierzynski,Derek Holland,batter,2
11,A. j. Pierzynski,Ervin Santana,batter,2
12,A. j. Pierzynski,Felipe Paulino,batter,5
13,A. j. Pierzynski,Guillermo Moscoso,batter,3
14,A. j. Pierzynski,Joe Paterson,batter,6
15,A. j. Pierzynski,Louis Coleman,batter,12
16,A. j. Pierzynski,Luis Perez,batter,3
17,A. j. Pierzynski,Max Scherzer,batter,3
18,A. j. Pierzynski,Michael Gonzalez,batter,6
19,Aaron Cook,Alberto Gonzalez,pitcher,2
20,Aaron Cook,Alex Gonzalez,pitcher,1
21,Aaron Cook,Alex Rios,pitcher,1
22,Aaron Cook,Alexei Ramírez,pitcher,3
23,Aaron Cook,Anthony Bass,pitcher,6
24,Aaron Cook,Austin Jackson,pitcher,3
25,Aaron Cook,Carlos Lee,pitcher,1
26,Aaron Cook,Chris Denorfia,pitcher,2
27,Aaron Cook,Clint Barmes,pitcher,1
28,Aaron Cook,Daniel Hudson,batter,3
29,Aaron Cook,Eduardo Nunez,pitcher,2
30,Aaron Cook,Freddie Freeman,pitcher,1
31,Aaron Cook,Gaby Sanchez,pitcher,2
32,Aaron Cook,Greg Dobbs,pitcher,1
33,Aaron Cook,Jair Jurrjens,pitcher,1
34,Aaron Cook,Jamey Carroll,pitcher,1
35,Aaron Cook,Jb Shuck,pitcher,1
36,Aaron Cook,John Buck,pitcher,2
37,Aaron Cook,Jose Lopez,pitcher,1
38,Aaron Cook,Josh Wilson,pitcher,1
39,Aaron Cook,Justin Upton,pitcher,1
40,Aaron Cook,Justin Verlander,pitcher,6
41,Aaron Cook,Matt Kemp,pitcher,1
42,Aaron Cook,Miguel Cabrera,pitcher,2
43,Aaron Cook,Nick Hundley,pitcher,1
44,Aaron Cook,Ramon Castro,pitcher,1
45,Aaron Cook,Rod Barajas,pitcher,1
46,Aaron Cook,Ryan Ludwick,pitcher,2
47,Aaron Cook,Ryan Roberts,pitcher,1
48,Aaron Cook,Willie Bloomquist,pitcher,1
49,Aaron Crow,A. j. Pierzynski,pitcher,1
50,Aaron Crow,Adam Everett,pitcher,1
51,Aaron Crow,Adam Lind,pitcher,6
52,Aaron Crow,Adrian Beltre,pitcher,7
53,Aaron Crow,Adrian Gonzalez,pitcher,6
54,Aaron Crow,Alex Rodriguez,pitcher,6
55,Aaron Crow,Alexei Ramírez,pitcher,7
56,Aaron Crow,Alfonso Soriano,pitcher,12
57,Aaron Crow,Austin Jackson,pitcher,7
58,Aaron Crow,Austin Kearns,pitcher,6
59,Aaron Crow,Ben Zobrist,pitcher,6
60,Aaron Crow,Bobby Wilson,pitcher,6
61,Aaron Crow,Brandon Inge,pitcher,6
62,Aaron Crow,Brent Morel,pitcher,6
63,Aaron Crow,Carlos Quentin,pitcher,6
64,Aaron Crow,Casper Wells,pitcher,6
65,Aaron Crow,Colby Rasmus,pitcher,6
66,Aaron Crow,Danny Valencia,pitcher,7
67,Aaron Crow,Daric Barton,pitcher,1
68,Aaron Crow,David Murphy,pitcher,1
69,Aaron Crow,Delmon Young,pitcher,7
70,Aaron Crow,Erick Aybar,pitcher,6
71,Aaron Crow,Evan Longoria,pitcher,1
72,Aaron Crow,Ezequiel Carrera,pitcher,1
73,Aaron Crow,Geovany Soto,pitcher,1
74,Aaron Crow,Gordon Beckham,pitcher,1
75,Aaron Crow,Howie Kendrick,pitcher,6
76,Aaron Crow,J. p. Arencibia,pitcher,6
77,Aaron Crow,Jack Hannahan,pitcher,6
78,Aaron Crow,Jason Kipnis,pitcher,1
79,Aaron Crow,Jason Varitek,pitcher,6
80,Aaron Crow,Jeff Baker,pitcher,6
81,Aaron Crow,Jorge Posada,pitcher,6
82,Aaron Crow,Josh Hamilton,pitcher,1
83,Aaron Crow,Josh Reddick,pitcher,1
84,Aaron Crow,Juan Pierre,pitcher,6
85,Aaron Crow,Lou Marson,pitcher,6
86,Aaron Crow,Luke Hughes,pitcher,6
87,Aaron Crow,Magglio Ordonez,pitcher,6
88,Aaron Crow,Mark Reynolds,pitcher,6
89,Aaron Crow,Mark Teahen,pitcher,6
90,Aaron Crow,Mark Teixeira,pitcher,1
91,Aaron Crow,Matt Laporta,pitcher,1
92,Aaron Crow,Matt Tolbert,pitcher,1
93,Aaron Crow,Matt Wieters,pitcher,1
94,Aaron Crow,Michael Brantley,pitcher,7
95,Aaron Crow,Miguel Cabrera,pitcher,2
96,Aaron Crow,Mike Aviles,pitcher,6
97,Aaron Crow,Nick Markakis,pitcher,1
98,Aaron Crow,Paul Konerko,pitcher,12
99,Aaron Crow,Rajai Davis,pitcher,1
100,Aaron Crow,Russell Martin,pitcher,1
101,Aaron Crow,Ryan Lavarnway,pitcher,6
102,Aaron Crow,Ryan Raburn,pitcher,6
103,Aaron Crow,Ryan Roberts,pitcher,6
104,Aaron Crow,Seth Smith,pitcher,1
105,Aaron Crow,Shin-soo Choo,pitcher,6
106,Aaron Crow,Torii Hunter,pitcher,6
107,Aaron Crow,Trevor Plouffe,pitcher,7
108,Aaron Crow,Troy Tulowitzki,pitcher,1
109,Aaron Crow,Ty Wigginton,pitcher,1
110,Aaron Crow,Vernon Wells,pitcher,8
111,Aaron Crow,Vladimir Guerrero,pitcher,2
112,Aaron Crow,Willie Bloomquist,pitcher,1
113,Aaron Crow,Wilson Betemit,pitcher,12
114,Aaron Cunningham,Dontrelle Willis,batter,2
115,Aaron Harang,Aaron Hill,pitcher,18
116,Aaron Harang,Albert Pujols,pitcher,1
117,Aaron Harang,Alex Gonzalez,pitcher,1
118,Aaron Harang,Alfonso Soriano,pitcher,1
119,Aaron Harang,Allen Craig,pitcher,9
120,Aaron Harang,Andre Ethier,pitcher,2
121,Aaron Harang,Andres Torres,pitcher,13
122,Aaron Harang,Andrew Mccutchen,pitcher,6
123,Aaron Harang,Aneury Rodriguez,pitcher,6
124,Aaron Harang,Angel Sanchez,pitcher,8
125,Aaron Harang,Aubrey Huff,pitcher,6
126,Aaron Harang,Ben Francisco,pitcher,2
