Player,Rank
Jurickson Profar,0.31176652321090487
Matt Duffy,0.3115197976128377
Francisco Cervelli,0.30885799548211185
Jose Pirela,0.30695408030998866
Jason Kipnis,0.3019974163949793
Joe Mauer,0.3018533199924532
Andrew Mccutchen,0.3007121978339688
Aledmys Díaz,0.30069921786721093
Chad Pinder,0.2989452056659618
Jeff Mcneil,0.29828212042617336
Nick Ahmed,0.29338862510489455
Devon Travis,0.2926058521927258
Shohei Ohtani,0.288729369778062
Luke Voit,0.2847029033347153
Charlie Culberson,0.2723191128909734
Nick Hundley,0.26457845761434945
Carlos Correa,0.2644984227198342
Maikel Franco,0.26327083776115784
Pablo Reyes,0.2618351550056793
Dee Strange-gordon,0.26066747645763116
Austin Hedges,0.2584570893932652
Mallex Smith,0.2539706885602972
Mike Zunino,0.24453741244259392
Nick Williams,0.23826721037480098
Jesse Winker,0.23729074228959662
Adam Eaton,0.23710631426731238
Luis Valbuena,0.231978372335907
Ji-man Choi,0.22753694479652192
Eduardo Escobar,0.22723282720806542
Joe Panik,0.22625883934232272
Carlos Sanchez,0.2194046902221945
Brandon Nimmo,0.21865335427460414
Matt Davidson,0.21484763859335104
Yangervis Solarte,0.21066362295175894
Martin Prado,0.2098532444142997
Yoenis Céspedes,0.2091072665067969
Christian Walker,0.20876582365162905
Yairo Munoz,0.20534335130945452
Tim Beckham,0.20217371549327723
Pablo Sandoval,0.19757742887297547
Alex Wood,0.19629732518180554
Tucker Barnhart,0.1917041133085427
José Iglesias,0.1875052287775935
Lucas Duda,0.18640290492761574
Mitch Garver,0.18481878951666636
Ehire Adrianza,0.17912825665012028
Ian Kinsler,0.1770754714969045
Adolis García,0.15072392773237975
Adalberto Mondesi,0.1490731226663382
Francisco Mejia,0.1431318904461577
Elias Diaz,0.13635972673699243
Brian Dozier,0.13497649237135573
Hernan Perez,0.13221962106408153
Ryan Zimmerman,0.13015900607958275
Josh Harrison,0.12481147000466614
Brandon Belt,0.12064711000520861
Dj Stewart,0.11733091248957994
Brett Gardner,0.11656853486697766
Jim Adduci,0.11576541090740067
Justin Turner,0.10843348126856311
Ryan Flaherty,0.10502813063986155
Brian Anderson,0.10271561460282486
Omar Narvaez,0.1024334314153248
Miguel Cabrera,0.0998332918194107
Yasmani Grandal,0.09805149705945054
J. r. Murphy,0.09340886848706487
Mitch Moreland,0.09266398914788526
Mark Zagunis,0.08763225307628125
Jorge Alfaro,0.08736008755429264
Brad Miller,0.08656029730701953
Travis D'arnaud,0.08486683258094674
Kristopher Negron,0.08383617383676611
Ty Kelly,0.07323264720665679
Caleb Smith,0.07303674631188639
Jacoby Jones,0.06746990690081944
Mark Trumbo,0.06409248489842279
Nick Delmonico,0.062045773480765176
Ronald Guzman,0.061887177056215326
Manuel Margot,0.056342452024084666
Harold Castro,0.05549280722107136
Robbie Grossman,0.05414152358118296
Billy Hamilton,0.053492439746414155
Albert Almora,0.05079874171725152
Daniel Castro,0.049427877687591104
Jorge Polanco,0.04402436052104636
Jorge Soler,0.04377767669827409
Avisail Garcia,0.040563979230953895
Robinson Cano,0.03227083211407922
Scott Schebler,0.031903224147133036
Dominic Smith,0.030916083301062325
Austin Dean,0.030812230626217185
Patrick Corbin,0.027620310261054104
Jackie Bradley,0.02151779899307754
Martin Maldonado,0.021491976244216338
Rougned Odor,0.016814230442996014
Ronny Rodriguez,0.013445204516001452
Cole Hamels,0.006496135252011426
Willians Astudillo,0.00513780603532249
Johnny Field,0.0036693414153661785
Orlando Arcia,0.0009815861956095628
Ian Happ,-0.0018854825792176122
Travis Jankowski,-0.002058246978766276
Melky Cabrera,-0.004909599507456952
Daniel Descalso,-0.007149614130088633
Dustin Fowler,-0.0083207474996706
Patrick Wisdom,-0.011642790146397741
Howie Kendrick,-0.013319281723152998
Corey Seager,-0.016290727158317697
Preston Tucker,-0.02146731067553964
Brandon Barnes,-0.024034285773764097
Ramon Laureano,-0.028746008662630274
Braxton Lee,-0.028767948985750247
Adam Moore,-0.02969989240422302
Jon Gray,-0.032683170694320224
James Mccann,-0.03278672055968876
Juan Lagares,-0.03320474063223375
Leury Garcia,-0.037972934513613166
John Hicks,-0.03905633952241372
Steven Souza,-0.0419211981112651
Yan Gomes,-0.045353676203505555
Alen Hanson,-0.04800019052265314
Tyler O'neill,-0.050553292459801086
Scott Kingery,-0.052495218228148566
Cory Spangenberg,-0.05587787056109303
Peter O'brien,-0.05653966611161579
Matt Holliday,-0.05936663175017762
Elvis Andrus,-0.06003696538784914
Jonathan Villar,-0.06345645309212947
Rafael Devers,-0.06351600494505955
Hunter Dozier,-0.06475261004482857
Renato Nunez,-0.0689895205131176
Jordy Mercer,-0.07714032786178032
Rich Hill,-0.08145463545366505
Wilmer Flores,-0.08759893171713726
Brandon Phillips,-0.08830971749361202
Kole Calhoun,-0.08969350120031458
Jt Riddle,-0.09259500859327807
Jake Bauers,-0.09542520921489603
Ryan Lavarnway,-0.10087725763649752
Chad Bettis,-0.10101853978128741
Brandon Lowe,-0.10276794965748323
Chris Davis,-0.10531665990205988
Rafael Ortega,-0.10616333944978545
Alcides Escobar,-0.1102666802637243
Manny Pina,-0.11107498029316548
Pedro Florimon,-0.11164795441405065
Jake Arrieta,-0.11196833774672227
Luis Perdomo,-0.11327329331351588
Wilmer Difo,-0.11410620302627411
Billy Mckinney,-0.11414322478089786
Jonathan Lucroy,-0.11540932287852912
Todd Frazier,-0.11819976772849641
Chris Shaw,-0.12028039743528879
Gabriel Guerrero,-0.12464627752412308
Franchy Cordero,-0.12676736033125974
Zach Eflin,-0.1285003751955863
Luis Castillo,-0.1288269897922536
Willy Adames,-0.12946506479945608
Welington Castillo,-0.13054434072443413
Carlos Asuaje,-0.13243703010965133
Chase D'arnaud,-0.1324548232938795
Anthony Alford,-0.13282446488006172
Raimel Tapia,-0.13649327912353115
Dalton Pompey,-0.13820343292468595
A. j. Ellis,-0.1393687354428288
Peter Bourjos,-0.139586575939503
Victor Reyes,-0.14029451128420073
Christian Arroyo,-0.14567663646188306
Taylor Davis,-0.14661696506688116
Mason Williams,-0.1489511410584339
Domingo Santana,-0.1509886207723969
Paul Dejong,-0.15317298757484615
Kurt Suzuki,-0.15791931919790642
Juan Centeno,-0.16401701291060544
Junior Guerra,-0.1643259719736806
Lourdes Gurriel,-0.16742104111184666
Matt Wieters,-0.16792800078561992
Tony Kemp,-0.1714012920085518
Daniel Robertson,-0.1725644089686173
Noel Cuevas,-0.17325524663042186
Tyler Flowers,-0.17561043457489406
Devin Mesoraco,-0.18016746991248578
Adrian Gonzalez,-0.18194716456272286
Brandon Guyer,-0.18603747153189604
Chase Utley,-0.18615803022812932
Ben Gamel,-0.18689217379368198
Jose Urena,-0.18844811080595192
Hunter Pence,-0.18868326648256922
Lewis Brinson,-0.18886926505091853
Kris Bryant,-0.18950663687612623
Hyun jin Ryu,-0.1910305633320079
Antonio Senzatela,-0.19213829508367986
Phillip Evans,-0.19415066346770787
Mark Canha,-0.1955657900529062
Christin Stewart,-0.19815368100914976
Tzu-wei Lin,-0.19879236690583715
Philip Gosselin,-0.19926061421702954
Gerardo Parra,-0.20110323253261564
Blake Trahan,-0.2018280122588466
Tyler Saladino,-0.20194988391446006
Chris Iannetta,-0.20211992324056594
Andrew Stevenson,-0.20235319803270066
David Fletcher,-0.20239498044670237
Jon Jay,-0.20313474125230535
Neil Walker,-0.20322875872845667
Harrison Bader,-0.2048011671769867
Chris Owings,-0.20574287544931766
Dansby Swanson,-0.2077209000482232
Jake Marisnick,-0.21074406351382752
Javy Guerra,-0.21343390147545363
Phil Ervin,-0.21353569797194308
Cam Gallagher,-0.2138530040888148
David Bote,-0.21468360615050808
Mark Reynolds,-0.21586997028122418
Pedro Alvarez,-0.2166929958561493
Myles Straw,-0.21672390829173474
Michael Taylor,-0.2170023125064568
Ryan Mcmahon,-0.2217345316582128
Nate Orf,-0.2249003488439057
Julio Teheran,-0.23085570021783525
Logan Morrison,-0.23127186733818675
Jason Vargas,-0.23139371286404475
Francisco Pena,-0.23142555353572097
Keon Broxton,-0.23234761766571568
Erik Kratz,-0.23282690478776036
Erik Gonzalez,-0.23292692784507435
Tyler Anderson,-0.23464506941695676
Michael Wacha,-0.23558780470808102
Adam Duvall,-0.2360485949892292
Willson Contreras,-0.23871813095421765
Tyler White,-0.2402830908642965
Trevor Richards,-0.24171949111757476
Austin Romine,-0.24256564652430074
J. p. Crawford,-0.24333059427053333
Cedric Mullins,-0.2442979473851057
Luis Sardinas,-0.24580603558200345
Kevin Kiermaier,-0.24586011933835414
Eric Haase,-0.2502407874766978
Juan Graterol,-0.25038225277461507
José Fernández,-0.25075509636847
Kolten Wong,-0.25118239345231475
Jacob Stallings,-0.2543695779093607
Gregor Blanco,-0.2544660866399943
Lane Adams,-0.25470435781576
Chad Wallach,-0.2562483131919607
Reese Mcguire,-0.2568091492458425
Ramon Torres,-0.2586816828569839
Jose Osuna,-0.25876608479464347
Jon Lester,-0.259545832183708
Ross Stripling,-0.2601674389986003
Jose Briceno,-0.2630402709415821
