Player,ScaledRank
Eric Yang,-23.536796513636236
Daniel Cope,-8505.198420028277
Spencer Henson,-18264.398775445068
Trevor Werner,-19213.719038284085
Jesus Chirinos,-20704.92059503811
Mateo Gil,-23543.450800351642
Hao-Yu  Lee,-23971.44757518564
Hogan Windish,-25577.273720702615
Sam Huff,-27461.65926861968
Rowdey Jordan,-31582.669708434554
Colby Shade,-32476.644178396462
Andy Thomas,-35210.47786564795
Yohel Pozo,-40597.37135250642
Brandon McIlwain,-43354.39510861037
Seth Beer,-56020.09497874811
Jack Rogers,-61969.379163956
Quincy McAfee,-62033.50223450019
Héctor Rodríguez,-62114.76178511432
Felnin Celesten,-64532.14070447243
Esmerlyn Valdez,-67791.82037892392
Patrick Winkel,-67870.17936753179
Cristhian Rodriguez,-79088.16085664509
Luis Baez,-81064.93008531105
Kale Emshoff,-88779.31853170673
Dereck Salom,-88924.73593197856
Brady Lindsly,-92094.75107066307
Elis Barreat,-93115.33866675713
Ricardo Gonzalez,-93256.1398513962
Chris Rotondo,-102168.2252633297
Dillon Head,-103394.86894310765
Zach Cole,-113541.5742637075
Levi Jordan,-119177.13836111297
Jake Holton,-122447.07575181827
Cristian Santana,-122592.5183445812
Mike Jarvis,-131298.2688896646
Alex Isola,-133562.5282681458
Lyle Lin,-150755.1021391246
Alex Binelas,-154672.1849777713
Grant Koch,-162025.73051888426
Nate Furman,-163795.79381642764
Jake Fox,-163972.81410786445
Jacob Wetzel,-179018.6524907671
Zach Britton,-213793.3256655437
Duke Ellis,-220866.05538149906
Nick Maton,-222322.20380728933
Willie Joe Garry Jr.,-248990.8287570413
Lamar Sparks,-250742.97541161458
Joe Vetrano,-258740.89949416777
Chris Meyers,-263689.1827229559
Noah Myers,-270306.62253281346
Cooper Hummel,-291220.0188366303
Kahlil Watson,-297474.2435094829
Zach Zubia,-314006.10063114227
Andrew Navigato,-320311.18686014466
Greg Jones,-337654.3184049878
Jace Avina,-343136.10608570644
Eliezer Alfonzo,-347952.29977549636
Kevin Sim,-365035.8239845963
Stone Garrett,-367553.60727857106
Ray-Patrick Didder,-375415.0791748994
Oswald Peraza,-377500.60063248896
Mickey Gasper,-384451.67341196747
Dashawn Keirsey,-386001.7332244902
Alex McGarry,-389293.01212162984
José Devers,-391688.47609101684
Alexis Hernandez,-400267.30364674353
J. p. Martínez,-404957.3026147015
Orelvis Martinez,-406375.390938784
Conner Capel,-410609.0515448475
Dustin Harris,-410918.6685836745
Kevin Alcántara,-413210.89349088445
Austin Callahan,-418042.7632934281
Marcos Castañon,-418042.7632934281
Edwin Ríos,-418779.21265002183
Kameron Misner,-419770.9399474553
Bryce Teodosio,-421213.0310095261
Tyler Gentry,-425868.568965664
Allan Castro,-429016.114701838
Aramis Garcia,-429991.3696398962
Rob Brantly,-433626.85318522825
Hudson Head,-437921.55586132477
Sebastian Walcott,-440432.5568239305
Austin Allen,-441179.91827521793
Carlos Colmenarez,-442871.03997632227
Termarr Johnson,-444357.8305082859
Andrew Knapp,-444734.2734024051
Brian Anderson,-447633.01872508257
Diego Castillo,-448697.54280178156
Jesus Rodriguez,-451171.4247798343
Liover Peguero,-452286.00108668336
Chris Roller,-456791.43745629623
Liam Spence,-456824.52656764915
Devonte Brown,-458630.7627919721
Jair Camargo,-458927.25895530684
Vinny Capra,-459213.5815017431
Hunter Feduccia,-459738.9539309575
Cj Alexander,-461126.48620283435
Taylor Trammell,-462940.28121071355
Jordan McCants,-463096.33828762005
Tony Kemp,-463295.16322387994
Anthony Alford,-465412.08896676113
Jakson Reetz,-469087.59908579447
Jorge Barrosa,-469100.616253303
Scott McKeon,-470244.13289344474
Jason Delay,-471134.01711355074
Samad Taylor,-471477.6415619478
Andre Lipcius,-472377.9453406271
Sam Haggerty,-475326.52910254244
Alex Freeland,-476493.1588331042
Michael Helman,-477498.0585178377
Tyler Heineman,-477595.7953944686
Garret Forrester,-478024.07416727056
Zavier Warren,-478252.7036325912
David Fletcher,-480184.8610706116
Brandon Lockridge,-480235.2369839249
Brewer Hicklen,-480565.19674012257
Brennan Orf,-481044.0289700388
Pedro León,-481139.80908281635
Chase Strumpf,-482772.1569313691
Cade Marlowe,-483746.069511987
Eddy Alvarez,-483989.11018617125
Brett Sullivan,-484742.4552065214
J. c. Escarra,-485042.312789243
David Bañuelos,-485133.7153684935
Scott Kingery,-485725.23176616966
Trevor Boone,-488262.982155318
Austin Wynns,-490687.99347863725
Ronaldo Hernández,-491663.0957276751
Rylan Bannon,-491805.7806472453
Nacho Alvarez,-492074.65915929497
Nathan Martorella,-492189.8937994261
Eddy Rodriguez,-492596.5553530244
Carson Taylor,-492638.7154601054
Jace Peterson,-492789.9736590226
Bubba Thompson,-494459.3823389711
Grae Kessinger,-494877.987582995
Aledmys Díaz,-497106.1437219422
Carlos Narváez,-497613.5884393163
Isaac Collins,-497708.09664594865
TT Bowens,-497768.0107908203
Matt Duffy,-497991.91041535884
Logan Driscoll,-498504.495234724
Silas Ardoin,-498504.98385056766
Ryan Mckenna,-498533.654608805
Drew Lugbauer,-498536.44382661866
