Player,Rank
Jorge Soler,1.1261605239597754
Yoan Moncada,1.0939731406099993
Jose Altuve,1.090961856441048
Christian Yelich,1.0870692359226466
Francisco Lindor,1.0619683094706867
Dj Lemahieu,1.055233999720617
Jhoulys Chacin,1.048717977164983
George Springer,1.0421399227952712
Danny Santana,1.030011765929241
Alex Bregman,1.0170904547738167
Ronald Acuna,1.016451292299463
Carlos Santana,1.0046790315424756
Nelson Cruz,0.9929775434638779
Juan Soto,0.9928714734484918
Paul Goldschmidt,0.9922770075505021
José Abreu,0.9871644604420808
Anthony Rendon,0.980870440535602
Josh Bell,0.9803248565788936
Freddie Freeman,0.9786167861141859
Nolan Arenado,0.9724635211296735
J. d. Martinez,0.969450453240332
Mike Trout,0.9685958923727143
Gleyber Torres,0.9641355025676799
Rafael Devers,0.959618119605504
Kole Calhoun,0.9572266106606945
Eugenio Suarez,0.9405974930913235
Ozzie Albies,0.9191916597642376
Charlie Blackmon,0.9145105300897882
Austin Meadows,0.9098735911478295
Ketel Marte,0.908730428113278
Mookie Betts,0.9012490886576318
Max Kepler,0.9004981459039829
Yuli Gurriel,0.8959920003539646
Pete Alonso,0.8949579573338151
Kyle Schwarber,0.8945042024375691
Jay Bruce,0.8940430822096117
Joc Pederson,0.8935223929542533
Starlin Castro,0.8906581598572528
Jorge Polanco,0.889476277415775
Cody Bellinger,0.882932608051176
Whit Merrifield,0.879581474254967
Marcell Ozuna,0.8761984617280546
Eloy Jimenez,0.8619931497307509
Nick Castellanos,0.8593021469738789
Trevor Story,0.8584835508378621
Matt Chapman,0.8565480017287403
Trey Mancini,0.8503121834166176
Tommy Pham,0.8401992898809053
Marcus Semien,0.8341387919089296
Josh Donaldson,0.8340313458315312
Michael Brantley,0.8291680611144874
Mitch Garver,0.8201948244157985
Jeff Mcneil,0.8128214689358153
Miguel Sano,0.8056841793686645
Bryce Harper,0.7999198415413692
Renato Nunez,0.7972350544008027
Xander Bogaerts,0.7960969046735
Eduardo Escobar,0.771418486992085
Fernando Tatis,0.7676178377090175
Tyler Naquin,0.7641197181924271
Kevin Newman,0.7619209460864818
Javier Baez,0.7586317748831748
Starling Marte,0.7576431705845263
Carlos Correa,0.7555651180294995
Matt Olson,0.7554056667439748
Shin-soo Choo,0.7537851269353114
J. d. Davis,0.7536616276198185
Albert Pujols,0.7453890289099265
Brendan Mckay,0.7421864186831704
Justin Turner,0.7320761656825792
Hunter Dozier,0.7238406278973797
Mike Moustakas,0.7181457256163821
