Player,ScaledRank
Francisco Cervelli,1.1984032790608314
Jose Pirela,1.191015877022673
Jason Kipnis,1.171783471270387
Joe Mauer,1.1712243612463171
Andrew Mccutchen,1.1667966807052903
Aledmys Díaz,1.1667463169946135
Chad Pinder,1.1599405551097428
Jeff Mcneil,1.157367710834111
Nick Ahmed,1.1383804062317633
Devon Travis,1.1353431605122903
Shohei Ohtani,1.1203019787882973
Luke Voit,1.1046788423977272
Charlie Culberson,1.0566283619437022
Nick Hundley,1.0265937609255043
Carlos Correa,1.0262832166578169
Maikel Franco,1.0215200508621343
Pablo Reyes,1.0159494425339577
Dee Strange-gordon,1.0114187202559557
Austin Hedges,1.0028421732839565
Mallex Smith,0.9854344404486203
Mike Zunino,0.9488322828321547
Nick Williams,0.9245032033576612
Jesse Winker,0.9207143988833574
Adam Eaton,0.9199987977012959
Luis Valbuena,0.9001018142483107
Ji-man Choi,0.8828685827802316
Eduardo Escobar,0.8816885728062064
Joe Panik,0.877909391858504
Carlos Sanchez,0.8513145330532079
Brandon Nimmo,0.8483992662430899
Matt Davidson,0.833632667293732
Yangervis Solarte,0.8173982225396017
Martin Prado,0.814253863932159
Yoenis Céspedes,0.8113593869118609
Christian Walker,0.8100345507631114
Yairo Munoz,0.7967549784763239
Tim Beckham,0.7844564399534463
Pablo Sandoval,0.7666223380754132
Alex Wood,0.7616553937726074
Tucker Barnhart,0.743833222254117
José Iglesias,0.7275410845601172
Lucas Duda,0.723263945759361
Mitch Garver,0.7171174022647392
Ehire Adrianza,0.6950375035843528
Ian Kinsler,0.6870724695078312
Adolis García,0.5848255569536426
Adalberto Mondesi,0.5784202502004652
Francisco Mejia,0.5553676102219786
Elias Diaz,0.5290908639045258
Brian Dozier,0.5237237611461817
Hernan Perez,0.5130267946990965
Ryan Zimmerman,0.5050313800087611
Josh Harrison,0.48428234692294836
Brandon Belt,0.46812416824038067
Dj Stewart,0.4552569540679279
Brett Gardner,0.45229884433409034
Jim Adduci,0.44918263429346306
Justin Turner,0.4207339340831584
Ryan Flaherty,0.4075207959436791
Brian Anderson,0.39854797723021296
Omar Narvaez,0.3974530751647248
Miguel Cabrera,0.3873642451414145
Yasmani Grandal,0.3804506838472782
J. r. Murphy,0.3624367700552011
Mitch Moreland,0.35954655560184334
Mark Zagunis,0.3400228615554376
Jorge Alfaro,0.3389668291432304
Brad Miller,0.3358635542760966
Travis D'arnaud,0.32929272331045617
Kristopher Negron,0.3252936530688366
Ty Kelly,0.2841507936673942
Caleb Smith,0.2833906764675874
Jacoby Jones,0.2617907221137618
Mark Trumbo,0.24868595014201347
Nick Delmonico,0.24074448283311817
Ronald Guzman,0.24012911111534482
Manuel Margot,0.21861496300458008
Harold Castro,0.2153182469316199
Robbie Grossman,0.21007511653295324
Billy Hamilton,0.20755659926174547
Albert Almora,0.19710475214051668
Daniel Castro,0.19178564765780065
Jorge Polanco,0.1708194017273994
Jorge Soler,0.16986224113442175
Avisail Garcia,0.15739273851806784
Robinson Cano,0.12521440788076982
Scott Schebler,0.12378804819625033
Dominic Smith,0.11995783222602935
Austin Dean,0.11955487232894338
Patrick Corbin,0.10716986728433857
Jackie Bradley,0.08349144671234354
Martin Maldonado,0.08339125158266485
Rougned Odor,0.06524107904772672
Ronny Rodriguez,0.0521688847797785
Cole Hamels,0.02520572528835193
Willians Astudillo,0.019935257270248023
Johnny Field,0.014237451671939063
Orlando Arcia,0.0038086633103447593
Ian Happ,-0.007315881533257338
Travis Jankowski,-0.007986226565448954
Melky Cabrera,-0.01904979063089406
Daniel Descalso,-0.027741295815066937
Dustin Fowler,-0.03228542318380742
Patrick Wisdom,-0.0451753171132275
Howie Kendrick,-0.051680290376960696
Corey Seager,-0.0632098282394764
Preston Tucker,-0.0832955464404492
Brandon Barnes,-0.09325569453432575
Ramon Laureano,-0.11153770193785509
Braxton Lee,-0.11162283282504352
Adam Moore,-0.11523887665403229
Jon Gray,-0.1268143273061121
James Mccann,-0.12721611226884313
Juan Lagares,-0.12883807651448034
Leury Garcia,-0.14733919763236908
John Hicks,-0.15154292923099857
Steven Souza,-0.16265889830787464
Yan Gomes,-0.1759772940146928
Alen Hanson,-0.18624606310774225
Tyler O'neill,-0.19615238179791797
Scott Kingery,-0.20368726916532345
Cory Spangenberg,-0.21681233539971273
Peter O'brien,-0.21938017553794956
Matt Holliday,-0.23034911576485398
Elvis Andrus,-0.23295008462821906
Jonathan Villar,-0.24621807618893965
Rafael Devers,-0.2464491439834261
Hunter Dozier,-0.25124730892700575
Renato Nunez,-0.2676869914754823
Jordy Mercer,-0.2993130280246843
Rich Hill,-0.3160530199971153
Wilmer Flores,-0.3398935709861629
Brandon Phillips,-0.3426514986347819
Kole Calhoun,-0.3480207328973909
Jt Riddle,-0.35927890339907725
Jake Bauers,-0.37026039571904346
Ryan Lavarnway,-0.3914149483018471
Chad Bettis,-0.3919631386937606
Brandon Lowe,-0.39875104304696324
Chris Davis,-0.40864032148286333
Rafael Ortega,-0.41192553203641963
Alcides Escobar,-0.42784694951130986
Manny Pina,-0.4309832432771074
Pedro Florimon,-0.4332064464168349
Jake Arrieta,-0.4344495692825091
Luis Perdomo,-0.4395129416191489
Wilmer Difo,-0.4427447236857682
Billy Mckinney,-0.44288837219992905
Jonathan Lucroy,-0.44780097324639234
Todd Frazier,-0.4586282087628933
Chris Shaw,-0.4667012827956352
Gabriel Guerrero,-0.4836413817763282
Franchy Cordero,-0.49187141832521
Zach Eflin,-0.49859570821392807
Luis Castillo,-0.49986300907503817
Willy Adames,-0.5023388108742586
Welington Castillo,-0.5065265211696847
Carlos Asuaje,-0.513870365909554
Chase D'arnaud,-0.5139394054378678
Anthony Alford,-0.5153736557905794
Raimel Tapia,-0.5296090619770885
Dalton Pompey,-0.5362446484050944
A. j. Ellis,-0.5407661514235297
Peter Bourjos,-0.5416113967121262
Victor Reyes,-0.5443582643692982
Christian Arroyo,-0.5652415070102482
Taylor Davis,-0.5688900862929875
Mason Williams,-0.5779469480323621
Domingo Santana,-0.5858525953069996
Paul Dejong,-0.5943281807767579
Kurt Suzuki,-0.6127444739075438
Juan Centeno,-0.636404201830729
Junior Guerra,-0.6376029972632606
Lourdes Gurriel,-0.6496122088049868
Matt Wieters,-0.6515792685680121
Tony Kemp,-0.6650560237486492
Daniel Robertson,-0.669569046559336
Noel Cuevas,-0.6722495733105149
Tyler Flowers,-0.6813879637577309
Devin Mesoraco,-0.6990697663053431
Adrian Gonzalez,-0.705975178940823
Brandon Guyer,-0.72184602365239
Chase Utley,-0.7223138047653891
Ben Gamel,-0.7251623632263297
Jose Urena,-0.7311995714087042
Hunter Pence,-0.732112001515971
Lewis Brinson,-0.7328336965909601
Kris Bryant,-0.7353067699660482
Hyun jin Ryu,-0.7412197736392263
Antonio Senzatela,-0.7455178956983664
Phillip Evans,-0.7533261082276651
Mark Canha,-0.7588169563351931
Christin Stewart,-0.7688582602780395
Tzu-wei Lin,-0.7713364323962173
Philip Gosselin,-0.7731532838986964
Gerardo Parra,-0.7803028473348285
Blake Trahan,-0.7831150730606227
Tyler Saladino,-0.7835879486016419
Chris Iannetta,-0.7842477200466275
Andrew Stevenson,-0.785152852113486
David Fletcher,-0.7853149725140557
Jon Jay,-0.7881853264894205
Neil Walker,-0.788550124724716
Harrison Bader,-0.794651243906688
Chris Owings,-0.7983051764517028
Dansby Swanson,-0.8059801312855293
Jake Marisnick,-0.81771034084239
Javy Guerra,-0.8281472104734426
