Player,ScaledRank
"Allard, Kolby",-9091404.098367566
"Espino, Paolo",-9091423.239688324
"Bachar, Lake",-9091423.685304964
"Robertson, Nick",-9091460.16639932
"Halvorsen, Seth",-9091468.709600115
"Junk, Janson",-9091495.83729659
"Pfaadt, Brandon",-9091570.56206013
"Altavilla, Dan",-9091581.909341706
"Miley, Wade",-9091589.666070608
"Raley, Brooks",-9091608.098785607
"Maldonado, Anthony",-9091610.394389534
"Cobb, Alex",-9091639.414892588
"Díaz, Jhonathan",-9091647.92009957
"Herget, Kevin",-9091662.575187532
"Herget, Jimmy",-9091673.95289998
"Matzek, Tyler",-9091678.577169335
"Leiter Jr., Mark",-9091689.981579775
"Bermúdez, Jonathan",-9091722.499378428
"Guenther, Sean",-9091756.274547258
"Nelson, Nick",-9091764.227522684
"Wingenter, Trey",-9091773.467416244
"Hartlieb, Geoff",-9091785.81339393
"Mahle, Tyler",-9091799.604358116
"Anderson, Shaun",-9091818.656740172
"Shugart, Chase",-9091830.533524545
"Foster, Matt",-9091841.191335885
"Hartwig, Grant",-9091893.830913732
"Curry, Xzavion",-9091932.029382661
"Gray, Josiah",-9091941.675437303
"Beck, Tristan",-9092010.740615943
"Rodriguez, Carlos",-9092019.943127537
"Senzatela, Antonio",-9092037.067044979
"Brogdon, Connor",-9092041.034045696
"Penrod, Zach",-9092072.368669618
"Ashby, Aaron",-9092077.432158712
"Carasiti, Matt",-9092090.264041362
"Hill, Rich",-9092101.20054871
"Mushinski, Parker",-9092120.89894102
"Wacha, Michael",-9092122.39274639
"Bloss, Jake",-9092136.215054946
"Selby, Colin",-9092162.614911748
"Mederos, Victor",-9092165.397937492
"Whitley, Forrest",-9092176.90047454
"Barnes, Matt",-9092178.263610065
"Hernández, Elieser",-9092183.024212856
"Adon, Joan",-9092184.538473336
"Bibee, Tanner",-9092206.557622263
"Walters, Andrew",-9092212.463467114
"Bieber, Shane",-9092220.48642441
"McGreevy, Michael",-9092233.082759414
"Warren, Austin",-9092233.433839308
"Klein, Will",-9092243.04483422
"Miller, Bryce",-9092270.716910217
"O'Loughlin, Jack",-9092271.226445211
"Miller, Ryan",-9092286.1241438
"Means, John",-9092290.908536494
"Sborz, Josh",-9092304.790060138
"Wells, Tyler",-9092307.838804433
"Pagán, Emilio",-9092317.869556671
"Jacob, Alek",-9092358.60873564
"Romano, Jordan",-9092366.50087137
"Strzelecki, Peter",-9092373.086472027
"Winn, Cole",-9092411.872561397
"Anderson, Grant",-9092450.430733996
"Gillispie, Connor",-9092463.877355335
"Martin, Chris",-9092477.038649302
"Green, Chad",-9092501.54528139
"Jay, Tyler",-9092547.571733784
"Brasier, Ryan",-9092568.217339158
"Uceta, Edwin",-9092605.929138068
"Hill, Jaden",-9092605.958986577
"Hernández, Daysbel",-9092607.38844059
"Plesac, Zach",-9092611.108521728
"Jax, Griffin",-9092628.714819537
"Kilian, Caleb",-9092647.602171244
"Ramirez, Nick",-9092654.909314526
"Hurter, Brant",-9092657.858914431
"McMillon, John",-9092688.593178475
"Bolton, Cody",-9092718.847323105
"Banda, Anthony",-9092728.88267323
"Veneziano, Anthony",-9092735.640863763
"Jackson, Jay",-9092749.661165554
"Silseth, Chase",-9092778.38493006
"Strider, Spencer",-9092778.741733832
"Borucki, Ryan",-9092786.24056674
"Estévez, Carlos",-9092788.179103287
"Castellanos, Humberto",-9092788.267968446
"Jefferies, Daulton",-9092791.532152206
"Teng, Kai-Wei",-9092811.719146902
"Emanuel, Kent",-9092834.49816625
"Sabrowski, Erik",-9092847.274438063
"Dana, Caden",-9092864.893606458
"de Geus, Brett",-9092878.455306979
"Garrett, Amir",-9092900.182576712
"Feyereisen, J.P.",-9092913.5023173
"Snead, Kirby",-9092922.382238412
"Castillo, Diego",-9092936.132610945
"Rasmussen, Drew",-9092940.245046884
"Lucas, Easton",-9092940.346764939
"Vines, Darius",-9092944.262429724
"Davis, Austin",-9092962.801100502
"Leahy, Kyle",-9092982.761530677
"Ramírez, Erasmo",-9092986.019905772
"Bivens, Spencer",-9092986.123021059
"Bigge, Hunter",-9092991.286804749
"Basso, Brady",-9093022.817120818
"Gonzales, Marco",-9093028.452431193
"Lucchesi, Joey",-9093034.08167713
"Iriarte, Jairo",-9093048.6282412
"Stewart, Brock",-9093066.100381007
"Pint, Riley",-9093074.35135429
"Newcomb, Sean",-9093076.110950923
"Duffey, Tyler",-9093085.067650262
"Coulombe, Danny",-9093105.414212782
"Casparius, Ben",-9093127.582269693
"Horn, Bailey",-9093131.437240502
"Rogers, Tyler",-9093143.43716187
"Gasser, Robert",-9093144.623896312
"Manoah, Alek",-9093148.476355845
"Otañez, Michel",-9093161.850981403
"Hanifee, Brenan",-9093180.447586294
"Englert, Mason",-9093183.570997203
"Waldrep, Hurston",-9093206.611717643
"Gallegos, Giovanny",-9093207.810122602
"Williams, Trevor",-9093208.273341838
"López, Jorge",-9093213.957299843
"García, Luis",-9093220.35272433
"Young, Alex",-9093221.77687354
"Cease, Dylan",-9093226.692874657
"La Sorsa, Joe",-9093255.462264106
"Peralta, Sammy",-9093260.778689964
"Fitts, Richard",-9093277.45406034
"Gómez, Yoendrys",-9093281.99998963
"Henriquez, Ronny",-9093294.301010182
"Burdi, Nick",-9093294.57132851
"Montgomery, Mason",-9093295.5568087
"Burr, Ryan",-9093316.909107834
"Ort, Kaleb",-9093339.66095866
"Lopez, Jacob",-9093346.176104048
"Díaz, Yilber",-9093347.257951768
"Phillips, Tyler",-9093347.664895015
"Bielak, Brandon",-9093352.900718315
"Devenski, Chris",-9093355.463958068
"Bush, Ky",-9093410.757884609
"Blewett, Scott",-9093414.158340039
"Cosgrove, Tom",-9093428.930910265
"Zulueta, Yosver",-9093428.956600133
"White, Mitch",-9093450.649994584
"France, J.P.",-9093461.231060402
"Williamson, Brandon",-9093466.463817898
"Rodón, Carlos",-9093472.886999313
"Mercado, Michael",-9093473.399128843
"Honeywell, Brent",-9093480.957789185
"Reynolds, Sean",-9093495.48936167
"Burke, Sean",-9093496.26533012
"Frías, Luis",-9093508.139415666
"Staumont, Josh",-9093529.660097271
"Walker, Josh",-9093536.203061163
"Waguespack, Jacob",-9093537.51228336
"Sulser, Cole",-9093546.863558045
"García, Yimi",-9093547.015077816
"Pinto, Ricardo",-9093548.373158384
"O'Brien, Riley",-9093567.25521524
"Peralta, Wandy",-9093585.615220586
"Zuñiga, Guillo",-9093591.468882574
"Poteet, Cody",-9093596.916021602
"Mazur, Adam",-9093605.315401
