,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6905715325809975,0.699844100486117
1,2010.0,0.6851569643401402,0.6927135833890976
2,2011.0,0.7151730257320319,0.7230542754736303
3,2012.0,0.6830557758392809,0.6888889047559207
4,2013.0,0.6926629040533607,0.6961109766096811
5,2014.0,0.7016910935738444,0.7062529452383227
6,2015.0,0.7067839195979899,0.7111955126622895
7,2016.0,0.6839433609404221,0.6888886489754497
8,2017.0,0.6920408163265306,0.6959262816812308
9,2018.0,0.7109859154929578,0.7142376357492637
10,2019.0,0.7030848329048843,0.7098376676258211
