,Year,SpringRank,SpringRank_AUC
0,2009.0,0.6971090670170828,0.703005649920492
1,2010.0,0.7128925297444899,0.7168428452002978
2,2011.0,0.7001740644038295,0.7057343201157671
3,2012.0,0.7142211168889894,0.7192442124089982
4,2013.0,0.7156717991984813,0.7220558690215464
5,2014.0,0.7159383033419023,0.7218954190132754
6,2015.0,0.7092599343784178,0.716738481813555
7,2016.0,0.6992551210428305,0.7038661335944301
8,2017.0,0.6827035449941566,0.6886224856321839
9,2018.0,0.6865671641791045,0.6911192582908606
10,2019.0,0.6737197178779516,0.6787234373058284
