Player,Rank,OPS
Juan Soto,0.0337250731481851,0.989
Aaron Judge,0.0241541322277538,1.159
Isaac Paredes,0.022538933393782,0.739
Jonathan India,0.0205644704581257,0.75
Jurickson Profar,0.0196234163419579,0.839
Mookie Betts,0.0172337348700349,0.863
Steven Kwan,0.0169410190245729,0.793
Nolan Schanuel,0.0154470611793166,0.706
Freddie Freeman,0.015151217640867,0.854
Justin Turner,0.0150313319984697,0.737
Corbin Carroll,0.0143610338739773,0.749
Nico Hoerner,0.0142574045788917,0.708
Brendan Donovan,0.0139115634525686,0.759
Randy Arozarena,0.0128590508479862,0.72
Spencer Steer,0.0122528254421662,0.721
Marcus Semien,0.0120072255942421,0.699
Brandon Nimmo,0.0107741643854213,0.727
Joey Ortiz,0.0106789097015091,0.726
Yordan Álvarez,0.0104558947748951,0.959
William Contreras,0.010403486411755,0.831
George Springer,0.0102802667579968,0.674
Nathaniel Lowe,0.0102692870501959,0.762
Jake Cronenworth,0.0099876980906017,0.714
Jesse Winker,0.0099821574778047,0.764
Yandy Díaz,0.0099468873796588,0.755
Carlos Santana,0.0097792480906859,0.749
Jorge Soler,0.0089390263465753,0.78
Kyle Schwarber,0.0084466422308888,0.851
Gleyber Torres,0.008378755259961,0.709
Ketel Marte,0.0083523018153465,0.932
Gunnar Henderson,0.0079720165186481,0.893
Pete Alonso,0.007772563339726,0.788
Luis Arráez,0.0072191838517763,0.739
Jj Bleday,0.0070417783790298,0.762
Alex Bregman,0.0066830591072112,0.768
Bryson Stott,0.0065657325187437,0.671
Vinnie Pasquantino,0.0065003490369471,0.76
Bryce Harper,0.0065001312859354,0.898
Christopher Morel,0.0060685686889134,0.634
Nolan Arenado,0.0059423240426863,0.719
Alec Bohm,0.0059311265658044,0.779
Adley Rutschman,0.0058492039591534,0.709
Willy Adames,0.0058411683156381,0.794
Alex Verdugo,0.005836297166219,0.647
Will Smith,0.0057931080798769,0.76
Josh Smith,0.0057320665570191,0.731
Andrew Mccutchen,0.0057167168606374,0.739
Marcell Ozuna,0.0057110303553397,0.925
Tyler Stephenson,0.0052522397431129,0.782
Josh Naylor,0.0048379928449808,0.776
Taylor Ward,0.0046835366228161,0.748
Christian Walker,0.0045938629238288,0.803
Matt Chapman,0.0044678955454952,0.79
Willi Castro,0.0043972495492934,0.717
Francisco Lindor,0.0043123911845249,0.844
Ty France,0.0040005116685236,0.67
Wyatt Langford,0.0038902148222693,0.74
Shohei Ohtani,0.0035808540379304,1.036
Jacob Young,0.0035419703950731,0.648
Sal Frelick,0.003492055847648,0.655
Maikel García,0.0034705809296004,0.614
Alec Burleson,0.0033916913013054,0.735
Corey Seager,0.0033156860989756,0.864
Seiya Suzuki,0.0031177145851621,0.848
Ian Happ,0.002904398385826,0.782
José Altuve,0.0025257954855491,0.79
Anthony Santander,0.0024502280180933,0.814
Brice Turang,0.002428402276643,0.665
José Ramírez,0.0014411111564641,0.872
Rhys Hoskins,0.0013974548100707,0.722
Cj Abrams,0.0011033405945903,0.747
Andrew Benintendi,0.0010358744931518,0.685
Jake Meyers,0.0009708722611874,0.646
Masyn Winn,0.0006807428072316,0.73
Dansby Swanson,0.0006138346742538,0.701
Jeremy Peña,0.0005961420171568,0.701
Salvador Pérez,0.0005830655386069,0.786
Brent Rooker,0.0005775920885334,0.927
Zach Neto,0.0005423785096455,0.761
Josh Bell,0.0005312171613078,0.725
Riley Greene,0.0003060449477897,0.827
Andrew Vaughn,0.0001919707143566,0.699
Matt Olson,0.000144491099746,0.79
Trea Turner,-0.0004203927024379,0.807
Andrés Giménez,-0.0007005028787225,0.638
Lane Thomas,-0.0007327537812051,0.709
Bryan Reynolds,-0.0009748690953238,0.791
Rafael Devers,-0.0010412002598103,0.871
Cody Bellinger,-0.0011527626336594,0.751
Michael Busch,-0.0016101167449783,0.775
Jarren Duran,-0.0017385608210097,0.834
Cal Raleigh,-0.0017449224723746,0.748
Ryan Mcmahon,-0.0019364594586138,0.722
Orlando Arcia,-0.0020837139606595,0.625
Brenton Doyle,-0.0021337916365858,0.764
Manny Machado,-0.0022595797522365,0.797
Nick Castellanos,-0.0025137410152752,0.742
Matt Vierling,-0.0025851513914535,0.735
Leody Taveras,-0.0032053084187152,0.641
Daulton Varsho,-0.0033001187912886,0.7
Jackson Chourio,-0.003427775165479,0.791
Eugenio Suárez,-0.0036472355429613,0.788
Anthony Volpe,-0.003965782470475,0.657
Colt Keith,-0.0040332027797689,0.689
Logan O'hoppe,-0.0045417277396459,0.712
Shea Langeliers,-0.0046202019323861,0.739
Brendan Rodgers,-0.0049571802827652,0.721
Paul Goldschmidt,-0.0050148075698431,0.716
Yainer Diaz,-0.0051777702339937,0.766
Teoscar Hernández,-0.0052241336146057,0.84
Colton Cowser,-0.0054062714670001,0.768
Ryan Mountcastle,-0.0062325115616033,0.733
Julio Rodríguez,-0.0063727047389928,0.734
Elly De la cruz,-0.0065098977626995,0.809
Heliot Ramos,-0.0066186308585878,0.792
Adolis García,-0.0073488847085175,0.684
Jake Burger,-0.0076703334678249,0.76
Jesús Sánchez,-0.0079461721998585,0.731
Jackson Merrill,-0.0084793860753133,0.826
Zack Gelof,-0.0095333264672988,0.632
Oneil Cruz,-0.0099976159402313,0.773
Ceddanne Rafaela,-0.0141366979585661,0.664
Bryan De la cruz,-0.0152205669657824,0.654
Ezequiel Tovar,-0.0213922182670119,0.763
