Year,Kb,Kp,Group,Shrink,AccuracyPos,Accuracy,AUC,TestEdges,OrientFrac,RankStd,AucMode
2024,100.0,300.0,batter,n_over_n_plus_k,0.4841961264309885,0.5051479588163295,0.5028558109788416,41667,0.4841961264309885,714.8603709433895,balanced-negatives
2024,,,batter,se_based,0.4751481988144095,0.5081119351045191,0.5052706880526538,41667,0.4751481988144095,1039.780028909841,balanced-negatives
2024,100.0,300.0,pitcher,n_over_n_plus_k,0.5944284229479879,0.5238980544861004,0.5323981271056848,68311,0.5944284229479879,94.44877861854411,balanced-negatives
2024,,,pitcher,se_based,0.6193585220535492,0.5303831008183162,0.5398320408532113,68311,0.6193585220535492,98.19673411643706,balanced-negatives
2024,100.0,350.0,batter,n_over_n_plus_k,0.4841961264309885,0.5051479588163295,0.5028558109788416,41667,0.4841961264309885,714.8603709433895,balanced-negatives
2024,100.0,350.0,pitcher,n_over_n_plus_k,0.593930699301723,0.5236125953360367,0.5323777445520321,68311,0.593930699301723,88.99935186091336,balanced-negatives
2024,100.0,400.0,batter,n_over_n_plus_k,0.4841961264309885,0.5051479588163295,0.5028558109788416,41667,0.4841961264309885,714.8603709433895,balanced-negatives
2024,100.0,400.0,pitcher,n_over_n_plus_k,0.5934622535170031,0.5235686785437191,0.5323554161698685,68311,0.5934622535170031,84.54738295153028,balanced-negatives
2024,100.0,450.0,batter,n_over_n_plus_k,0.4841961264309885,0.5051479588163295,0.5028558109788416,41667,0.4841961264309885,714.8603709433895,balanced-negatives
2024,100.0,450.0,pitcher,n_over_n_plus_k,0.5925253619475633,0.5232027052744067,0.5323401047710489,68311,0.5925253619475633,80.83372174855769,balanced-negatives
2024,125.0,300.0,batter,n_over_n_plus_k,0.48614011087911296,0.5045479636162911,0.5023299699843311,41667,0.48614011087911296,582.3316444558501,balanced-negatives
2024,125.0,300.0,pitcher,n_over_n_plus_k,0.5944284229479879,0.5238980544861004,0.5323981271056848,68311,0.5944284229479879,94.44877861854411,balanced-negatives
2024,125.0,350.0,batter,n_over_n_plus_k,0.48614011087911296,0.5045479636162911,0.5023299699843311,41667,0.48614011087911296,582.3316444558501,balanced-negatives
2024,125.0,350.0,pitcher,n_over_n_plus_k,0.593930699301723,0.5236125953360367,0.5323777445520321,68311,0.593930699301723,88.99935186091336,balanced-negatives
2024,125.0,400.0,batter,n_over_n_plus_k,0.48614011087911296,0.5045479636162911,0.5023299699843311,41667,0.48614011087911296,582.3316444558501,balanced-negatives
2024,125.0,400.0,pitcher,n_over_n_plus_k,0.5934622535170031,0.5235686785437191,0.5323554161698685,68311,0.5934622535170031,84.54738295153028,balanced-negatives
2024,125.0,450.0,batter,n_over_n_plus_k,0.3560693641618497,0.5617413294797687,0.5799034329162351,13840,0.3560693641618497,3415.9897601473062,balanced-negatives
2024,125.0,450.0,pitcher,n_over_n_plus_k,0.5925253619475633,0.5232027052744067,0.5323401047710489,68311,0.5925253619475633,80.83372174855769,balanced-negatives
2024,150.0,300.0,batter,n_over_n_plus_k,0.49953200374397005,0.5021479828161375,0.5046183692737961,41667,0.49953200374397005,367.54899772012726,balanced-negatives
2024,150.0,300.0,pitcher,n_over_n_plus_k,0.604192589773243,0.5284800398178917,0.5343601707114012,68311,0.604192589773243,102.90877486885688,balanced-negatives
2024,150.0,350.0,batter,n_over_n_plus_k,0.49953200374397005,0.5021479828161375,0.5046183692737961,41667,0.49953200374397005,367.54899772012726,balanced-negatives
2024,150.0,350.0,pitcher,n_over_n_plus_k,0.6032703371345757,0.5279823161716268,0.5342653949335269,68311,0.6032703371345757,94.9157943304426,balanced-negatives
2024,150.0,400.0,batter,n_over_n_plus_k,0.49953200374397005,0.5021479828161375,0.5046183692737961,41667,0.49953200374397005,367.54899772012726,balanced-negatives
2024,150.0,400.0,pitcher,n_over_n_plus_k,0.6022163341189559,0.5275358287830657,0.5341757425992693,68311,0.6022163341189559,88.77725482444045,balanced-negatives
2024,150.0,450.0,batter,n_over_n_plus_k,0.49953200374397005,0.5021479828161375,0.5046183692737961,41667,0.49953200374397005,367.54899772012726,balanced-negatives
2024,150.0,450.0,pitcher,n_over_n_plus_k,0.6013087204110612,0.527426036802272,0.5340902457232339,68311,0.6013087204110612,83.96175383505089,balanced-negatives
2024,175.0,300.0,batter,n_over_n_plus_k,0.49754001967984257,0.5028199774401805,0.5053842348438979,41667,0.49754001967984257,353.4601161140079,balanced-negatives
2024,175.0,300.0,pitcher,n_over_n_plus_k,0.604192589773243,0.5284800398178917,0.5343601707114012,68311,0.604192589773243,102.90877486885688,balanced-negatives
2024,175.0,350.0,batter,n_over_n_plus_k,0.49754001967984257,0.5028199774401805,0.5053842348438979,41667,0.49754001967984257,353.4601161140079,balanced-negatives
2024,175.0,350.0,pitcher,n_over_n_plus_k,0.6032703371345757,0.5279823161716268,0.5342653949335269,68311,0.6032703371345757,94.9157943304426,balanced-negatives
2024,175.0,400.0,batter,n_over_n_plus_k,0.49754001967984257,0.5028199774401805,0.5053842348438979,41667,0.49754001967984257,353.4601161140079,balanced-negatives
2024,175.0,400.0,pitcher,n_over_n_plus_k,0.6022163341189559,0.5275358287830657,0.5341757425992693,68311,0.6022163341189559,88.77725482444045,balanced-negatives
2024,175.0,450.0,batter,n_over_n_plus_k,0.49754001967984257,0.5028199774401805,0.5053842348438979,41667,0.49754001967984257,353.4601161140079,balanced-negatives
2024,175.0,450.0,pitcher,n_over_n_plus_k,0.6013087204110612,0.527426036802272,0.5340902457232339,68311,0.6013087204110612,83.96175383505089,balanced-negatives
