ScoreType,Group,TrainYear,TestYear,Folds,Accuracy,AUC,TestEdges
aware,batter,2024,2025,5,0.6852014010507881,0.5635825027459055,34260
aware,pitcher,2024,2025,5,0.6561580680570801,0.5929530058885123,45550
