Year,Kb,Kp,Group,Shrink,AccuracyPos,Accuracy,AUC,TestEdges
2024,100.0,300.0,batter,n_over_n_plus_k,0.5722754217966256,0.5185758513931888,0.5289326728513827,41667
2024,,,batter,se_based,0.5475796193630451,0.513859889120887,0.5125578590734511,41667
2024,100.0,300.0,pitcher,n_over_n_plus_k,0.5047356941049026,0.5002635007539049,0.5036977735333648,68311
2024,,,pitcher,se_based,0.5862159827846174,0.5226683843012107,0.5371203190251161,68311
2024,100.0,350.0,batter,n_over_n_plus_k,0.47932416540667677,0.50749994000048,0.49912932628283524,41667
2024,100.0,350.0,pitcher,n_over_n_plus_k,0.5404107683974763,0.5108035309101023,0.5139540369602766,68311
2024,100.0,400.0,batter,n_over_n_plus_k,0.5440756473948208,0.5119159046727626,0.5155714267281757,41667
2024,100.0,400.0,pitcher,n_over_n_plus_k,0.543587416375108,0.5109499202178273,0.5123928614580059,68311
2024,100.0,450.0,batter,n_over_n_plus_k,0.645906832745338,0.5420356637146903,0.5510439769891013,41667
2024,100.0,450.0,pitcher,n_over_n_plus_k,0.5811362738065612,0.524212791497709,0.5283166924432549,68311
2024,125.0,300.0,batter,n_over_n_plus_k,0.667266661866705,0.5530875752993976,0.5530861966654559,41667
2024,125.0,300.0,pitcher,n_over_n_plus_k,0.5306905183645386,0.5068949363938458,0.5066002439874798,68311
2024,125.0,350.0,batter,n_over_n_plus_k,0.5504595963232294,0.5124439004487964,0.5165271673722643,41667
2024,125.0,350.0,pitcher,n_over_n_plus_k,0.6313038895639063,0.5381563730585118,0.5449961735014459,68311
2024,125.0,400.0,batter,n_over_n_plus_k,0.5317397460820313,0.5094319245446036,0.5121613314659182,41667
2024,125.0,400.0,pitcher,n_over_n_plus_k,0.6629239800324984,0.5491062932763391,0.54978091823575,68311
2024,125.0,450.0,batter,n_over_n_plus_k,0.5193078455372357,0.505171958624331,0.5081125286630221,41667
2024,125.0,450.0,pitcher,n_over_n_plus_k,0.5773301518057121,0.5227928152127769,0.524714057280478,68311
2024,150.0,300.0,batter,n_over_n_plus_k,0.4868361053111575,0.5049439604483165,0.500336066718911,41667
2024,150.0,300.0,pitcher,n_over_n_plus_k,0.6451815959362328,0.5435069022558592,0.5461468216189599,68311
2024,150.0,350.0,batter,n_over_n_plus_k,0.635874913000696,0.538327693378453,0.550203483749047,41667
2024,150.0,350.0,pitcher,n_over_n_plus_k,0.5495308222687415,0.5128456617528656,0.5164974959466127,68311
2024,150.0,400.0,batter,n_over_n_plus_k,0.572875416996664,0.5200398396812825,0.5262541296602452,41667
2024,150.0,400.0,pitcher,n_over_n_plus_k,0.46477141309598746,0.511118267921711,0.5150115456816906,68311
2024,150.0,450.0,batter,n_over_n_plus_k,0.5484916120671035,0.5120239038087695,0.5196369125281427,41667
2024,150.0,450.0,pitcher,n_over_n_plus_k,0.5438070003366954,0.5121649514719445,0.5132822520961583,68311
2024,175.0,300.0,batter,n_over_n_plus_k,0.685890512875897,0.557563539491684,0.5584134611248835,41667
2024,175.0,300.0,pitcher,n_over_n_plus_k,0.5878116262388196,0.5238760960899416,0.5285356739051882,68311
2024,175.0,350.0,batter,n_over_n_plus_k,0.4933640530875753,0.5024959800321598,0.49330741591377375,41667
2024,175.0,350.0,pitcher,n_over_n_plus_k,0.5689566834038442,0.5208458374200349,0.5288441928374935,68311
2024,175.0,400.0,batter,n_over_n_plus_k,0.6853865169078648,0.557047543619651,0.5598239151015297,41667
2024,175.0,400.0,pitcher,n_over_n_plus_k,0.44025120405205603,0.5179692875232393,0.5230363387582526,68311
2024,175.0,450.0,batter,n_over_n_plus_k,0.6530587755297957,0.5438716490268077,0.5492614634934313,41667
2024,175.0,450.0,pitcher,n_over_n_plus_k,0.517076312746117,0.5037036494854416,0.5066600840002468,68311
2024,200.0,300.0,batter,n_over_n_plus_k,0.7081623347013224,0.5653154774761802,0.5614230314035664,41667
2024,200.0,300.0,pitcher,n_over_n_plus_k,0.529285181010379,0.5096324164483026,0.5161677252667736,68311
2024,200.0,350.0,batter,n_over_n_plus_k,0.5736194110447116,0.520171838625291,0.5299051232761136,41667
2024,200.0,350.0,pitcher,n_over_n_plus_k,0.5737436137664504,0.5199675015736851,0.5232575035983561,68311
2024,200.0,400.0,batter,n_over_n_plus_k,0.4703482372141023,0.5108719130246958,0.5096056113976029,41667
2024,200.0,400.0,pitcher,n_over_n_plus_k,0.5573772891627995,0.5158905593535448,0.5155703034108174,68311
2024,200.0,450.0,batter,n_over_n_plus_k,0.4946840425276598,0.5033839729282166,0.4987789654886303,41667
2024,200.0,450.0,pitcher,n_over_n_plus_k,0.5526781923848282,0.515012223507195,0.5214378953896881,68311
2024,225.0,300.0,batter,n_over_n_plus_k,0.6309789521683826,0.5370797033623731,0.5410284436062764,41667
2024,225.0,300.0,pitcher,n_over_n_plus_k,0.5119087701834258,0.5031327311853142,0.5012705322621731,68311
2024,225.0,350.0,batter,n_over_n_plus_k,0.7152182782537739,0.5718674250605995,0.5644841833849388,41667
2024,225.0,350.0,pitcher,n_over_n_plus_k,0.4635710207726428,0.5073121459208619,0.5116476035665408,68311
2024,225.0,400.0,batter,n_over_n_plus_k,0.575827393380853,0.521203830369357,0.5339029647183947,41667
2024,225.0,400.0,pitcher,n_over_n_plus_k,0.5996106044414516,0.5271844944445258,0.5362833504642782,68311
2024,225.0,450.0,batter,n_over_n_plus_k,0.46158830729354167,0.5105119159046727,0.5137745935256219,41667
2024,225.0,450.0,pitcher,n_over_n_plus_k,0.5847813675689127,0.5235101228206291,0.5314305977377252,68311
